,ticker,company,concept,value,end_date,filed,form
0,CTVA,"Corteva, Inc.",revenue,6894000000,2017-08-31,2020-02-14,10-K
1,CTVA,"Corteva, Inc.",revenue,3790000000,2017-12-31,2020-02-14,10-K
2,CTVA,"Corteva, Inc.",revenue,3794000000,2018-03-31,2020-02-14,10-K
3,CTVA,"Corteva, Inc.",revenue,5731000000,2018-06-30,2020-02-14,10-K
4,CTVA,"Corteva, Inc.",revenue,1947000000,2018-09-30,2020-02-14,10-K
5,CTVA,"Corteva, Inc.",revenue,14287000000,2018-12-31,2020-02-14,10-K
6,CTVA,"Corteva, Inc.",revenue,14287000000,2018-12-31,2021-02-11,10-K
7,CTVA,"Corteva, Inc.",revenue,2815000000,2018-12-31,2020-02-14,10-K
8,CTVA,"Corteva, Inc.",revenue,3396000000,2019-03-31,2020-02-14,10-K
9,CTVA,"Corteva, Inc.",revenue,3396000000,2019-03-31,2021-02-11,10-K
10,CTVA,"Corteva, Inc.",revenue,5556000000,2019-06-30,2020-02-14,10-K
11,CTVA,"Corteva, Inc.",revenue,5556000000,2019-06-30,2021-02-11,10-K
12,CTVA,"Corteva, Inc.",revenue,1911000000,2019-09-30,2020-02-14,10-K
13,CTVA,"Corteva, Inc.",revenue,1911000000,2019-09-30,2021-02-11,10-K
14,CTVA,"Corteva, Inc.",revenue,13846000000,2019-12-31,2020-02-14,10-K
15,CTVA,"Corteva, Inc.",revenue,13846000000,2019-12-31,2021-02-11,10-K
16,CTVA,"Corteva, Inc.",revenue,13846000000,2019-12-31,2022-02-10,10-K
17,CTVA,"Corteva, Inc.",revenue,2983000000,2019-12-31,2020-02-14,10-K
18,CTVA,"Corteva, Inc.",revenue,2983000000,2019-12-31,2021-02-11,10-K
19,CTVA,"Corteva, Inc.",revenue,3956000000,2020-03-31,2021-02-11,10-K
20,CTVA,"Corteva, Inc.",revenue,5191000000,2020-06-30,2021-02-11,10-K
21,CTVA,"Corteva, Inc.",revenue,1863000000,2020-09-30,2021-02-11,10-K
22,CTVA,"Corteva, Inc.",revenue,14217000000,2020-12-31,2021-02-11,10-K
23,CTVA,"Corteva, Inc.",revenue,14217000000,2020-12-31,2022-02-10,10-K
24,CTVA,"Corteva, Inc.",revenue,14217000000,2020-12-31,2023-02-09,10-K
25,CTVA,"Corteva, Inc.",revenue,3207000000,2020-12-31,2021-02-11,10-K
26,CTVA,"Corteva, Inc.",revenue,15655000000,2021-12-31,2022-02-10,10-K
27,CTVA,"Corteva, Inc.",revenue,15655000000,2021-12-31,2023-02-09,10-K
28,CTVA,"Corteva, Inc.",revenue,15655000000,2021-12-31,2024-02-08,10-K
29,CTVA,"Corteva, Inc.",revenue,17455000000,2022-12-31,2023-02-09,10-K
30,CTVA,"Corteva, Inc.",revenue,17455000000,2022-12-31,2024-02-08,10-K
31,CTVA,"Corteva, Inc.",revenue,17455000000,2022-12-31,2025-02-14,10-K
32,CTVA,"Corteva, Inc.",revenue,17226000000,2023-12-31,2024-02-08,10-K
33,CTVA,"Corteva, Inc.",revenue,17226000000,2023-12-31,2025-02-14,10-K
34,CTVA,"Corteva, Inc.",revenue,17226000000,2023-12-31,2026-02-12,10-K
35,CTVA,"Corteva, Inc.",revenue,16908000000,2024-12-31,2025-02-14,10-K
36,CTVA,"Corteva, Inc.",revenue,16908000000,2024-12-31,2026-02-12,10-K
37,CTVA,"Corteva, Inc.",revenue,17401000000,2025-12-31,2026-02-12,10-K
38,CTVA,"Corteva, Inc.",net_income,1734000000,2017-08-31,2020-02-14,10-K
39,CTVA,"Corteva, Inc.",net_income,1182000000,2017-12-31,2020-02-14,10-K
40,CTVA,"Corteva, Inc.",net_income,-107000000,2018-03-31,2020-02-14,10-K
41,CTVA,"Corteva, Inc.",net_income,694000000,2018-06-30,2020-02-14,10-K
42,CTVA,"Corteva, Inc.",net_income,-5121000000,2018-09-30,2020-02-14,10-K
43,CTVA,"Corteva, Inc.",net_income,-5065000000,2018-12-31,2020-02-14,10-K
44,CTVA,"Corteva, Inc.",net_income,-5065000000,2018-12-31,2021-02-11,10-K
45,CTVA,"Corteva, Inc.",net_income,-531000000,2018-12-31,2020-02-14,10-K
46,CTVA,"Corteva, Inc.",net_income,164000000,2019-03-31,2020-02-14,10-K
47,CTVA,"Corteva, Inc.",net_income,164000000,2019-03-31,2021-02-11,10-K
48,CTVA,"Corteva, Inc.",net_income,-608000000,2019-06-30,2020-02-14,10-K
49,CTVA,"Corteva, Inc.",net_income,-608000000,2019-06-30,2021-02-11,10-K
50,CTVA,"Corteva, Inc.",net_income,-494000000,2019-09-30,2020-02-14,10-K
51,CTVA,"Corteva, Inc.",net_income,-494000000,2019-09-30,2021-02-11,10-K
52,CTVA,"Corteva, Inc.",net_income,-959000000,2019-12-31,2020-02-14,10-K
53,CTVA,"Corteva, Inc.",net_income,-959000000,2019-12-31,2021-02-11,10-K
54,CTVA,"Corteva, Inc.",net_income,-959000000,2019-12-31,2022-02-10,10-K
55,CTVA,"Corteva, Inc.",net_income,-21000000,2019-12-31,2020-02-14,10-K
56,CTVA,"Corteva, Inc.",net_income,-21000000,2019-12-31,2021-02-11,10-K
57,CTVA,"Corteva, Inc.",net_income,272000000,2020-03-31,2021-02-11,10-K
58,CTVA,"Corteva, Inc.",net_income,760000000,2020-06-30,2021-02-11,10-K
