,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,stockholders_equity,total_assets,total_liabilities
51,CVNA,CARVANA CO.,2025-12-31,10-K,2026-02-18,2327000000.0,4918000000.0,1407000000.0,1881000000.0,20322000000.0,3441000000.0,13201000000.0,8998000000.0
49,CVNA,CARVANA CO.,2024-12-31,10-K,2025-02-19,1716000000.0,5297000000.0,210000000.0,990000000.0,13673000000.0,1260000000.0,8484000000.0,7109000000.0
50,CVNA,CARVANA CO.,2024-12-31,10-K,2026-02-18,1716000000.0,,210000000.0,990000000.0,13673000000.0,1260000000.0,8484000000.0,7109000000.0
46,CVNA,CARVANA CO.,2023-12-31,10-K,2024-02-22,530000000.0,5176000000.0,450000000.0,,10771000000.0,243000000.0,7071000000.0,7455000000.0
47,CVNA,CARVANA CO.,2023-12-31,10-K,2025-02-19,530000000.0,,450000000.0,-80000000.0,10771000000.0,243000000.0,7071000000.0,7455000000.0
48,CVNA,CARVANA CO.,2023-12-31,10-K,2026-02-18,530000000.0,,450000000.0,-80000000.0,10771000000.0,,,
43,CVNA,CARVANA CO.,2022-12-31,10-K,2023-02-23,434000000.0,6482000000.0,-1587000000.0,,13604000000.0,-518000000.0,8698000000.0,9751000000.0
44,CVNA,CARVANA CO.,2022-12-31,10-K,2024-02-22,434000000.0,,-1587000000.0,,13604000000.0,-518000000.0,8698000000.0,9751000000.0
45,CVNA,CARVANA CO.,2022-12-31,10-K,2025-02-19,434000000.0,,-1587000000.0,-2351000000.0,13604000000.0,,,
40,CVNA,CARVANA CO.,2021-12-31,10-K,2022-02-24,403000000.0,2742000000.0,-135000000.0,,12814000000.0,306000000.0,7015000000.0,6490000000.0
41,CVNA,CARVANA CO.,2021-12-31,10-K,2023-02-23,403000000.0,,-135000000.0,,12814000000.0,306000000.0,7015000000.0,6490000000.0
42,CVNA,CARVANA CO.,2021-12-31,10-K,2024-02-22,403000000.0,,-135000000.0,,12814000000.0,,,
37,CVNA,CARVANA CO.,2020-12-31,10-K,2021-02-25,300810000.0,1206427000.0,-63338000.0,,1826406000.0,387600000.0,3034531000.0,2233028000.0
38,CVNA,CARVANA CO.,2020-12-31,10-K,2022-02-24,301000000.0,,-171000000.0,,5587000000.0,388000000.0,3035000000.0,2233000000.0
39,CVNA,CARVANA CO.,2020-12-31,10-K,2023-02-23,301000000.0,,-171000000.0,,5587000000.0,,,
36,CVNA,CARVANA CO.,2020-09-30,10-K,2021-02-25,,,-7085000.0,,1543609000.0,,,
35,CVNA,CARVANA CO.,2020-06-30,10-K,2021-02-25,,,-40830000.0,,1118334000.0,,,
34,CVNA,CARVANA CO.,2020-03-31,10-K,2021-02-25,,,-59887000.0,,1098216000.0,,,
31,CVNA,CARVANA CO.,2019-12-31,10-K,2020-02-26,76016000.0,716739000.0,-41133000.0,,1103587000.0,98112000.0,2057748000.0,1865809000.0
32,CVNA,CARVANA CO.,2019-12-31,10-K,2021-02-25,76016000.0,,-41133000.0,,1103587000.0,98112000.0,2057748000.0,1865809000.0
33,CVNA,CARVANA CO.,2019-12-31,10-K,2022-02-24,76000000.0,,-115000000.0,,3940000000.0,,,
29,CVNA,CARVANA CO.,2019-09-30,10-K,2020-02-26,,,-30088000.0,,1094854000.0,,,
30,CVNA,CARVANA CO.,2019-09-30,10-K,2021-02-25,,,-30088000.0,,1094854000.0,,,
27,CVNA,CARVANA CO.,2019-06-30,10-K,2020-02-26,,,-20323000.0,,986221000.0,,,
28,CVNA,CARVANA CO.,2019-06-30,10-K,2021-02-25,,,-20323000.0,,986221000.0,,,
25,CVNA,CARVANA CO.,2019-03-31,10-K,2020-02-26,,,-23115000.0,,755234000.0,,,
26,CVNA,CARVANA CO.,2019-03-31,10-K,2021-02-25,,,-23115000.0,,755234000.0,,,
22,CVNA,CARVANA CO.,2018-12-31,10-K,2019-02-27,78861000.0,,-28704000.0,,,73408000.0,991013000.0,763585000.0
23,CVNA,CARVANA CO.,2018-12-31,10-K,2020-02-26,78861000.0,,-22426000.0,,584838000.0,79686000.0,991013000.0,763585000.0
24,CVNA,CARVANA CO.,2018-12-31,10-K,2021-02-25,78861000.0,,-55476000.0,,1955467000.0,,,
20,CVNA,CARVANA CO.,2018-09-30,10-K,2019-02-27,,,-16042000.0,,,,,
21,CVNA,CARVANA CO.,2018-09-30,10-K,2020-02-26,,,-16042000.0,,534922000.0,,,
18,CVNA,CARVANA CO.,2018-06-30,10-K,2019-02-27,,,-9965000.0,,,,,
19,CVNA,CARVANA CO.,2018-06-30,10-K,2020-02-26,,,-9965000.0,,475286000.0,,,
16,CVNA,CARVANA CO.,2018-03-31,10-K,2019-02-27,,,-7043000.0,,,,,
17,CVNA,CARVANA CO.,2018-03-31,10-K,2020-02-26,,,-7043000.0,,360422000.0,,,
13,CVNA,CARVANA CO.,2017-12-31,10-K,2018-03-06,172680000.0,,-5480000.0,,,125736000.0,641137000.0,361593000.0
14,CVNA,CARVANA CO.,2017-12-31,10-K,2019-02-27,172680000.0,,-5480000.0,,,125736000.0,641137000.0,361593000.0
15,CVNA,CARVANA CO.,2017-12-31,10-K,2020-02-26,172680000.0,,-62841000.0,,858870000.0,,,
11,CVNA,CARVANA CO.,2017-09-30,10-K,2018-03-06,,,-4380000.0,,,,,
12,CVNA,CARVANA CO.,2017-09-30,10-K,2019-02-27,,,-4380000.0,,,,,
9,CVNA,CARVANA CO.,2017-06-30,10-K,2018-03-06,,,-14542000.0,,,,,
10,CVNA,CARVANA CO.,2017-06-30,10-K,2019-02-27,,,-14542000.0,,,,,
