,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
60,CVX,Chevron Corp,2025-12-31,10-K,2026-02-24,,,12299000000.0,189031000000.0,184432000000.0,186450000000.0,324012000000.0,131836000000.0
58,CVX,Chevron Corp,2024-12-31,10-K,2025-02-21,,,17661000000.0,202792000000.0,193414000000.0,152318000000.0,256938000000.0,103781000000.0
59,CVX,Chevron Corp,2024-12-31,10-K,2026-02-24,,,17661000000.0,202792000000.0,193414000000.0,152318000000.0,256938000000.0,103781000000.0
55,CVX,Chevron Corp,2023-12-31,10-K,2024-02-26,8178000000.0,,21369000000.0,200949000000.0,196913000000.0,160957000000.0,261632000000.0,99703000000.0
56,CVX,Chevron Corp,2023-12-31,10-K,2025-02-21,,,21369000000.0,200949000000.0,196913000000.0,160957000000.0,261632000000.0,99703000000.0
57,CVX,Chevron Corp,2023-12-31,10-K,2026-02-24,,,21369000000.0,200949000000.0,196913000000.0,,,
52,CVX,Chevron Corp,2022-12-31,10-K,2023-02-23,17678000000.0,,35465000000.0,246252000000.0,235717000000.0,159282000000.0,257709000000.0,97467000000.0
53,CVX,Chevron Corp,2022-12-31,10-K,2024-02-26,17678000000.0,,35465000000.0,246252000000.0,235717000000.0,159282000000.0,257709000000.0,97467000000.0
54,CVX,Chevron Corp,2022-12-31,10-K,2025-02-21,,,35465000000.0,246252000000.0,235717000000.0,,,
49,CVX,Chevron Corp,2021-12-31,10-K,2022-02-24,,25676000000.0,15625000000.0,162465000000.0,155606000000.0,139067000000.0,239535000000.0,99595000000.0
50,CVX,Chevron Corp,2021-12-31,10-K,2023-02-23,5640000000.0,,15625000000.0,162465000000.0,155606000000.0,139067000000.0,239535000000.0,99595000000.0
51,CVX,Chevron Corp,2021-12-31,10-K,2024-02-26,5640000000.0,,15625000000.0,162465000000.0,155606000000.0,,,
46,CVX,Chevron Corp,2020-12-31,10-K,2021-02-25,,25676000000.0,-5543000000.0,94692000000.0,94471000000.0,131688000000.0,239790000000.0,107064000000.0
47,CVX,Chevron Corp,2020-12-31,10-K,2022-02-24,,,-5543000000.0,94692000000.0,94471000000.0,131688000000.0,239790000000.0,107064000000.0
48,CVX,Chevron Corp,2020-12-31,10-K,2023-02-23,5596000000.0,,-5543000000.0,94692000000.0,94471000000.0,,,
43,CVX,Chevron Corp,2019-12-31,10-K,2020-02-21,,18730000000.0,2924000000.0,146516000000.0,139865000000.0,144213000000.0,237428000000.0,92220000000.0
44,CVX,Chevron Corp,2019-12-31,10-K,2021-02-25,,,2924000000.0,146516000000.0,139865000000.0,144213000000.0,237428000000.0,92220000000.0
45,CVX,Chevron Corp,2019-12-31,10-K,2022-02-24,,,2924000000.0,146516000000.0,139865000000.0,,,
40,CVX,Chevron Corp,2018-12-31,10-K,2019-02-22,9342000000.0,23730000000.0,14824000000.0,166339000000.0,158902000000.0,154554000000.0,253863000000.0,98221000000.0
41,CVX,Chevron Corp,2018-12-31,10-K,2020-02-21,,,14824000000.0,166339000000.0,158902000000.0,154554000000.0,253863000000.0,98221000000.0
42,CVX,Chevron Corp,2018-12-31,10-K,2021-02-25,,,14824000000.0,166339000000.0,158902000000.0,,,
37,CVX,Chevron Corp,2017-12-31,10-K,2018-02-22,4813000000.0,30234000000.0,9195000000.0,141722000000.0,,148124000000.0,253806000000.0,104487000000.0
38,CVX,Chevron Corp,2017-12-31,10-K,2019-02-22,4813000000.0,30234000000.0,9195000000.0,141722000000.0,,148124000000.0,253806000000.0,104487000000.0
39,CVX,Chevron Corp,2017-12-31,10-K,2020-02-21,,,9195000000.0,141722000000.0,,,,
34,CVX,Chevron Corp,2016-12-31,10-K,2017-02-23,6988000000.0,32490000000.0,-497000000.0,114472000000.0,,145556000000.0,260078000000.0,113356000000.0
35,CVX,Chevron Corp,2016-12-31,10-K,2018-02-22,6988000000.0,32490000000.0,-497000000.0,114472000000.0,,145556000000.0,260078000000.0,113356000000.0
36,CVX,Chevron Corp,2016-12-31,10-K,2019-02-22,6988000000.0,,-497000000.0,114472000000.0,,,,
30,CVX,Chevron Corp,2015-12-31,10-K,2016-02-25,11022000000.0,27071000000.0,4587000000.0,138477000000.0,,152716000000.0,266103000000.0,112217000000.0
31,CVX,Chevron Corp,2015-12-31,10-K,2017-02-23,11022000000.0,27071000000.0,4587000000.0,138477000000.0,,152716000000.0,264540000000.0,110654000000.0
32,CVX,Chevron Corp,2015-12-31,10-K,2018-02-22,11022000000.0,,4587000000.0,138477000000.0,,,,
33,CVX,Chevron Corp,2015-12-31,10-K,2019-02-22,11022000000.0,,,,,,,
26,CVX,Chevron Corp,2014-12-31,10-K,2015-02-20,12785000000.0,15960000000.0,19241000000.0,211970000000.0,,155028000000.0,266026000000.0,109835000000.0
27,CVX,Chevron Corp,2014-12-31,10-K,2016-02-25,12785000000.0,15960000000.0,19241000000.0,211970000000.0,,155028000000.0,266026000000.0,109835000000.0
28,CVX,Chevron Corp,2014-12-31,10-K,2017-02-23,12785000000.0,,19241000000.0,211970000000.0,,,,
29,CVX,Chevron Corp,2014-12-31,10-K,2018-02-22,12785000000.0,,,,,,,
22,CVX,Chevron Corp,2013-12-31,10-K,2014-02-21,16245000000.0,11960000000.0,21423000000.0,228848000000.0,,149113000000.0,253753000000.0,103326000000.0
23,CVX,Chevron Corp,2013-12-31,10-K,2015-02-20,16245000000.0,11960000000.0,21423000000.0,228848000000.0,,149113000000.0,253753000000.0,103326000000.0
24,CVX,Chevron Corp,2013-12-31,10-K,2016-02-25,16245000000.0,,21423000000.0,228848000000.0,,,,
25,CVX,Chevron Corp,2013-12-31,10-K,2017-02-23,16245000000.0,,,,,,,
18,CVX,Chevron Corp,2012-12-31,10-K,2013-02-22,20939000000.0,6086000000.0,26179000000.0,241909000000.0,,136524000000.0,232982000000.0,95150000000.0
19,CVX,Chevron Corp,2012-12-31,10-K,2014-02-21,20939000000.0,6086000000.0,26179000000.0,241909000000.0,,136524000000.0,232982000000.0,95150000000.0
20,CVX,Chevron Corp,2012-12-31,10-K,2015-02-20,20939000000.0,,26179000000.0,241909000000.0,,,,
21,CVX,Chevron Corp,2012-12-31,10-K,2016-02-25,20939000000.0,,,,,,,
14,CVX,Chevron Corp,2011-12-31,10-K,2012-02-23,15864000000.0,4101000000.0,26895000000.0,253706000000.0,,121382000000.0,209474000000.0,87293000000.0
15,CVX,Chevron Corp,2011-12-31,10-K,2013-02-22,15864000000.0,4101000000.0,26895000000.0,253706000000.0,,121382000000.0,209474000000.0,87293000000.0
16,CVX,Chevron Corp,2011-12-31,10-K,2014-02-21,15864000000.0,,26895000000.0,253706000000.0,,,,
17,CVX,Chevron Corp,2011-12-31,10-K,2015-02-20,15864000000.0,,,,,,,
10,CVX,Chevron Corp,2010-12-31,10-K,2011-02-24,14060000000.0,5636000000.0,19024000000.0,204928000000.0,,105081000000.0,184769000000.0,78958000000.0
11,CVX,Chevron Corp,2010-12-31,10-K,2012-02-23,14060000000.0,5636000000.0,19024000000.0,204928000000.0,,105081000000.0,184769000000.0,78958000000.0
12,CVX,Chevron Corp,2010-12-31,10-K,2013-02-22,14060000000.0,,19024000000.0,204928000000.0,,,,
13,CVX,Chevron Corp,2010-12-31,10-K,2014-02-21,14060000000.0,,,,,,,
6,CVX,Chevron Corp,2009-12-31,10-K,2010-02-25,8716000000.0,,10483000000.0,171636000000.0,,91914000000.0,164621000000.0,72060000000.0
7,CVX,Chevron Corp,2009-12-31,10-K,2011-02-24,8716000000.0,5705000000.0,10483000000.0,171636000000.0,,91914000000.0,164621000000.0,72060000000.0
8,CVX,Chevron Corp,2009-12-31,10-K,2012-02-23,8716000000.0,,10483000000.0,171636000000.0,,91914000000.0,,
9,CVX,Chevron Corp,2009-12-31,10-K,2013-02-22,8716000000.0,,,,,,,
3,CVX,Chevron Corp,2008-12-31,10-K,2010-02-25,9347000000.0,,23931000000.0,273005000000.0,,86648000000.0,161165000000.0,74048000000.0
4,CVX,Chevron Corp,2008-12-31,10-K,2011-02-24,9347000000.0,,23931000000.0,273005000000.0,,86648000000.0,,
5,CVX,Chevron Corp,2008-12-31,10-K,2012-02-23,9347000000.0,,,,,,,
1,CVX,Chevron Corp,2007-12-31,10-K,2010-02-25,7362000000.0,,18688000000.0,220904000000.0,,77088000000.0,,
2,CVX,Chevron Corp,2007-12-31,10-K,2011-02-24,7362000000.0,,,,,,,
0,CVX,Chevron Corp,2006-12-31,10-K,2010-02-25,10493000000.0,,,,,,,
