,ticker,company,concept,value,end_date,filed,form
0,DOW,Dow Inc.,revenue,49604000000,2018-12-31,2020-02-07,10-K
1,DOW,Dow Inc.,revenue,49604000000,2018-12-31,2021-02-05,10-K
2,DOW,Dow Inc.,revenue,42951000000,2019-12-31,2020-02-07,10-K
3,DOW,Dow Inc.,revenue,42951000000,2019-12-31,2021-02-05,10-K
4,DOW,Dow Inc.,revenue,42951000000,2019-12-31,2022-02-04,10-K
5,DOW,Dow Inc.,revenue,38542000000,2020-12-31,2021-02-05,10-K
6,DOW,Dow Inc.,revenue,38542000000,2020-12-31,2022-02-04,10-K
7,DOW,Dow Inc.,revenue,54968000000,2021-12-31,2022-02-04,10-K
8,DOW,Dow Inc.,revenue,54968000000,2021-12-31,2024-01-31,10-K
9,DOW,Dow Inc.,revenue,56902000000,2022-12-31,2024-01-31,10-K
10,DOW,Dow Inc.,revenue,56902000000,2022-12-31,2025-02-04,10-K
11,DOW,Dow Inc.,revenue,44622000000,2023-12-31,2024-01-31,10-K
12,DOW,Dow Inc.,revenue,44622000000,2023-12-31,2025-02-04,10-K
13,DOW,Dow Inc.,revenue,44622000000,2023-12-31,2026-02-03,10-K
14,DOW,Dow Inc.,revenue,42964000000,2024-12-31,2025-02-04,10-K
15,DOW,Dow Inc.,revenue,42964000000,2024-12-31,2026-02-03,10-K
16,DOW,Dow Inc.,revenue,39968000000,2025-12-31,2026-02-03,10-K
17,DOW,Dow Inc.,total_assets,83699000000,2018-12-31,2020-02-07,10-K
18,DOW,Dow Inc.,total_assets,60524000000,2019-12-31,2020-02-07,10-K
19,DOW,Dow Inc.,total_assets,60524000000,2019-12-31,2021-02-05,10-K
20,DOW,Dow Inc.,total_assets,61470000000,2020-12-31,2021-02-05,10-K
21,DOW,Dow Inc.,total_assets,61470000000,2020-12-31,2022-02-04,10-K
22,DOW,Dow Inc.,total_assets,61470000000,2020-12-31,2023-02-01,10-K
23,DOW,Dow Inc.,total_assets,62990000000,2021-12-31,2022-02-04,10-K
24,DOW,Dow Inc.,total_assets,62990000000,2021-12-31,2023-02-01,10-K
25,DOW,Dow Inc.,total_assets,62990000000,2021-12-31,2024-01-31,10-K
26,DOW,Dow Inc.,total_assets,60603000000,2022-12-31,2023-02-01,10-K
27,DOW,Dow Inc.,total_assets,60603000000,2022-12-31,2024-01-31,10-K
28,DOW,Dow Inc.,total_assets,60603000000,2022-12-31,2025-02-04,10-K
29,DOW,Dow Inc.,total_assets,57967000000,2023-12-31,2024-01-31,10-K
30,DOW,Dow Inc.,total_assets,57967000000,2023-12-31,2025-02-04,10-K
31,DOW,Dow Inc.,total_assets,57967000000,2023-12-31,2026-02-03,10-K
32,DOW,Dow Inc.,total_assets,57312000000,2024-12-31,2025-02-04,10-K
33,DOW,Dow Inc.,total_assets,57312000000,2024-12-31,2026-02-03,10-K
34,DOW,Dow Inc.,total_assets,58538000000,2025-12-31,2026-02-03,10-K
35,DOW,Dow Inc.,stockholders_equity,31515000000,2017-12-31,2020-02-07,10-K
36,DOW,Dow Inc.,stockholders_equity,32483000000,2018-12-31,2020-02-07,10-K
37,DOW,Dow Inc.,stockholders_equity,32483000000,2018-12-31,2021-02-05,10-K
38,DOW,Dow Inc.,stockholders_equity,13541000000,2019-12-31,2020-02-07,10-K
39,DOW,Dow Inc.,stockholders_equity,13541000000,2019-12-31,2021-02-05,10-K
40,DOW,Dow Inc.,stockholders_equity,13541000000,2019-12-31,2022-02-04,10-K
41,DOW,Dow Inc.,stockholders_equity,12435000000,2020-12-31,2021-02-05,10-K
42,DOW,Dow Inc.,stockholders_equity,12435000000,2020-12-31,2022-02-04,10-K
43,DOW,Dow Inc.,stockholders_equity,12435000000,2020-12-31,2023-02-01,10-K
44,DOW,Dow Inc.,stockholders_equity,18165000000,2021-12-31,2022-02-04,10-K
45,DOW,Dow Inc.,stockholders_equity,18165000000,2021-12-31,2023-02-01,10-K
46,DOW,Dow Inc.,stockholders_equity,18165000000,2021-12-31,2024-01-31,10-K
47,DOW,Dow Inc.,stockholders_equity,20718000000,2022-12-31,2023-02-01,10-K
48,DOW,Dow Inc.,stockholders_equity,20718000000,2022-12-31,2024-01-31,10-K
49,DOW,Dow Inc.,stockholders_equity,20718000000,2022-12-31,2025-02-04,10-K
50,DOW,Dow Inc.,stockholders_equity,18607000000,2023-12-31,2024-01-31,10-K
51,DOW,Dow Inc.,stockholders_equity,18607000000,2023-12-31,2025-02-04,10-K
52,DOW,Dow Inc.,stockholders_equity,18607000000,2023-12-31,2026-02-03,10-K
53,DOW,Dow Inc.,stockholders_equity,17355000000,2024-12-31,2025-02-04,10-K
54,DOW,Dow Inc.,stockholders_equity,17355000000,2024-12-31,2026-02-03,10-K
55,DOW,Dow Inc.,stockholders_equity,16008000000,2025-12-31,2026-02-03,10-K
56,DOW,Dow Inc.,cash,6189000000,2017-12-31,2020-02-07,10-K
57,DOW,Dow Inc.,cash,2724000000,2018-12-31,2020-02-07,10-K
58,DOW,Dow Inc.,cash,2724000000,2018-12-31,2021-02-05,10-K
59,DOW,Dow Inc.,cash,2367000000,2019-12-31,2020-02-07,10-K
60,DOW,Dow Inc.,cash,2367000000,2019-12-31,2021-02-05,10-K
61,DOW,Dow Inc.,cash,2367000000,2019-12-31,2022-02-04,10-K
62,DOW,Dow Inc.,cash,5104000000,2020-12-31,2021-02-05,10-K
63,DOW,Dow Inc.,cash,5104000000,2020-12-31,2022-02-04,10-K
64,DOW,Dow Inc.,cash,5104000000,2020-12-31,2023-02-01,10-K
65,DOW,Dow Inc.,cash,2988000000,2021-12-31,2022-02-04,10-K
66,DOW,Dow Inc.,cash,2988000000,2021-12-31,2023-02-01,10-K
67,DOW,Dow Inc.,cash,2988000000,2021-12-31,2024-01-31,10-K
68,DOW,Dow Inc.,cash,3886000000,2022-12-31,2023-02-01,10-K
69,DOW,Dow Inc.,cash,3886000000,2022-12-31,2024-01-31,10-K
70,DOW,Dow Inc.,cash,3886000000,2022-12-31,2025-02-04,10-K
71,DOW,Dow Inc.,cash,2987000000,2023-12-31,2024-01-31,10-K
72,DOW,Dow Inc.,cash,2987000000,2023-12-31,2025-02-04,10-K
