,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
123,DRI,"DARDEN RESTAURANTS, INC.",2025-05-25,10-K,2025-07-18,240000000.0,2128900000.0,1049600000.0,1362300000.0,12076700000.0,117000000.0,2311300000.0,12587000000.0,10275700000.0
121,DRI,"DARDEN RESTAURANTS, INC.",2024-05-26,10-K,2024-07-19,194800000.0,1370400000.0,1027600000.0,1314200000.0,11390000000.0,118900000.0,2242500000.0,11323000000.0,9080500000.0
122,DRI,"DARDEN RESTAURANTS, INC.",2024-05-26,10-K,2025-07-18,194800000.0,1370400000.0,1027600000.0,1314200000.0,11390000000.0,118900000.0,2242500000.0,11323000000.0,9080500000.0
118,DRI,"DARDEN RESTAURANTS, INC.",2023-05-28,10-K,2023-07-21,367800000.0,884900000.0,981900000.0,1201800000.0,10487800000.0,121100000.0,2201500000.0,10241500000.0,8040000000.0
119,DRI,"DARDEN RESTAURANTS, INC.",2023-05-28,10-K,2024-07-19,367800000.0,884900000.0,981900000.0,1201800000.0,10487800000.0,121100000.0,2201500000.0,10241500000.0,8040000000.0
120,DRI,"DARDEN RESTAURANTS, INC.",2023-05-28,10-K,2025-07-18,367800000.0,,981900000.0,1201800000.0,10487800000.0,,2201500000.0,,
114,DRI,"DARDEN RESTAURANTS, INC.",2022-05-29,10-K,2022-07-22,420600000.0,901000000.0,952800000.0,1162200000.0,9630000000.0,123900000.0,2198200000.0,10135800000.0,7937600000.0
115,DRI,"DARDEN RESTAURANTS, INC.",2022-05-29,10-K,2023-07-21,420600000.0,901000000.0,952800000.0,1162200000.0,9630000000.0,123900000.0,2198200000.0,10135800000.0,7937600000.0
116,DRI,"DARDEN RESTAURANTS, INC.",2022-05-29,10-K,2024-07-19,420600000.0,,952800000.0,1162200000.0,9630000000.0,,2198200000.0,,
117,DRI,"DARDEN RESTAURANTS, INC.",2022-05-29,10-K,2025-07-18,,,,,,,2198200000.0,,
110,DRI,"DARDEN RESTAURANTS, INC.",2021-05-30,10-K,2021-07-23,1214700000.0,929800000.0,629300000.0,648700000.0,7196100000.0,130800000.0,2813100000.0,10656100000.0,7843000000.0
111,DRI,"DARDEN RESTAURANTS, INC.",2021-05-30,10-K,2022-07-22,1214700000.0,929800000.0,629300000.0,648700000.0,7196100000.0,130800000.0,2813100000.0,10656100000.0,7843000000.0
112,DRI,"DARDEN RESTAURANTS, INC.",2021-05-30,10-K,2023-07-21,1214700000.0,,629300000.0,648700000.0,7196100000.0,,2813100000.0,,
113,DRI,"DARDEN RESTAURANTS, INC.",2021-05-30,10-K,2024-07-19,,,,,,,2813100000.0,,
106,DRI,"DARDEN RESTAURANTS, INC.",2020-05-31,10-K,2020-07-24,763300000.0,928800000.0,-480000000.0,47900000.0,1270100000.0,129900000.0,2331200000.0,9946100000.0,7614900000.0
107,DRI,"DARDEN RESTAURANTS, INC.",2020-05-31,10-K,2021-07-23,763300000.0,928800000.0,-52400000.0,47900000.0,7806900000.0,129900000.0,2331200000.0,9946100000.0,7614900000.0
108,DRI,"DARDEN RESTAURANTS, INC.",2020-05-31,10-K,2022-07-22,763300000.0,,-52400000.0,47900000.0,7806900000.0,,2331200000.0,,
109,DRI,"DARDEN RESTAURANTS, INC.",2020-05-31,10-K,2023-07-21,,,,,,,2331200000.0,,
105,DRI,"DARDEN RESTAURANTS, INC.",2020-02-23,10-K,2020-07-24,,,232300000.0,,2346500000.0,,,,
104,DRI,"DARDEN RESTAURANTS, INC.",2019-11-24,10-K,2020-07-24,,,24700000.0,,2056400000.0,,,,
103,DRI,"DARDEN RESTAURANTS, INC.",2019-08-25,10-K,2020-07-24,,,170600000.0,,2133900000.0,,,,
99,DRI,"DARDEN RESTAURANTS, INC.",2019-05-26,10-K,2019-07-19,457300000.0,927700000.0,208000000.0,832500000.0,2229100000.0,123100000.0,2392600000.0,5892800000.0,3500200000.0
100,DRI,"DARDEN RESTAURANTS, INC.",2019-05-26,10-K,2020-07-24,457300000.0,927700000.0,208000000.0,832500000.0,2229100000.0,123100000.0,2392600000.0,5892800000.0,3500200000.0
101,DRI,"DARDEN RESTAURANTS, INC.",2019-05-26,10-K,2021-07-23,,,713400000.0,832500000.0,8510400000.0,,2392600000.0,,
102,DRI,"DARDEN RESTAURANTS, INC.",2019-05-26,10-K,2022-07-22,,,,,,,2392600000.0,,
97,DRI,"DARDEN RESTAURANTS, INC.",2019-02-24,10-K,2019-07-19,,,223600000.0,,2246500000.0,,,,
98,DRI,"DARDEN RESTAURANTS, INC.",2019-02-24,10-K,2020-07-24,,,223600000.0,,2246500000.0,,,,
95,DRI,"DARDEN RESTAURANTS, INC.",2018-11-25,10-K,2019-07-19,,,115600000.0,,1973400000.0,,,,
96,DRI,"DARDEN RESTAURANTS, INC.",2018-11-25,10-K,2020-07-24,,,115600000.0,,1973400000.0,,,,
93,DRI,"DARDEN RESTAURANTS, INC.",2018-08-26,10-K,2019-07-19,,,166200000.0,,2061400000.0,,,,
94,DRI,"DARDEN RESTAURANTS, INC.",2018-08-26,10-K,2020-07-24,,,166200000.0,,2061400000.0,,,,
89,DRI,"DARDEN RESTAURANTS, INC.",2018-05-27,10-K,2018-07-20,146900000.0,926500000.0,174500000.0,766800000.0,2134100000.0,123500000.0,2194800000.0,5469600000.0,3274800000.0
90,DRI,"DARDEN RESTAURANTS, INC.",2018-05-27,10-K,2019-07-19,146900000.0,926500000.0,174500000.0,766800000.0,2134100000.0,123500000.0,2194800000.0,5469600000.0,3274800000.0
91,DRI,"DARDEN RESTAURANTS, INC.",2018-05-27,10-K,2020-07-24,,,596000000.0,766800000.0,8080100000.0,,2194800000.0,,
92,DRI,"DARDEN RESTAURANTS, INC.",2018-05-27,10-K,2021-07-23,,,,,,,2194800000.0,,
87,DRI,"DARDEN RESTAURANTS, INC.",2018-02-25,10-K,2018-07-20,,,217800000.0,,2128400000.0,,,,
88,DRI,"DARDEN RESTAURANTS, INC.",2018-02-25,10-K,2019-07-19,,,217800000.0,,2128400000.0,,,,
85,DRI,"DARDEN RESTAURANTS, INC.",2017-11-26,10-K,2018-07-20,,,84700000.0,,1881500000.0,,,,
86,DRI,"DARDEN RESTAURANTS, INC.",2017-11-26,10-K,2019-07-19,,,84700000.0,,1881500000.0,,,,
83,DRI,"DARDEN RESTAURANTS, INC.",2017-08-27,10-K,2018-07-20,,,119000000.0,,1936100000.0,,,,
84,DRI,"DARDEN RESTAURANTS, INC.",2017-08-27,10-K,2019-07-19,,,119000000.0,,1936100000.0,,,,
79,DRI,"DARDEN RESTAURANTS, INC.",2017-05-28,10-K,2017-07-21,233100000.0,936600000.0,123800000.0,677500000.0,,125400000.0,2101700000.0,5504200000.0,3402500000.0
80,DRI,"DARDEN RESTAURANTS, INC.",2017-05-28,10-K,2018-07-20,233100000.0,936600000.0,123800000.0,677500000.0,1934600000.0,125400000.0,2101700000.0,5292300000.0,3190600000.0
81,DRI,"DARDEN RESTAURANTS, INC.",2017-05-28,10-K,2019-07-19,233100000.0,,479100000.0,677500000.0,7170200000.0,,2101700000.0,,
82,DRI,"DARDEN RESTAURANTS, INC.",2017-05-28,10-K,2020-07-24,,,,,,,2101700000.0,,
77,DRI,"DARDEN RESTAURANTS, INC.",2017-02-26,10-K,2017-07-21,,,165600000.0,,,,,,
78,DRI,"DARDEN RESTAURANTS, INC.",2017-02-26,10-K,2018-07-20,,,165600000.0,,1878700000.0,,,,
75,DRI,"DARDEN RESTAURANTS, INC.",2016-11-27,10-K,2017-07-21,,,79500000.0,,,,,,
76,DRI,"DARDEN RESTAURANTS, INC.",2016-11-27,10-K,2018-07-20,,,79500000.0,,1642500000.0,,,,
73,DRI,"DARDEN RESTAURANTS, INC.",2016-08-28,10-K,2017-07-21,,,110200000.0,,,,,,
74,DRI,"DARDEN RESTAURANTS, INC.",2016-08-28,10-K,2018-07-20,,,110200000.0,,1714400000.0,,,,
69,DRI,"DARDEN RESTAURANTS, INC.",2016-05-29,10-K,2016-07-25,274800000.0,440000000.0,139600000.0,622200000.0,,126200000.0,1952000000.0,4582600000.0,2630600000.0
70,DRI,"DARDEN RESTAURANTS, INC.",2016-05-29,10-K,2017-07-21,274800000.0,440000000.0,139600000.0,622200000.0,,126200000.0,1952000000.0,4582600000.0,2630600000.0
71,DRI,"DARDEN RESTAURANTS, INC.",2016-05-29,10-K,2018-07-20,274800000.0,,375000000.0,622200000.0,6933500000.0,,1952000000.0,,
72,DRI,"DARDEN RESTAURANTS, INC.",2016-05-29,10-K,2019-07-19,274800000.0,,,,,,1952000000.0,,
67,DRI,"DARDEN RESTAURANTS, INC.",2016-02-28,10-K,2016-07-25,,,105800000.0,,,,,,
68,DRI,"DARDEN RESTAURANTS, INC.",2016-02-28,10-K,2017-07-21,,,105800000.0,,,,,,
65,DRI,"DARDEN RESTAURANTS, INC.",2015-11-29,10-K,2016-07-25,,,43200000.0,,,,,,
66,DRI,"DARDEN RESTAURANTS, INC.",2015-11-29,10-K,2017-07-21,,,43200000.0,,,,,,
63,DRI,"DARDEN RESTAURANTS, INC.",2015-08-30,10-K,2016-07-25,,,86400000.0,,,,,,
64,DRI,"DARDEN RESTAURANTS, INC.",2015-08-30,10-K,2017-07-21,,,86400000.0,,,,,,
59,DRI,"DARDEN RESTAURANTS, INC.",2015-05-31,10-K,2015-07-24,535900000.0,1467300000.0,105300000.0,367600000.0,,126700000.0,2333500000.0,5994700000.0,3661200000.0
60,DRI,"DARDEN RESTAURANTS, INC.",2015-05-31,10-K,2016-07-25,535900000.0,1467300000.0,105300000.0,367600000.0,,126700000.0,2333500000.0,5994700000.0,3661200000.0
61,DRI,"DARDEN RESTAURANTS, INC.",2015-05-31,10-K,2017-07-21,535900000.0,,709500000.0,367600000.0,,,2333500000.0,,
62,DRI,"DARDEN RESTAURANTS, INC.",2015-05-31,10-K,2018-07-20,535900000.0,,,,,,2333500000.0,,
57,DRI,"DARDEN RESTAURANTS, INC.",2015-02-22,10-K,2015-07-24,,,133800000.0,,,,,,
58,DRI,"DARDEN RESTAURANTS, INC.",2015-02-22,10-K,2016-07-25,,,133800000.0,,,,,,
55,DRI,"DARDEN RESTAURANTS, INC.",2014-11-23,10-K,2015-07-24,,,-32800000.0,,,,,,
56,DRI,"DARDEN RESTAURANTS, INC.",2014-11-23,10-K,2016-07-25,,,-32800000.0,,,,,,
53,DRI,"DARDEN RESTAURANTS, INC.",2014-08-24,10-K,2015-07-24,,,503200000.0,,,,,,
54,DRI,"DARDEN RESTAURANTS, INC.",2014-08-24,10-K,2016-07-25,,,503200000.0,,,,,,
49,DRI,"DARDEN RESTAURANTS, INC.",2014-05-25,10-K,2014-07-18,98300000.0,2496400000.0,86500000.0,,,132300000.0,2156900000.0,7100700000.0,4943800000.0
50,DRI,"DARDEN RESTAURANTS, INC.",2014-05-25,10-K,2015-07-24,98300000.0,2478400000.0,86500000.0,308900000.0,,132300000.0,2156900000.0,7082700000.0,4925800000.0
51,DRI,"DARDEN RESTAURANTS, INC.",2014-05-25,10-K,2016-07-25,98300000.0,,286200000.0,308900000.0,,,2156900000.0,,
52,DRI,"DARDEN RESTAURANTS, INC.",2014-05-25,10-K,2017-07-21,98300000.0,,,,,,2156900000.0,,
47,DRI,"DARDEN RESTAURANTS, INC.",2014-02-23,10-K,2014-07-18,,,109700000.0,,,,,,
48,DRI,"DARDEN RESTAURANTS, INC.",2014-02-23,10-K,2015-07-24,,,109700000.0,,,,,,
45,DRI,"DARDEN RESTAURANTS, INC.",2013-11-24,10-K,2014-07-18,,,19800000.0,,,,,,
46,DRI,"DARDEN RESTAURANTS, INC.",2013-11-24,10-K,2015-07-24,,,19800000.0,,,,,,
43,DRI,"DARDEN RESTAURANTS, INC.",2013-08-25,10-K,2014-07-18,,,70200000.0,,,,,,
44,DRI,"DARDEN RESTAURANTS, INC.",2013-08-25,10-K,2015-07-24,,,70200000.0,,,,,,
39,DRI,"DARDEN RESTAURANTS, INC.",2013-05-26,10-K,2013-07-19,88200000.0,2496200000.0,133200000.0,,,130300000.0,2059500000.0,6936900000.0,4877400000.0
40,DRI,"DARDEN RESTAURANTS, INC.",2013-05-26,10-K,2014-07-18,88200000.0,2496200000.0,133200000.0,,,130300000.0,2059500000.0,6936900000.0,4877400000.0
41,DRI,"DARDEN RESTAURANTS, INC.",2013-05-26,10-K,2015-07-24,88200000.0,,411900000.0,400000000.0,,,2059500000.0,,
42,DRI,"DARDEN RESTAURANTS, INC.",2013-05-26,10-K,2016-07-25,88200000.0,,,,,,2059500000.0,,
37,DRI,"DARDEN RESTAURANTS, INC.",2013-02-24,10-K,2013-07-19,,,134400000.0,,,,,,
38,DRI,"DARDEN RESTAURANTS, INC.",2013-02-24,10-K,2014-07-18,,,134400000.0,,,,,,
35,DRI,"DARDEN RESTAURANTS, INC.",2012-11-25,10-K,2013-07-19,,,33600000.0,,,,,,
36,DRI,"DARDEN RESTAURANTS, INC.",2012-11-25,10-K,2014-07-18,,,33600000.0,,,,,,
33,DRI,"DARDEN RESTAURANTS, INC.",2012-08-26,10-K,2013-07-19,,,110800000.0,,,,,,
34,DRI,"DARDEN RESTAURANTS, INC.",2012-08-26,10-K,2014-07-18,,,110800000.0,,,,,,
29,DRI,"DARDEN RESTAURANTS, INC.",2012-05-27,10-K,2012-07-20,70500000.0,1803600000.0,151200000.0,,,129000000.0,1842000000.0,5944200000.0,4102200000.0
30,DRI,"DARDEN RESTAURANTS, INC.",2012-05-27,10-K,2013-07-19,70500000.0,1803600000.0,151200000.0,,,129000000.0,1842000000.0,5944200000.0,4102200000.0
31,DRI,"DARDEN RESTAURANTS, INC.",2012-05-27,10-K,2014-07-18,70500000.0,,475500000.0,,,,1842000000.0,,
32,DRI,"DARDEN RESTAURANTS, INC.",2012-05-27,10-K,2015-07-24,70500000.0,,,,,,1842000000.0,,
27,DRI,"DARDEN RESTAURANTS, INC.",2012-02-26,10-K,2012-07-20,,,164100000.0,,,,,,
28,DRI,"DARDEN RESTAURANTS, INC.",2012-02-26,10-K,2013-07-19,,,164100000.0,,,,,,
25,DRI,"DARDEN RESTAURANTS, INC.",2011-11-27,10-K,2012-07-20,,,53700000.0,,,,,,
26,DRI,"DARDEN RESTAURANTS, INC.",2011-11-27,10-K,2013-07-19,,,53700000.0,,,,,,
23,DRI,"DARDEN RESTAURANTS, INC.",2011-08-28,10-K,2012-07-20,,,106600000.0,,,,,,
24,DRI,"DARDEN RESTAURANTS, INC.",2011-08-28,10-K,2013-07-19,,,106600000.0,,,,,,
19,DRI,"DARDEN RESTAURANTS, INC.",2011-05-29,10-K,2011-07-22,70500000.0,1408000000.0,137400000.0,,,134600000.0,1936200000.0,5466600000.0,3530400000.0
20,DRI,"DARDEN RESTAURANTS, INC.",2011-05-29,10-K,2012-07-20,70500000.0,1407300000.0,137400000.0,,,134600000.0,1936200000.0,5466600000.0,3530400000.0
21,DRI,"DARDEN RESTAURANTS, INC.",2011-05-29,10-K,2013-07-19,70500000.0,,476300000.0,,,,1936200000.0,,
22,DRI,"DARDEN RESTAURANTS, INC.",2011-05-29,10-K,2014-07-18,70500000.0,,,,,,1936200000.0,,
17,DRI,"DARDEN RESTAURANTS, INC.",2011-02-27,10-K,2011-07-22,,,151200000.0,,,,,,
18,DRI,"DARDEN RESTAURANTS, INC.",2011-02-27,10-K,2012-07-20,,,151200000.0,,,,,,
15,DRI,"DARDEN RESTAURANTS, INC.",2010-11-28,10-K,2011-07-22,,,74500000.0,,,,,,
16,DRI,"DARDEN RESTAURANTS, INC.",2010-11-28,10-K,2012-07-20,,,74500000.0,,,,,,
13,DRI,"DARDEN RESTAURANTS, INC.",2010-08-29,10-K,2011-07-22,,,113100000.0,,,,,,
14,DRI,"DARDEN RESTAURANTS, INC.",2010-08-29,10-K,2012-07-20,,,113100000.0,,,,,,
9,DRI,"DARDEN RESTAURANTS, INC.",2010-05-30,10-K,2010-07-23,248800000.0,,404500000.0,,,140600000.0,1894000000.0,5247400000.0,3353400000.0
10,DRI,"DARDEN RESTAURANTS, INC.",2010-05-30,10-K,2011-07-22,248800000.0,1634800000.0,115600000.0,,,140600000.0,1894000000.0,5276100000.0,3382100000.0
11,DRI,"DARDEN RESTAURANTS, INC.",2010-05-30,10-K,2012-07-20,248800000.0,,404500000.0,,,,1894000000.0,,
12,DRI,"DARDEN RESTAURANTS, INC.",2010-05-30,10-K,2013-07-19,248800000.0,,,,,,1894000000.0,,
8,DRI,"DARDEN RESTAURANTS, INC.",2010-02-28,10-K,2011-07-22,,,134300000.0,,,,,,
7,DRI,"DARDEN RESTAURANTS, INC.",2009-11-29,10-K,2011-07-22,,,60300000.0,,,,,,
6,DRI,"DARDEN RESTAURANTS, INC.",2009-08-30,10-K,2011-07-22,,,94300000.0,,,,,,
3,DRI,"DARDEN RESTAURANTS, INC.",2009-05-31,10-K,2010-07-23,62900000.0,,372200000.0,,,139300000.0,1606000000.0,5025200000.0,3419200000.0
4,DRI,"DARDEN RESTAURANTS, INC.",2009-05-31,10-K,2011-07-22,62900000.0,,372200000.0,,,,1606000000.0,,
5,DRI,"DARDEN RESTAURANTS, INC.",2009-05-31,10-K,2012-07-20,62900000.0,,,,,,1606000000.0,,
1,DRI,"DARDEN RESTAURANTS, INC.",2008-05-25,10-K,2010-07-23,43200000.0,,377200000.0,,,,1409100000.0,,
2,DRI,"DARDEN RESTAURANTS, INC.",2008-05-25,10-K,2011-07-22,43200000.0,,,,,,1409100000.0,,
0,DRI,"DARDEN RESTAURANTS, INC.",2007-05-27,10-K,2010-07-23,30200000.0,,,,,,1094500000.0,,
