,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets
113,DVN,DEVON ENERGY CORP/DE,2025-12-31,10-K,2026-02-18,1384000000.0,8389000000.0,2642000000.0,,17188000000.0,16786000000.0,15528000000.0,31599000000.0
111,DVN,DEVON ENERGY CORP/DE,2024-12-31,10-K,2025-02-19,811000000.0,8883000000.0,2891000000.0,,15940000000.0,15919000000.0,14496000000.0,30489000000.0
112,DVN,DEVON ENERGY CORP/DE,2024-12-31,10-K,2026-02-18,811000000.0,8883000000.0,2891000000.0,,15940000000.0,15919000000.0,14496000000.0,30489000000.0
108,DVN,DEVON ENERGY CORP/DE,2023-12-31,10-K,2024-02-28,853000000.0,6155000000.0,3747000000.0,,15258000000.0,15140000000.0,12061000000.0,24490000000.0
109,DVN,DEVON ENERGY CORP/DE,2023-12-31,10-K,2025-02-19,853000000.0,6155000000.0,3747000000.0,,15258000000.0,15140000000.0,12061000000.0,24490000000.0
110,DVN,DEVON ENERGY CORP/DE,2023-12-31,10-K,2026-02-18,853000000.0,,3747000000.0,,15258000000.0,15140000000.0,,24490000000.0
105,DVN,DEVON ENERGY CORP/DE,2022-12-31,10-K,2023-02-15,1314000000.0,6440000000.0,6015000000.0,,19169000000.0,19827000000.0,11167000000.0,23721000000.0
106,DVN,DEVON ENERGY CORP/DE,2022-12-31,10-K,2024-02-28,1314000000.0,6440000000.0,6015000000.0,,19169000000.0,19827000000.0,11167000000.0,23721000000.0
107,DVN,DEVON ENERGY CORP/DE,2022-12-31,10-K,2025-02-19,1314000000.0,,6015000000.0,,19169000000.0,19827000000.0,,23271000000.0
102,DVN,DEVON ENERGY CORP/DE,2021-12-31,10-K,2022-02-16,2099000000.0,,2813000000.0,,12206000000.0,13750000000.0,9262000000.0,21025000000.0
103,DVN,DEVON ENERGY CORP/DE,2021-12-31,10-K,2023-02-15,2099000000.0,6482000000.0,2813000000.0,,12206000000.0,13750000000.0,9262000000.0,21025000000.0
