,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
52,ED,CONSOLIDATED EDISON INC,2025-12-31,10-K,2026-02-19,1629000000.0,25801000000.0,2023000000.0,2935000000.0,16918000000.0,17049000000.0,361121447.0,24190000000.0,74603000000.0
50,ED,CONSOLIDATED EDISON INC,2024-12-31,10-K,2025-02-20,1324000000.0,24710000000.0,1820000000.0,2670000000.0,15256000000.0,15469000000.0,346597693.0,,70562000000.0
51,ED,CONSOLIDATED EDISON INC,2024-12-31,10-K,2026-02-19,1324000000.0,24710000000.0,1820000000.0,2670000000.0,15256000000.0,15469000000.0,346597693.0,21962000000.0,70562000000.0
47,ED,CONSOLIDATED EDISON INC,2023-12-31,10-K,2024-02-15,1189000000.0,22240000000.0,2519000000.0,3196000000.0,14663000000.0,14476000000.0,345415772.0,21158000000.0,66331000000.0
48,ED,CONSOLIDATED EDISON INC,2023-12-31,10-K,2025-02-20,1189000000.0,22240000000.0,2519000000.0,3196000000.0,14663000000.0,14476000000.0,345415772.0,,66331000000.0
49,ED,CONSOLIDATED EDISON INC,2023-12-31,10-K,2026-02-19,,,2519000000.0,3196000000.0,14663000000.0,14476000000.0,,,66331000000.0
44,ED,CONSOLIDATED EDISON INC,2022-12-31,10-K,2023-02-16,1282000000.0,23441000000.0,1660000000.0,2624000000.0,15670000000.0,15455000000.0,354962058.0,20687000000.0,69065000000.0
45,ED,CONSOLIDATED EDISON INC,2022-12-31,10-K,2024-02-15,1282000000.0,23441000000.0,1660000000.0,2624000000.0,15670000000.0,15455000000.0,354962058.0,20687000000.0,69065000000.0
46,ED,CONSOLIDATED EDISON INC,2022-12-31,10-K,2025-02-20,,,1660000000.0,2624000000.0,15670000000.0,15455000000.0,,,69065000000.0
41,ED,CONSOLIDATED EDISON INC,2021-12-31,10-K,2022-02-17,992000000.0,23044000000.0,1346000000.0,2826000000.0,13676000000.0,13456000000.0,353983712.0,20037000000.0,63116000000.0
42,ED,CONSOLIDATED EDISON INC,2021-12-31,10-K,2023-02-16,992000000.0,23044000000.0,1346000000.0,2826000000.0,13676000000.0,13456000000.0,353983712.0,20037000000.0,63116000000.0
43,ED,CONSOLIDATED EDISON INC,2021-12-31,10-K,2024-02-15,,,1346000000.0,2826000000.0,13676000000.0,13456000000.0,,,63116000000.0
38,ED,CONSOLIDATED EDISON INC,2020-12-31,10-K,2021-02-18,1272000000.0,22349000000.0,1101000000.0,2654000000.0,12246000000.0,12026000000.0,342297534.0,18847000000.0,62895000000.0
39,ED,CONSOLIDATED EDISON INC,2020-12-31,10-K,2022-02-17,1272000000.0,22349000000.0,1101000000.0,2654000000.0,12246000000.0,12026000000.0,342297534.0,18847000000.0,62895000000.0
