,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
114,EOG,"EOG RESOURCES, INC.",2025-12-31,10-K,2026-02-24,3396000000.0,4980000000.0,6385000000.0,22632000000.0,,29833000000.0,51799000000.0
112,EOG,"EOG RESOURCES, INC.",2024-12-31,10-K,2025-02-27,7092000000.0,6403000000.0,8082000000.0,23698000000.0,,29351000000.0,47186000000.0
113,EOG,"EOG RESOURCES, INC.",2024-12-31,10-K,2026-02-24,7092000000.0,6403000000.0,8082000000.0,23698000000.0,,29351000000.0,47186000000.0
109,EOG,"EOG RESOURCES, INC.",2023-12-31,10-K,2024-02-22,5278000000.0,7594000000.0,9603000000.0,24186000000.0,,28090000000.0,43857000000.0
110,EOG,"EOG RESOURCES, INC.",2023-12-31,10-K,2025-02-27,5278000000.0,7594000000.0,9603000000.0,24186000000.0,,28090000000.0,43857000000.0
111,EOG,"EOG RESOURCES, INC.",2023-12-31,10-K,2026-02-24,,7594000000.0,9603000000.0,24186000000.0,,28090000000.0,43857000000.0
105,EOG,"EOG RESOURCES, INC.",2022-12-31,10-K,2023-02-23,5972000000.0,7759000000.0,9966000000.0,25702000000.0,,24779000000.0,41371000000.0
106,EOG,"EOG RESOURCES, INC.",2022-12-31,10-K,2024-02-22,5972000000.0,7759000000.0,9966000000.0,25702000000.0,,24779000000.0,41371000000.0
107,EOG,"EOG RESOURCES, INC.",2022-12-31,10-K,2025-02-27,,7759000000.0,9966000000.0,25702000000.0,,24779000000.0,41371000000.0
108,EOG,"EOG RESOURCES, INC.",2022-12-31,10-K,2026-02-24,,,,,,24779000000.0,
101,EOG,"EOG RESOURCES, INC.",2021-12-31,10-K,2022-02-24,5209000000.0,4664000000.0,6102000000.0,18642000000.0,,,38236000000.0
102,EOG,"EOG RESOURCES, INC.",2021-12-31,10-K,2023-02-23,5209000000.0,4664000000.0,6102000000.0,18642000000.0,,22180000000.0,38236000000.0
103,EOG,"EOG RESOURCES, INC.",2021-12-31,10-K,2024-02-22,,4664000000.0,6102000000.0,18642000000.0,,22180000000.0,38236000000.0
104,EOG,"EOG RESOURCES, INC.",2021-12-31,10-K,2025-02-27,,,,,,22180000000.0,
97,EOG,"EOG RESOURCES, INC.",2020-12-31,10-K,2021-02-25,3328928000.0,337466000.0,487662000.0,2965498000.0,,,35804601000.0
98,EOG,"EOG RESOURCES, INC.",2020-12-31,10-K,2022-02-24,3329000000.0,-605000000.0,-544000000.0,11032000000.0,,,35805000000.0
