,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
113,EQIX,"EQUINIX, INC.",2025-12-31,10-K,2026-02-11,1727000000.0,,1350000000.0,1848000000.0,,9217000000.0,98226000.0,14156000000.0,40141000000.0,25963000000.0
111,EQIX,"EQUINIX, INC.",2024-12-31,10-K,2025-02-12,3081000000.0,15334000000.0,815000000.0,1328000000.0,,8748000000.0,97287000.0,13528000000.0,35085000000.0,21533000000.0
112,EQIX,"EQUINIX, INC.",2024-12-31,10-K,2026-02-11,3081000000.0,,815000000.0,1328000000.0,,8748000000.0,97287000.0,13528000000.0,35085000000.0,21533000000.0
108,EQIX,"EQUINIX, INC.",2023-12-31,10-K,2024-02-16,2095712000.0,13840646000.0,969178000.0,1443274000.0,,8188136000.0,94479277.0,12488894000.0,32650724000.0,20137225000.0
109,EQIX,"EQUINIX, INC.",2023-12-31,10-K,2025-02-12,2096000000.0,,969000000.0,1443000000.0,,8188000000.0,94479000.0,12489000000.0,32651000000.0,20137000000.0
110,EQIX,"EQUINIX, INC.",2023-12-31,10-K,2026-02-11,2096000000.0,,969000000.0,1443000000.0,,8188000000.0,,,,
105,EQIX,"EQUINIX, INC.",2022-12-31,10-K,2023-02-17,1906421000.0,12880507000.0,704345000.0,1200528000.0,,7263105000.0,92620703.0,11505966000.0,30310742000.0,18804910000.0
106,EQIX,"EQUINIX, INC.",2022-12-31,10-K,2024-02-16,1906421000.0,,704345000.0,1200528000.0,,7263105000.0,92620703.0,11505966000.0,30310742000.0,18804910000.0
107,EQIX,"EQUINIX, INC.",2022-12-31,10-K,2025-02-12,1906000000.0,,705000000.0,1200000000.0,,7263000000.0,,,,
102,EQIX,"EQUINIX, INC.",2021-12-31,10-K,2022-02-18,1536358000.0,11722148000.0,500191000.0,1108162000.0,,6635537000.0,90571406.0,10882082000.0,27918698000.0,17036934000.0
