,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets,total_liabilities
84,EXE,EXPAND ENERGY CORPORATION,2025-12-31,10-K,2026-02-18,616000000.0,5009000000.0,1819000000.0,2471000000.0,12124000000.0,,18578000000.0,28287000000.0,9709000000.0
82,EXE,EXPAND ENERGY CORPORATION,2024-12-31,10-K,2025-02-26,317000000.0,5680000000.0,-714000000.0,-803000000.0,4235000000.0,,17565000000.0,27894000000.0,10329000000.0
83,EXE,EXPAND ENERGY CORPORATION,2024-12-31,10-K,2026-02-18,317000000.0,5680000000.0,-714000000.0,-803000000.0,4235000000.0,,17565000000.0,27894000000.0,10329000000.0
79,EXE,EXPAND ENERGY CORPORATION,2023-12-31,10-K,2024-02-21,1079000000.0,1950000000.0,2419000000.0,3142000000.0,8721000000.0,,10729000000.0,14376000000.0,3647000000.0
80,EXE,EXPAND ENERGY CORPORATION,2023-12-31,10-K,2025-02-26,1079000000.0,2028000000.0,2419000000.0,3142000000.0,8721000000.0,,10729000000.0,14376000000.0,3647000000.0
81,EXE,EXPAND ENERGY CORPORATION,2023-12-31,10-K,2026-02-18,1079000000.0,,2419000000.0,3142000000.0,8721000000.0,,10729000000.0,,
75,EXE,EXPAND ENERGY CORPORATION,2022-12-31,10-K,2023-02-22,130000000.0,3000000000.0,4936000000.0,3780000000.0,11743000000.0,,9124000000.0,15468000000.0,6344000000.0
76,EXE,EXPAND ENERGY CORPORATION,2022-12-31,10-K,2024-02-21,130000000.0,,4936000000.0,3780000000.0,11743000000.0,,9124000000.0,15468000000.0,6344000000.0
77,EXE,EXPAND ENERGY CORPORATION,2022-12-31,10-K,2025-02-26,130000000.0,,4936000000.0,3780000000.0,11743000000.0,,9124000000.0,,
78,EXE,EXPAND ENERGY CORPORATION,2022-12-31,10-K,2026-02-18,,,,,,,9124000000.0,,
71,EXE,EXPAND ENERGY CORPORATION,2021-12-31,10-K,2022-02-24,905000000.0,,945000000.0,938000000.0,5549000000.0,,5671000000.0,11009000000.0,5338000000.0
72,EXE,EXPAND ENERGY CORPORATION,2021-12-31,10-K,2023-02-22,905000000.0,,945000000.0,938000000.0,5549000000.0,,5671000000.0,11009000000.0,5338000000.0
73,EXE,EXPAND ENERGY CORPORATION,2021-12-31,10-K,2024-02-21,905000000.0,,945000000.0,938000000.0,5549000000.0,,5671000000.0,,
74,EXE,EXPAND ENERGY CORPORATION,2021-12-31,10-K,2025-02-26,,,,,,,5671000000.0,,
68,EXE,EXPAND ENERGY CORPORATION,2021-02-09,10-K,2022-02-24,40000000.0,1313000000.0,5383000000.0,-234000000.0,260000000.0,,3586000000.0,6814000000.0,3228000000.0
69,EXE,EXPAND ENERGY CORPORATION,2021-02-09,10-K,2023-02-22,40000000.0,1313000000.0,5383000000.0,-234000000.0,260000000.0,,3586000000.0,6814000000.0,3228000000.0
70,EXE,EXPAND ENERGY CORPORATION,2021-02-09,10-K,2024-02-21,40000000.0,1313000000.0,5383000000.0,-234000000.0,260000000.0,,3586000000.0,6814000000.0,3228000000.0
64,EXE,EXPAND ENERGY CORPORATION,2020-12-31,10-K,2021-03-01,279000000.0,,-416000000.0,176000000.0,1259000000.0,,-5341000000.0,6584000000.0,11925000000.0
