,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
43,GOOGL,ALPHABET INC.,2025-12-31,10-K,2026-02-05,30708000000.0,49085000000.0,132170000000.0,129039000000.0,402836000000.0,,12088000000.0,415265000000.0,595281000000.0,180016000000.0
41,GOOGL,ALPHABET INC.,2024-12-31,10-K,2025-02-05,23466000000.0,12000000000.0,100118000000.0,112390000000.0,,350018000000.0,12211000000.0,325084000000.0,450256000000.0,125172000000.0
42,GOOGL,ALPHABET INC.,2024-12-31,10-K,2026-02-05,23466000000.0,,100118000000.0,112390000000.0,350018000000.0,,12211000000.0,325084000000.0,450256000000.0,125172000000.0
38,GOOGL,ALPHABET INC.,2023-12-31,10-K,2024-01-31,24048000000.0,14862000000.0,73795000000.0,84293000000.0,,307394000000.0,12460000000.0,283379000000.0,402392000000.0,119013000000.0
39,GOOGL,ALPHABET INC.,2023-12-31,10-K,2025-02-05,24048000000.0,13000000000.0,73795000000.0,84293000000.0,,307394000000.0,12460000000.0,283379000000.0,402392000000.0,119013000000.0
40,GOOGL,ALPHABET INC.,2023-12-31,10-K,2026-02-05,,,73795000000.0,84293000000.0,307394000000.0,,,283379000000.0,,
34,GOOGL,ALPHABET INC.,2022-12-31,10-K,2023-02-03,21879000000.0,15312000000.0,59972000000.0,74842000000.0,,282836000000.0,12849000000.0,256144000000.0,365264000000.0,109120000000.0
35,GOOGL,ALPHABET INC.,2022-12-31,10-K,2024-01-31,21879000000.0,,59972000000.0,74842000000.0,,282836000000.0,12849000000.0,256144000000.0,365264000000.0,109120000000.0
36,GOOGL,ALPHABET INC.,2022-12-31,10-K,2025-02-05,,,59972000000.0,74842000000.0,,282836000000.0,,256144000000.0,,
37,GOOGL,ALPHABET INC.,2022-12-31,10-K,2026-02-05,,,,,,,,256144000000.0,,
30,GOOGL,ALPHABET INC.,2021-12-31,10-K,2022-02-02,20945000000.0,15440000000.0,76033000000.0,78714000000.0,257637000000.0,,662121000.0,251635000000.0,359268000000.0,107633000000.0
31,GOOGL,ALPHABET INC.,2021-12-31,10-K,2023-02-03,20945000000.0,,76033000000.0,78714000000.0,,257637000000.0,13242000000.0,251635000000.0,359268000000.0,107633000000.0
32,GOOGL,ALPHABET INC.,2021-12-31,10-K,2024-01-31,,,76033000000.0,78714000000.0,,257637000000.0,,251635000000.0,,
33,GOOGL,ALPHABET INC.,2021-12-31,10-K,2025-02-05,,,,,,,,251635000000.0,,
