,ticker,company,concept,value,end_date,filed,form
0,GOOG,ALPHABET INC.,revenue,55519000000,2013-12-31,2016-02-11,10-K
1,GOOG,ALPHABET INC.,revenue,66001000000,2014-12-31,2016-02-11,10-K
2,GOOG,ALPHABET INC.,revenue,66001000000,2014-12-31,2017-02-03,10-K
3,GOOG,ALPHABET INC.,revenue,74989000000,2015-12-31,2016-02-11,10-K
4,GOOG,ALPHABET INC.,revenue,74989000000,2015-12-31,2017-02-03,10-K
5,GOOG,ALPHABET INC.,revenue,74989000000,2015-12-31,2018-02-06,10-K
6,GOOG,ALPHABET INC.,revenue,90272000000,2016-12-31,2017-02-03,10-K
7,GOOG,ALPHABET INC.,revenue,90272000000,2016-12-31,2018-02-06,10-K
8,GOOG,ALPHABET INC.,revenue,110855000000,2017-12-31,2018-02-06,10-K
9,GOOG,ALPHABET INC.,revenue,136819000000,2018-12-31,2021-02-03,10-K
10,GOOG,ALPHABET INC.,revenue,161857000000,2019-12-31,2021-02-03,10-K
11,GOOG,ALPHABET INC.,revenue,161857000000,2019-12-31,2022-02-02,10-K
12,GOOG,ALPHABET INC.,revenue,182527000000,2020-12-31,2021-02-03,10-K
13,GOOG,ALPHABET INC.,revenue,182527000000,2020-12-31,2022-02-02,10-K
14,GOOG,ALPHABET INC.,revenue,257637000000,2021-12-31,2022-02-02,10-K
15,GOOG,ALPHABET INC.,revenue,307394000000,2023-12-31,2026-02-05,10-K
16,GOOG,ALPHABET INC.,revenue,350018000000,2024-12-31,2026-02-05,10-K
17,GOOG,ALPHABET INC.,revenue,402836000000,2025-12-31,2026-02-05,10-K
18,GOOG,ALPHABET INC.,revenue_alt,90272000000,2016-12-31,2019-02-05,10-K
19,GOOG,ALPHABET INC.,revenue_alt,110855000000,2017-12-31,2019-02-05,10-K
20,GOOG,ALPHABET INC.,revenue_alt,110855000000,2017-12-31,2020-02-04,10-K
21,GOOG,ALPHABET INC.,revenue_alt,136819000000,2018-12-31,2019-02-05,10-K
22,GOOG,ALPHABET INC.,revenue_alt,136819000000,2018-12-31,2020-02-04,10-K
23,GOOG,ALPHABET INC.,revenue_alt,161857000000,2019-12-31,2020-02-04,10-K
24,GOOG,ALPHABET INC.,revenue_alt,182527000000,2020-12-31,2023-02-03,10-K
25,GOOG,ALPHABET INC.,revenue_alt,257637000000,2021-12-31,2023-02-03,10-K
26,GOOG,ALPHABET INC.,revenue_alt,257637000000,2021-12-31,2024-01-31,10-K
