,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,stockholders_equity,total_assets
59,KO,COCA COLA CO,2025-12-31,10-K,2026-02-20,10270000000.0,,13107000000.0,13762000000.0,47941000000.0,32169000000.0,104816000000.0
57,KO,COCA COLA CO,2024-12-31,10-K,2025-02-20,10828000000.0,,10631000000.0,9992000000.0,47061000000.0,24856000000.0,100549000000.0
58,KO,COCA COLA CO,2024-12-31,10-K,2026-02-20,10828000000.0,,10631000000.0,9992000000.0,47061000000.0,24856000000.0,100549000000.0
54,KO,COCA COLA CO,2023-12-31,10-K,2024-02-20,9366000000.0,37507000000.0,10714000000.0,11311000000.0,45754000000.0,25941000000.0,97703000000.0
55,KO,COCA COLA CO,2023-12-31,10-K,2025-02-20,9366000000.0,,10714000000.0,11311000000.0,45754000000.0,25941000000.0,97703000000.0
56,KO,COCA COLA CO,2023-12-31,10-K,2026-02-20,9366000000.0,,10714000000.0,11311000000.0,45754000000.0,,
51,KO,COCA COLA CO,2022-12-31,10-K,2023-02-21,9519000000.0,36776000000.0,9542000000.0,10909000000.0,43004000000.0,24105000000.0,92763000000.0
52,KO,COCA COLA CO,2022-12-31,10-K,2024-02-20,9519000000.0,36776000000.0,9542000000.0,10909000000.0,43004000000.0,24105000000.0,92763000000.0
53,KO,COCA COLA CO,2022-12-31,10-K,2025-02-20,9519000000.0,,9542000000.0,10909000000.0,43004000000.0,,
48,KO,COCA COLA CO,2021-12-31,10-K,2022-02-22,9684000000.0,39454000000.0,9771000000.0,10308000000.0,38655000000.0,22999000000.0,94354000000.0
49,KO,COCA COLA CO,2021-12-31,10-K,2023-02-21,9684000000.0,39454000000.0,9771000000.0,10308000000.0,38655000000.0,22999000000.0,94354000000.0
50,KO,COCA COLA CO,2021-12-31,10-K,2024-02-20,9684000000.0,,9771000000.0,10308000000.0,38655000000.0,,
45,KO,COCA COLA CO,2020-12-31,10-K,2021-02-25,6795000000.0,40610000000.0,7747000000.0,8997000000.0,33014000000.0,19299000000.0,87296000000.0
46,KO,COCA COLA CO,2020-12-31,10-K,2022-02-22,6795000000.0,40610000000.0,7747000000.0,8997000000.0,33014000000.0,19299000000.0,87296000000.0
47,KO,COCA COLA CO,2020-12-31,10-K,2023-02-21,6795000000.0,,7747000000.0,8997000000.0,33014000000.0,,
42,KO,COCA COLA CO,2019-12-31,10-K,2020-02-24,6480000000.0,31769000000.0,8920000000.0,10086000000.0,37266000000.0,18981000000.0,86381000000.0
43,KO,COCA COLA CO,2019-12-31,10-K,2021-02-25,6480000000.0,31769000000.0,8920000000.0,10086000000.0,37266000000.0,18981000000.0,86381000000.0
44,KO,COCA COLA CO,2019-12-31,10-K,2022-02-22,6480000000.0,,8920000000.0,10086000000.0,37266000000.0,,
39,KO,COCA COLA CO,2018-12-31,10-K,2019-02-21,8926000000.0,30361000000.0,6434000000.0,8700000000.0,31856000000.0,16981000000.0,83216000000.0
40,KO,COCA COLA CO,2018-12-31,10-K,2020-02-24,9077000000.0,30379000000.0,6434000000.0,9152000000.0,34300000000.0,16981000000.0,83216000000.0
41,KO,COCA COLA CO,2018-12-31,10-K,2021-02-25,9077000000.0,,6434000000.0,9152000000.0,34300000000.0,,
36,KO,COCA COLA CO,2017-12-31,10-K,2018-02-23,6006000000.0,34480000000.0,1248000000.0,7501000000.0,,17072000000.0,87896000000.0
37,KO,COCA COLA CO,2017-12-31,10-K,2019-02-21,6006000000.0,34480000000.0,1248000000.0,7599000000.0,35410000000.0,17072000000.0,87896000000.0
38,KO,COCA COLA CO,2017-12-31,10-K,2020-02-24,6102000000.0,,1248000000.0,7755000000.0,36212000000.0,,
33,KO,COCA COLA CO,2016-12-31,10-K,2017-02-24,8555000000.0,33211000000.0,6527000000.0,8626000000.0,,23062000000.0,87270000000.0
34,KO,COCA COLA CO,2016-12-31,10-K,2018-02-23,8555000000.0,33211000000.0,6527000000.0,8626000000.0,,23062000000.0,87270000000.0
35,KO,COCA COLA CO,2016-12-31,10-K,2019-02-21,8555000000.0,,6527000000.0,8657000000.0,41863000000.0,,
30,KO,COCA COLA CO,2015-12-31,10-K,2016-02-25,7309000000.0,31084000000.0,7351000000.0,8728000000.0,,25554000000.0,90093000000.0
31,KO,COCA COLA CO,2015-12-31,10-K,2017-02-24,7309000000.0,30987000000.0,7351000000.0,8728000000.0,,25554000000.0,89996000000.0
32,KO,COCA COLA CO,2015-12-31,10-K,2018-02-23,7309000000.0,,7351000000.0,8728000000.0,,,
26,KO,COCA COLA CO,2014-12-31,10-K,2015-02-25,8958000000.0,22615000000.0,7098000000.0,9708000000.0,,30320000000.0,92023000000.0
27,KO,COCA COLA CO,2014-12-31,10-K,2016-02-25,8958000000.0,22615000000.0,7098000000.0,9708000000.0,,30320000000.0,92023000000.0
28,KO,COCA COLA CO,2014-12-31,10-K,2017-02-24,8958000000.0,,7098000000.0,9708000000.0,,,
29,KO,COCA COLA CO,2014-12-31,10-K,2018-02-23,8958000000.0,,,,,,
22,KO,COCA COLA CO,2013-12-31,10-K,2014-02-27,10414000000.0,20178000000.0,8584000000.0,10228000000.0,,33173000000.0,90055000000.0
23,KO,COCA COLA CO,2013-12-31,10-K,2015-02-25,10414000000.0,20178000000.0,8584000000.0,10228000000.0,,33173000000.0,90055000000.0
24,KO,COCA COLA CO,2013-12-31,10-K,2016-02-25,10414000000.0,,8584000000.0,10228000000.0,,,
25,KO,COCA COLA CO,2013-12-31,10-K,2017-02-24,10414000000.0,,,,,,
18,KO,COCA COLA CO,2012-12-31,10-K,2013-02-27,8442000000.0,16313000000.0,9019000000.0,10779000000.0,,32790000000.0,86174000000.0
19,KO,COCA COLA CO,2012-12-31,10-K,2014-02-27,8442000000.0,16313000000.0,9019000000.0,10779000000.0,,32790000000.0,86174000000.0
20,KO,COCA COLA CO,2012-12-31,10-K,2015-02-25,8442000000.0,,9019000000.0,10779000000.0,,,
21,KO,COCA COLA CO,2012-12-31,10-K,2016-02-25,8442000000.0,,,,,,
14,KO,COCA COLA CO,2011-12-31,10-K,2012-02-23,12803000000.0,15697000000.0,8572000000.0,10154000000.0,,31635000000.0,79974000000.0
15,KO,COCA COLA CO,2011-12-31,10-K,2013-02-27,12803000000.0,15697000000.0,8584000000.0,10173000000.0,,31635000000.0,79974000000.0
16,KO,COCA COLA CO,2011-12-31,10-K,2014-02-27,12803000000.0,,8584000000.0,10173000000.0,,,
17,KO,COCA COLA CO,2011-12-31,10-K,2015-02-25,12803000000.0,,,,,,
10,KO,COCA COLA CO,2010-12-31,10-K,2011-02-28,8517000000.0,15317000000.0,11809000000.0,8449000000.0,,31003000000.0,72921000000.0
11,KO,COCA COLA CO,2010-12-31,10-K,2012-02-23,8517000000.0,15317000000.0,11809000000.0,8449000000.0,,31003000000.0,72921000000.0
12,KO,COCA COLA CO,2010-12-31,10-K,2013-02-27,8517000000.0,,11787000000.0,8413000000.0,,31003000000.0,
13,KO,COCA COLA CO,2010-12-31,10-K,2014-02-27,8517000000.0,,,,,,
6,KO,COCA COLA CO,2009-12-31,10-K,2010-02-26,7021000000.0,,6824000000.0,8231000000.0,,24799000000.0,48671000000.0
7,KO,COCA COLA CO,2009-12-31,10-K,2011-02-28,7021000000.0,5110000000.0,6824000000.0,8231000000.0,,24799000000.0,48671000000.0
8,KO,COCA COLA CO,2009-12-31,10-K,2012-02-23,7021000000.0,,6824000000.0,8231000000.0,,24799000000.0,
9,KO,COCA COLA CO,2009-12-31,10-K,2013-02-27,7021000000.0,,,,,,
