,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
109,LYV,"LIVE NATION ENTERTAINMENT, INC.",2025-12-31,10-K,2026-02-19,7094200000.0,,495972000.0,1251217000.0,25201406000.0,235421446.0,271007000.0,22912533000.0
107,LYV,"LIVE NATION ENTERTAINMENT, INC.",2024-12-31,10-K,2025-02-21,6095424000.0,,896287000.0,824510000.0,23155625000.0,234363735.0,173263000.0,19638771000.0
108,LYV,"LIVE NATION ENTERTAINMENT, INC.",2024-12-31,10-K,2026-02-19,6095424000.0,,896287000.0,824510000.0,23155625000.0,234363735.0,173263000.0,19638771000.0
106,LYV,"LIVE NATION ENTERTAINMENT, INC.",2024-06-30,10-K,2025-02-21,,,297970000.0,465819000.0,,,,
105,LYV,"LIVE NATION ENTERTAINMENT, INC.",2024-03-31,10-K,2025-02-21,,,-54475000.0,-41390000.0,,,,
102,LYV,"LIVE NATION ENTERTAINMENT, INC.",2023-12-31,10-K,2024-02-22,6231866000.0,,563280000.0,1066203000.0,22749073000.0,233303152.0,-17148000.0,19074045000.0
103,LYV,"LIVE NATION ENTERTAINMENT, INC.",2023-12-31,10-K,2025-02-21,6231866000.0,,556893000.0,1084933000.0,22726317000.0,233303152.0,-52305000.0,19029640000.0
104,LYV,"LIVE NATION ENTERTAINMENT, INC.",2023-12-31,10-K,2026-02-19,,,556893000.0,1084933000.0,22726317000.0,,,
101,LYV,"LIVE NATION ENTERTAINMENT, INC.",2023-06-30,10-K,2025-02-21,,,270020000.0,381599000.0,5628514000.0,,,
100,LYV,"LIVE NATION ENTERTAINMENT, INC.",2023-03-31,10-K,2025-02-21,,,-1673000.0,131152000.0,3124559000.0,,,
97,LYV,"LIVE NATION ENTERTAINMENT, INC.",2022-12-31,10-K,2023-02-23,5606457000.0,,295986000.0,732118000.0,16681254000.0,231263623.0,-367569000.0,16460841000.0
98,LYV,"LIVE NATION ENTERTAINMENT, INC.",2022-12-31,10-K,2024-02-22,5606457000.0,,295986000.0,732118000.0,16681254000.0,231263623.0,-367569000.0,16460841000.0
99,LYV,"LIVE NATION ENTERTAINMENT, INC.",2022-12-31,10-K,2025-02-21,,,266440000.0,722031000.0,16681254000.0,,,
94,LYV,"LIVE NATION ENTERTAINMENT, INC.",2021-12-31,10-K,2022-02-23,4884729000.0,,-650904000.0,-417858000.0,6268447000.0,224674579.0,-582651000.0,14402318000.0
95,LYV,"LIVE NATION ENTERTAINMENT, INC.",2021-12-31,10-K,2023-02-23,4884729000.0,,-650904000.0,-417858000.0,6268447000.0,224674579.0,-582651000.0,14402318000.0
96,LYV,"LIVE NATION ENTERTAINMENT, INC.",2021-12-31,10-K,2024-02-22,,,-650904000.0,-417858000.0,6268447000.0,,,
91,LYV,"LIVE NATION ENTERTAINMENT, INC.",2020-12-31,10-K,2021-03-01,2537787000.0,,-1724535000.0,-1653192000.0,1861178000.0,218015037.0,-471772000.0,10589303000.0
92,LYV,"LIVE NATION ENTERTAINMENT, INC.",2020-12-31,10-K,2022-02-23,2537787000.0,,-1724535000.0,-1653192000.0,1861178000.0,218015037.0,-471772000.0,10589303000.0
93,LYV,"LIVE NATION ENTERTAINMENT, INC.",2020-12-31,10-K,2023-02-23,,,-1724535000.0,-1653192000.0,1861178000.0,,,
88,LYV,"LIVE NATION ENTERTAINMENT, INC.",2019-12-31,10-K,2020-02-27,2470362000.0,,-159947000.0,-82920000.0,2889448000.0,213709620.0,1145820000.0,10975615000.0
89,LYV,"LIVE NATION ENTERTAINMENT, INC.",2019-12-31,10-K,2021-03-01,2470362000.0,,69889000.0,324844000.0,11547969000.0,213709620.0,1145820000.0,10975615000.0
90,LYV,"LIVE NATION ENTERTAINMENT, INC.",2019-12-31,10-K,2022-02-23,,,69889000.0,324844000.0,11547969000.0,,,
