,ticker,company,concept,value,end_date,filed,form
0,MMM,3M COMPANY,revenue,30109000000,2016-12-31,2019-02-07,10-K
1,MMM,3M COMPANY,revenue,31657000000,2017-12-31,2019-02-07,10-K
2,MMM,3M COMPANY,revenue,31657000000,2017-12-31,2020-02-06,10-K
3,MMM,3M COMPANY,revenue,32765000000,2018-12-31,2019-02-07,10-K
4,MMM,3M COMPANY,revenue,32765000000,2018-12-31,2020-02-06,10-K
5,MMM,3M COMPANY,revenue,32765000000,2018-12-31,2021-02-04,10-K
6,MMM,3M COMPANY,revenue,32136000000,2019-12-31,2020-02-06,10-K
7,MMM,3M COMPANY,revenue,32136000000,2019-12-31,2021-02-04,10-K
8,MMM,3M COMPANY,revenue,32136000000,2019-12-31,2022-02-09,10-K
9,MMM,3M COMPANY,revenue,32184000000,2020-12-31,2021-02-04,10-K
10,MMM,3M COMPANY,revenue,32184000000,2020-12-31,2022-02-09,10-K
11,MMM,3M COMPANY,revenue,32184000000,2020-12-31,2023-02-08,10-K
12,MMM,3M COMPANY,revenue,35355000000,2021-12-31,2022-02-09,10-K
13,MMM,3M COMPANY,revenue,35355000000,2021-12-31,2023-02-08,10-K
14,MMM,3M COMPANY,revenue,35355000000,2021-12-31,2024-02-07,10-K
15,MMM,3M COMPANY,revenue,34229000000,2022-12-31,2023-02-08,10-K
16,MMM,3M COMPANY,revenue,34229000000,2022-12-31,2024-02-07,10-K
17,MMM,3M COMPANY,revenue,26161000000,2022-12-31,2025-02-05,10-K
18,MMM,3M COMPANY,revenue,6055000000,2023-03-31,2025-02-05,10-K
19,MMM,3M COMPANY,revenue,6283000000,2023-06-30,2025-02-05,10-K
20,MMM,3M COMPANY,revenue,6270000000,2023-09-30,2025-02-05,10-K
21,MMM,3M COMPANY,revenue,32681000000,2023-12-31,2024-02-07,10-K
22,MMM,3M COMPANY,revenue,24610000000,2023-12-31,2025-02-05,10-K
23,MMM,3M COMPANY,revenue,24610000000,2023-12-31,2026-02-03,10-K
24,MMM,3M COMPANY,revenue,6002000000,2023-12-31,2025-02-05,10-K
25,MMM,3M COMPANY,revenue,6016000000,2024-03-31,2025-02-05,10-K
26,MMM,3M COMPANY,revenue,6255000000,2024-06-30,2025-02-05,10-K
27,MMM,3M COMPANY,revenue,6294000000,2024-09-30,2025-02-05,10-K
28,MMM,3M COMPANY,revenue,24575000000,2024-12-31,2025-02-05,10-K
29,MMM,3M COMPANY,revenue,24575000000,2024-12-31,2026-02-03,10-K
30,MMM,3M COMPANY,revenue,6010000000,2024-12-31,2025-02-05,10-K
31,MMM,3M COMPANY,revenue,24948000000,2025-12-31,2026-02-03,10-K
32,MMM,3M COMPANY,revenue_alt,30109000000,2016-12-31,2019-02-07,10-K
33,MMM,3M COMPANY,revenue_alt,7685000000,2017-03-31,2019-02-07,10-K
34,MMM,3M COMPANY,revenue_alt,7810000000,2017-06-30,2019-02-07,10-K
35,MMM,3M COMPANY,revenue_alt,8172000000,2017-09-30,2019-02-07,10-K
36,MMM,3M COMPANY,revenue_alt,31657000000,2017-12-31,2019-02-07,10-K
37,MMM,3M COMPANY,revenue_alt,7990000000,2017-12-31,2019-02-07,10-K
38,MMM,3M COMPANY,revenue_alt,8278000000,2018-03-31,2019-02-07,10-K
39,MMM,3M COMPANY,revenue_alt,8278000000,2018-03-31,2020-02-06,10-K
40,MMM,3M COMPANY,revenue_alt,8390000000,2018-06-30,2019-02-07,10-K
41,MMM,3M COMPANY,revenue_alt,8390000000,2018-06-30,2020-02-06,10-K
42,MMM,3M COMPANY,revenue_alt,8152000000,2018-09-30,2019-02-07,10-K
43,MMM,3M COMPANY,revenue_alt,8152000000,2018-09-30,2020-02-06,10-K
44,MMM,3M COMPANY,revenue_alt,32765000000,2018-12-31,2019-02-07,10-K
