,ticker,company,concept,value,end_date,filed,form
0,MRVL,"MARVELL TECHNOLOGY, INC.",revenue_alt,2699161000,2020-02-01,2022-03-10,10-K
1,MRVL,"MARVELL TECHNOLOGY, INC.",revenue_alt,2968900000,2021-01-30,2022-03-10,10-K
2,MRVL,"MARVELL TECHNOLOGY, INC.",revenue_alt,2968900000,2021-01-30,2023-03-09,10-K
3,MRVL,"MARVELL TECHNOLOGY, INC.",revenue_alt,4462383000,2022-01-29,2022-03-10,10-K
4,MRVL,"MARVELL TECHNOLOGY, INC.",revenue_alt,4462400000,2022-01-29,2023-03-09,10-K
5,MRVL,"MARVELL TECHNOLOGY, INC.",revenue_alt,4462400000,2022-01-29,2024-03-13,10-K
6,MRVL,"MARVELL TECHNOLOGY, INC.",revenue_alt,5919600000,2023-01-28,2023-03-09,10-K
7,MRVL,"MARVELL TECHNOLOGY, INC.",revenue_alt,5919600000,2023-01-28,2024-03-13,10-K
8,MRVL,"MARVELL TECHNOLOGY, INC.",revenue_alt,5919600000,2023-01-28,2025-03-12,10-K
9,MRVL,"MARVELL TECHNOLOGY, INC.",revenue_alt,5507700000,2024-02-03,2024-03-13,10-K
10,MRVL,"MARVELL TECHNOLOGY, INC.",revenue_alt,5507700000,2024-02-03,2025-03-12,10-K
11,MRVL,"MARVELL TECHNOLOGY, INC.",revenue_alt,5767300000,2025-02-01,2025-03-12,10-K
12,MRVL,"MARVELL TECHNOLOGY, INC.",net_income,1584391000,2020-02-01,2022-03-10,10-K
13,MRVL,"MARVELL TECHNOLOGY, INC.",net_income,-277298000,2021-01-30,2022-03-10,10-K
14,MRVL,"MARVELL TECHNOLOGY, INC.",net_income,-277300000,2021-01-30,2023-03-09,10-K
15,MRVL,"MARVELL TECHNOLOGY, INC.",net_income,-421034000,2022-01-29,2022-03-10,10-K
16,MRVL,"MARVELL TECHNOLOGY, INC.",net_income,-421000000,2022-01-29,2023-03-09,10-K
17,MRVL,"MARVELL TECHNOLOGY, INC.",net_income,-421000000,2022-01-29,2024-03-13,10-K
18,MRVL,"MARVELL TECHNOLOGY, INC.",net_income,-163500000,2023-01-28,2023-03-09,10-K
19,MRVL,"MARVELL TECHNOLOGY, INC.",net_income,-163500000,2023-01-28,2024-03-13,10-K
20,MRVL,"MARVELL TECHNOLOGY, INC.",net_income,-163500000,2023-01-28,2025-03-12,10-K
21,MRVL,"MARVELL TECHNOLOGY, INC.",net_income,-933400000,2024-02-03,2024-03-13,10-K
22,MRVL,"MARVELL TECHNOLOGY, INC.",net_income,-933400000,2024-02-03,2025-03-12,10-K
23,MRVL,"MARVELL TECHNOLOGY, INC.",net_income,-885000000,2025-02-01,2025-03-12,10-K
24,MRVL,"MARVELL TECHNOLOGY, INC.",total_assets,10764924000,2021-01-30,2022-03-10,10-K
25,MRVL,"MARVELL TECHNOLOGY, INC.",total_assets,22108597000,2022-01-29,2022-03-10,10-K
