,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,revenue_alt,stockholders_equity,total_assets,total_liabilities
119,MSTR,STRATEGY INC,2025-12-31,10-K,2026-02-19,2301470000.0,8190155000.0,-3848152000.0,-5444385000.0,,477233000.0,44123458000.0,61641082000.0,10598110000.0
117,MSTR,STRATEGY INC,2024-12-31,10-K,2025-02-18,38117000.0,7191675000.0,-1166661000.0,-1852978000.0,463456000.0,463456000.0,18229984000.0,25843685000.0,7613701000.0
118,MSTR,STRATEGY INC,2024-12-31,10-K,2026-02-19,38117000.0,7191675000.0,-1166661000.0,-1852978000.0,,463456000.0,18229984000.0,25843685000.0,7613701000.0
114,MSTR,STRATEGY INC,2023-12-31,10-K,2024-02-15,46817000.0,2182108000.0,429121000.0,-115047000.0,496261000.0,496261000.0,2164972000.0,4762528000.0,2597556000.0
115,MSTR,STRATEGY INC,2023-12-31,10-K,2025-02-18,46817000.0,2182591000.0,429121000.0,-115047000.0,496261000.0,496261000.0,2164972000.0,4762528000.0,2597556000.0
116,MSTR,STRATEGY INC,2023-12-31,10-K,2026-02-19,,,429121000.0,-115047000.0,,496261000.0,2164972000.0,4762528000.0,
110,MSTR,STRATEGY INC,2022-12-31,10-K,2023-02-16,43835000.0,2378560000.0,-1469797000.0,-1275742000.0,499264000.0,499264000.0,-383120000.0,2410272000.0,2793392000.0
111,MSTR,STRATEGY INC,2022-12-31,10-K,2024-02-15,43835000.0,2378560000.0,-1469797000.0,-1275742000.0,499264000.0,499264000.0,-383120000.0,2410272000.0,2793392000.0
112,MSTR,STRATEGY INC,2022-12-31,10-K,2025-02-18,,,-1469797000.0,-1275742000.0,499264000.0,499264000.0,-383120000.0,,
113,MSTR,STRATEGY INC,2022-12-31,10-K,2026-02-19,,,,,,,-383120000.0,,
106,MSTR,STRATEGY INC,2021-12-31,10-K,2022-02-16,63356000.0,2155151000.0,-535480000.0,-784527000.0,510762000.0,510762000.0,978958000.0,3557124000.0,2578166000.0
107,MSTR,STRATEGY INC,2021-12-31,10-K,2023-02-16,63356000.0,2155151000.0,-535480000.0,-784527000.0,510762000.0,510762000.0,978958000.0,3557124000.0,2578166000.0
108,MSTR,STRATEGY INC,2021-12-31,10-K,2024-02-15,,,-535480000.0,-784527000.0,510762000.0,510762000.0,978958000.0,,
109,MSTR,STRATEGY INC,2021-12-31,10-K,2025-02-18,,,,,,,978958000.0,,
102,MSTR,STRATEGY INC,2020-12-31,10-K,2021-02-12,59675000.0,,2661000.0,-13625000.0,480735000.0,131319000.0,553045000.0,1465612000.0,912567000.0
103,MSTR,STRATEGY INC,2020-12-31,10-K,2022-02-16,59675000.0,,-7524000.0,-13625000.0,480735000.0,480735000.0,553045000.0,1465612000.0,912567000.0
104,MSTR,STRATEGY INC,2020-12-31,10-K,2023-02-16,,,-7524000.0,-13625000.0,480735000.0,480735000.0,553045000.0,,
105,MSTR,STRATEGY INC,2020-12-31,10-K,2024-02-15,,,,,,,446192000.0,,
101,MSTR,STRATEGY INC,2020-09-30,10-K,2021-02-12,,,-14229000.0,,,127408000.0,,,
100,MSTR,STRATEGY INC,2020-06-30,10-K,2021-02-12,,,3387000.0,,,110584000.0,,,
99,MSTR,STRATEGY INC,2020-03-31,10-K,2021-02-12,,,657000.0,,,111424000.0,,,
95,MSTR,STRATEGY INC,2019-12-31,10-K,2020-02-14,456727000.0,,12167000.0,-1002000.0,486327000.0,133531000.0,508559000.0,916571000.0,408012000.0
96,MSTR,STRATEGY INC,2019-12-31,10-K,2021-02-12,456727000.0,,12167000.0,-1002000.0,486327000.0,133531000.0,508559000.0,916571000.0,408012000.0
97,MSTR,STRATEGY INC,2019-12-31,10-K,2022-02-16,,,34355000.0,-1002000.0,486327000.0,486327000.0,508559000.0,,
98,MSTR,STRATEGY INC,2019-12-31,10-K,2023-02-16,,,,,,,508559000.0,,
93,MSTR,STRATEGY INC,2019-09-30,10-K,2020-02-14,,,9700000.0,,,119693000.0,,,
94,MSTR,STRATEGY INC,2019-09-30,10-K,2021-02-12,,,9700000.0,,,119693000.0,,,
91,MSTR,STRATEGY INC,2019-06-30,10-K,2020-02-14,,,20394000.0,,,117737000.0,,,
92,MSTR,STRATEGY INC,2019-06-30,10-K,2021-02-12,,,20394000.0,,,117737000.0,,,
89,MSTR,STRATEGY INC,2019-03-31,10-K,2020-02-14,,,-7906000.0,,,115366000.0,,,
90,MSTR,STRATEGY INC,2019-03-31,10-K,2021-02-12,,,-7906000.0,,,115366000.0,,,
85,MSTR,STRATEGY INC,2018-12-31,10-K,2019-02-20,109924000.0,,3301000.0,3981000.0,497638000.0,131917000.0,529731000.0,855768000.0,326037000.0
86,MSTR,STRATEGY INC,2018-12-31,10-K,2020-02-14,109924000.0,,3301000.0,3981000.0,497638000.0,131917000.0,529731000.0,855768000.0,326037000.0
87,MSTR,STRATEGY INC,2018-12-31,10-K,2021-02-12,,,22501000.0,3981000.0,497638000.0,497638000.0,529731000.0,,
88,MSTR,STRATEGY INC,2018-12-31,10-K,2022-02-16,,,,,,,529731000.0,,
83,MSTR,STRATEGY INC,2018-09-30,10-K,2019-02-20,,,12699000.0,,,122152000.0,,,
84,MSTR,STRATEGY INC,2018-09-30,10-K,2020-02-14,,,12699000.0,,,122152000.0,,,
81,MSTR,STRATEGY INC,2018-06-30,10-K,2019-02-20,,,4828000.0,,,120602000.0,,,
82,MSTR,STRATEGY INC,2018-06-30,10-K,2020-02-14,,,4828000.0,,,120602000.0,,,
79,MSTR,STRATEGY INC,2018-03-31,10-K,2019-02-20,,,1673000.0,,,122967000.0,,,
80,MSTR,STRATEGY INC,2018-03-31,10-K,2020-02-14,,,1673000.0,,,122967000.0,,,
75,MSTR,STRATEGY INC,2017-12-31,10-K,2018-02-07,420244000.0,,-26224000.0,74355000.0,138145000.0,,590539000.0,835728000.0,245189000.0
76,MSTR,STRATEGY INC,2017-12-31,10-K,2019-02-20,420244000.0,,-25499000.0,73222000.0,503843000.0,136381000.0,605726000.0,933219000.0,327493000.0
77,MSTR,STRATEGY INC,2017-12-31,10-K,2020-02-14,,,18195000.0,73222000.0,503843000.0,503843000.0,605726000.0,,
78,MSTR,STRATEGY INC,2017-12-31,10-K,2021-02-12,,,,,,,605726000.0,,
73,MSTR,STRATEGY INC,2017-09-30,10-K,2018-02-07,,,17924000.0,,125212000.0,,,,
74,MSTR,STRATEGY INC,2017-09-30,10-K,2019-02-20,,,18184000.0,,,126010000.0,,,
71,MSTR,STRATEGY INC,2017-06-30,10-K,2018-02-07,,,11076000.0,,120610000.0,,,,
72,MSTR,STRATEGY INC,2017-06-30,10-K,2019-02-20,,,9953000.0,,,119220000.0,,,
69,MSTR,STRATEGY INC,2017-03-31,10-K,2018-02-07,,,14867000.0,,120576000.0,,,,
70,MSTR,STRATEGY INC,2017-03-31,10-K,2019-02-20,,,15557000.0,,,122232000.0,,,
65,MSTR,STRATEGY INC,2016-12-31,10-K,2017-02-10,401975000.0,,31124000.0,107625000.0,140108000.0,,552177000.0,768319000.0,216142000.0
66,MSTR,STRATEGY INC,2016-12-31,10-K,2018-02-07,401975000.0,,31124000.0,107625000.0,140108000.0,,552177000.0,768319000.0,216142000.0
67,MSTR,STRATEGY INC,2016-12-31,10-K,2019-02-20,,,92239000.0,109512000.0,513589000.0,513589000.0,566317000.0,,
68,MSTR,STRATEGY INC,2016-12-31,10-K,2020-02-14,,,,,,,566317000.0,,
63,MSTR,STRATEGY INC,2016-09-30,10-K,2017-02-10,,,26628000.0,,129896000.0,,,,
64,MSTR,STRATEGY INC,2016-09-30,10-K,2018-02-07,,,26628000.0,,129896000.0,,,,
61,MSTR,STRATEGY INC,2016-06-30,10-K,2017-02-10,,,18884000.0,,123142000.0,,,,
62,MSTR,STRATEGY INC,2016-06-30,10-K,2018-02-07,,,18884000.0,,123142000.0,,,,
59,MSTR,STRATEGY INC,2016-03-31,10-K,2017-02-10,,,14272000.0,,119015000.0,,,,
60,MSTR,STRATEGY INC,2016-03-31,10-K,2018-02-07,,,14272000.0,,119015000.0,,,,
55,MSTR,STRATEGY INC,2015-12-31,10-K,2016-02-26,292341000.0,,39111000.0,134022000.0,143522000.0,,455281000.0,656894000.0,201613000.0
56,MSTR,STRATEGY INC,2015-12-31,10-K,2017-02-10,292341000.0,,39111000.0,134022000.0,143522000.0,,455281000.0,656894000.0,201613000.0
57,MSTR,STRATEGY INC,2015-12-31,10-K,2018-02-07,,,105931000.0,134022000.0,529869000.0,,455281000.0,,
58,MSTR,STRATEGY INC,2015-12-31,10-K,2019-02-20,,,,,,,455281000.0,,
53,MSTR,STRATEGY INC,2015-09-30,10-K,2016-02-26,,,23893000.0,,129536000.0,,,,
54,MSTR,STRATEGY INC,2015-09-30,10-K,2017-02-10,,,23893000.0,,129536000.0,,,,
51,MSTR,STRATEGY INC,2015-06-30,10-K,2016-02-26,,,22467000.0,,132940000.0,,,,
52,MSTR,STRATEGY INC,2015-06-30,10-K,2017-02-10,,,22467000.0,,132940000.0,,,,
49,MSTR,STRATEGY INC,2015-03-31,10-K,2016-02-26,,,20460000.0,,123871000.0,,,,
50,MSTR,STRATEGY INC,2015-03-31,10-K,2017-02-10,,,20460000.0,,123871000.0,,,,
45,MSTR,STRATEGY INC,2014-12-31,10-K,2015-02-26,146919000.0,,22699000.0,5104000.0,148871000.0,,324471000.0,558797000.0,234326000.0
46,MSTR,STRATEGY INC,2014-12-31,10-K,2016-02-26,146919000.0,,22699000.0,5104000.0,148871000.0,,324471000.0,558797000.0,234326000.0
47,MSTR,STRATEGY INC,2014-12-31,10-K,2017-02-10,146919000.0,,5035000.0,5104000.0,579830000.0,,324471000.0,,
48,MSTR,STRATEGY INC,2014-12-31,10-K,2018-02-07,,,,,,,324471000.0,,
43,MSTR,STRATEGY INC,2014-09-30,10-K,2015-02-26,,,-845000.0,,151202000.0,,,,
44,MSTR,STRATEGY INC,2014-09-30,10-K,2016-02-26,,,-845000.0,,151202000.0,,,,
41,MSTR,STRATEGY INC,2014-06-30,10-K,2015-02-26,,,-10337000.0,,141853000.0,,,,
42,MSTR,STRATEGY INC,2014-06-30,10-K,2016-02-26,,,-10337000.0,,141853000.0,,,,
39,MSTR,STRATEGY INC,2014-03-31,10-K,2015-02-26,,,-6482000.0,,137904000.0,,,,
40,MSTR,STRATEGY INC,2014-03-31,10-K,2016-02-26,,,-6482000.0,,137904000.0,,,,
35,MSTR,STRATEGY INC,2013-12-31,10-K,2014-02-12,220171000.0,,16148000.0,19440000.0,165881000.0,,310326000.0,585514000.0,275188000.0
36,MSTR,STRATEGY INC,2013-12-31,10-K,2015-02-26,220171000.0,,16148000.0,19440000.0,165881000.0,,310326000.0,585514000.0,275188000.0
37,MSTR,STRATEGY INC,2013-12-31,10-K,2016-02-26,220171000.0,,83332000.0,19440000.0,575888000.0,,310326000.0,,
