,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,shares_outstanding,stockholders_equity,total_assets
11,SHOP,Shopify Inc.,2025-12-31,10-K,2026-02-11,1545000000.0,1231000000.0,1468000000.0,11556000000.0,,13473000000.0,15189000000.0
9,SHOP,Shopify Inc.,2024-12-31,10-K,2025-02-11,1498000000.0,2019000000.0,1075000000.0,8880000000.0,,11558000000.0,13924000000.0
10,SHOP,Shopify Inc.,2024-12-31,10-K,2026-02-11,1498000000.0,2019000000.0,1075000000.0,8880000000.0,,11558000000.0,13924000000.0
7,SHOP,Shopify Inc.,2023-12-31,10-K,2025-02-11,1413000000.0,132000000.0,-1418000000.0,7060000000.0,,9066000000.0,11299000000.0
8,SHOP,Shopify Inc.,2023-12-31,10-K,2026-02-11,,132000000.0,-1418000000.0,7060000000.0,,9066000000.0,
5,SHOP,Shopify Inc.,2022-12-31,10-K,2025-02-11,,-3460000000.0,-822000000.0,5600000000.0,,8239000000.0,
6,SHOP,Shopify Inc.,2022-12-31,10-K,2026-02-11,,,,,,8239000000.0,
4,SHOP,Shopify Inc.,2021-12-31,10-K,2025-02-11,,,,,,11133000000.0,
3,SHOP,Shopify Inc.,2015-12-31,20-F,2016-02-17,110070000.0,-18790000.0,-17756000.0,,0.0,195317000.0,243712000.0
2,SHOP,Shopify Inc.,2014-12-31,20-F,2016-02-17,41953000.0,-22311000.0,-21615000.0,,39310446.0,67732000.0,95193000.0
1,SHOP,Shopify Inc.,2013-12-31,20-F,2016-02-17,83529000.0,-4837000.0,-4269000.0,,,85381000.0,
0,SHOP,Shopify Inc.,2012-12-31,20-F,2016-02-17,17655000.0,,,,,17969000.0,
