,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue_alt,stockholders_equity,total_assets,total_liabilities
11,TEAM,ATLASSIAN CORPORATION,2025-06-30,10-K,2025-08-15,2512874000.0,-256687000.0,-130392000.0,5215304000.0,1345654000.0,6041970000.0,4696316000.0
9,TEAM,ATLASSIAN CORPORATION,2024-06-30,10-K,2024-08-16,2176930000.0,-300519000.0,-117077000.0,4358603000.0,1032851000.0,5212133000.0,4179282000.0
10,TEAM,ATLASSIAN CORPORATION,2024-06-30,10-K,2025-08-15,2176930000.0,-300519000.0,-117077000.0,4358603000.0,1032851000.0,5212133000.0,4179282000.0
6,TEAM,ATLASSIAN CORPORATION,2023-06-30,10-K,2023-08-18,2102550000.0,-486761000.0,-345222000.0,3534647000.0,654672000.0,4106779000.0,3452107000.0
7,TEAM,ATLASSIAN CORPORATION,2023-06-30,10-K,2024-08-16,2102550000.0,-486761000.0,-345222000.0,3534647000.0,654672000.0,4106779000.0,3452107000.0
8,TEAM,ATLASSIAN CORPORATION,2023-06-30,10-K,2025-08-15,2102550000.0,-486761000.0,-345222000.0,3534647000.0,654672000.0,,
3,TEAM,ATLASSIAN CORPORATION,2022-06-30,10-K,2023-08-18,1385265000.0,-519510000.0,70083000.0,2802882000.0,327372000.0,3326830000.0,2999458000.0
4,TEAM,ATLASSIAN CORPORATION,2022-06-30,10-K,2024-08-16,1385265000.0,-519510000.0,70083000.0,2802882000.0,327372000.0,,
5,TEAM,ATLASSIAN CORPORATION,2022-06-30,10-K,2025-08-15,,,,,327372000.0,,
1,TEAM,ATLASSIAN CORPORATION,2021-06-30,10-K,2023-08-18,919227000.0,-578979000.0,141406000.0,2089132000.0,313262000.0,,
2,TEAM,ATLASSIAN CORPORATION,2021-06-30,10-K,2024-08-16,,,,,313262000.0,,
0,TEAM,ATLASSIAN CORPORATION,2020-06-30,10-K,2023-08-18,,,,,566643000.0,,
