,ticker,company,concept,value,end_date,filed,form
0,TEAM,ATLASSIAN CORPORATION,revenue_alt,2089132000,2021-06-30,2023-08-18,10-K
1,TEAM,ATLASSIAN CORPORATION,revenue_alt,2802882000,2022-06-30,2023-08-18,10-K
2,TEAM,ATLASSIAN CORPORATION,revenue_alt,2802882000,2022-06-30,2024-08-16,10-K
3,TEAM,ATLASSIAN CORPORATION,revenue_alt,3534647000,2023-06-30,2023-08-18,10-K
4,TEAM,ATLASSIAN CORPORATION,revenue_alt,3534647000,2023-06-30,2024-08-16,10-K
5,TEAM,ATLASSIAN CORPORATION,revenue_alt,3534647000,2023-06-30,2025-08-15,10-K
6,TEAM,ATLASSIAN CORPORATION,revenue_alt,4358603000,2024-06-30,2024-08-16,10-K
7,TEAM,ATLASSIAN CORPORATION,revenue_alt,4358603000,2024-06-30,2025-08-15,10-K
8,TEAM,ATLASSIAN CORPORATION,revenue_alt,5215304000,2025-06-30,2025-08-15,10-K
9,TEAM,ATLASSIAN CORPORATION,net_income,-578979000,2021-06-30,2023-08-18,10-K
10,TEAM,ATLASSIAN CORPORATION,net_income,-519510000,2022-06-30,2023-08-18,10-K
11,TEAM,ATLASSIAN CORPORATION,net_income,-519510000,2022-06-30,2024-08-16,10-K
12,TEAM,ATLASSIAN CORPORATION,net_income,-486761000,2023-06-30,2023-08-18,10-K
13,TEAM,ATLASSIAN CORPORATION,net_income,-486761000,2023-06-30,2024-08-16,10-K
14,TEAM,ATLASSIAN CORPORATION,net_income,-486761000,2023-06-30,2025-08-15,10-K
15,TEAM,ATLASSIAN CORPORATION,net_income,-300519000,2024-06-30,2024-08-16,10-K
16,TEAM,ATLASSIAN CORPORATION,net_income,-300519000,2024-06-30,2025-08-15,10-K
17,TEAM,ATLASSIAN CORPORATION,net_income,-256687000,2025-06-30,2025-08-15,10-K
18,TEAM,ATLASSIAN CORPORATION,total_assets,3326830000,2022-06-30,2023-08-18,10-K
19,TEAM,ATLASSIAN CORPORATION,total_assets,4106779000,2023-06-30,2023-08-18,10-K
20,TEAM,ATLASSIAN CORPORATION,total_assets,4106779000,2023-06-30,2024-08-16,10-K
21,TEAM,ATLASSIAN CORPORATION,total_assets,5212133000,2024-06-30,2024-08-16,10-K
22,TEAM,ATLASSIAN CORPORATION,total_assets,5212133000,2024-06-30,2025-08-15,10-K
23,TEAM,ATLASSIAN CORPORATION,total_assets,6041970000,2025-06-30,2025-08-15,10-K
24,TEAM,ATLASSIAN CORPORATION,total_liabilities,2999458000,2022-06-30,2023-08-18,10-K
25,TEAM,ATLASSIAN CORPORATION,total_liabilities,3452107000,2023-06-30,2023-08-18,10-K
26,TEAM,ATLASSIAN CORPORATION,total_liabilities,3452107000,2023-06-30,2024-08-16,10-K
27,TEAM,ATLASSIAN CORPORATION,total_liabilities,4179282000,2024-06-30,2024-08-16,10-K
28,TEAM,ATLASSIAN CORPORATION,total_liabilities,4179282000,2024-06-30,2025-08-15,10-K
29,TEAM,ATLASSIAN CORPORATION,total_liabilities,4696316000,2025-06-30,2025-08-15,10-K
30,TEAM,ATLASSIAN CORPORATION,stockholders_equity,566643000,2020-06-30,2023-08-18,10-K
31,TEAM,ATLASSIAN CORPORATION,stockholders_equity,313262000,2021-06-30,2023-08-18,10-K
32,TEAM,ATLASSIAN CORPORATION,stockholders_equity,313262000,2021-06-30,2024-08-16,10-K
33,TEAM,ATLASSIAN CORPORATION,stockholders_equity,327372000,2022-06-30,2023-08-18,10-K
34,TEAM,ATLASSIAN CORPORATION,stockholders_equity,327372000,2022-06-30,2024-08-16,10-K
35,TEAM,ATLASSIAN CORPORATION,stockholders_equity,327372000,2022-06-30,2025-08-15,10-K
36,TEAM,ATLASSIAN CORPORATION,stockholders_equity,654672000,2023-06-30,2023-08-18,10-K
37,TEAM,ATLASSIAN CORPORATION,stockholders_equity,654672000,2023-06-30,2024-08-16,10-K
38,TEAM,ATLASSIAN CORPORATION,stockholders_equity,654672000,2023-06-30,2025-08-15,10-K
39,TEAM,ATLASSIAN CORPORATION,stockholders_equity,1032851000,2024-06-30,2024-08-16,10-K
40,TEAM,ATLASSIAN CORPORATION,stockholders_equity,1032851000,2024-06-30,2025-08-15,10-K
41,TEAM,ATLASSIAN CORPORATION,stockholders_equity,1345654000,2025-06-30,2025-08-15,10-K
42,TEAM,ATLASSIAN CORPORATION,operating_income,141406000,2021-06-30,2023-08-18,10-K
43,TEAM,ATLASSIAN CORPORATION,operating_income,70083000,2022-06-30,2023-08-18,10-K
44,TEAM,ATLASSIAN CORPORATION,operating_income,70083000,2022-06-30,2024-08-16,10-K
45,TEAM,ATLASSIAN CORPORATION,operating_income,-345222000,2023-06-30,2023-08-18,10-K
46,TEAM,ATLASSIAN CORPORATION,operating_income,-345222000,2023-06-30,2024-08-16,10-K
47,TEAM,ATLASSIAN CORPORATION,operating_income,-345222000,2023-06-30,2025-08-15,10-K
48,TEAM,ATLASSIAN CORPORATION,operating_income,-117077000,2024-06-30,2024-08-16,10-K
49,TEAM,ATLASSIAN CORPORATION,operating_income,-117077000,2024-06-30,2025-08-15,10-K
50,TEAM,ATLASSIAN CORPORATION,operating_income,-130392000,2025-06-30,2025-08-15,10-K
51,TEAM,ATLASSIAN CORPORATION,cash,919227000,2021-06-30,2023-08-18,10-K
52,TEAM,ATLASSIAN CORPORATION,cash,1385265000,2022-06-30,2023-08-18,10-K
