,ticker,company,end_date,form,filed,cash,net_income,operating_income,revenue,revenue_alt,shares_outstanding,stockholders_equity,total_assets
78,TECH,BIO-TECHNE CORPORATION,2025-06-30,10-K,2025-08-22,162186000.0,73400000.0,102255000.0,1219635000.0,1219635000.0,154972196.0,,2557868000.0
76,TECH,BIO-TECHNE CORPORATION,2024-06-30,10-K,2024-08-22,151791000.0,168105000.0,206686000.0,,1159060000.0,158216258.0,2068850000.0,2703867000.0
77,TECH,BIO-TECHNE CORPORATION,2024-06-30,10-K,2025-08-22,151791000.0,168105000.0,206686000.0,1159060000.0,1159060000.0,158216258.0,,2703867000.0
73,TECH,BIO-TECHNE CORPORATION,2023-06-30,10-K,2023-08-23,180571000.0,285263000.0,298944000.0,,1136702000.0,157641914.0,1966516000.0,2638692000.0
74,TECH,BIO-TECHNE CORPORATION,2023-06-30,10-K,2024-08-22,180571000.0,285263000.0,298944000.0,,1136702000.0,157641914.0,1966516000.0,2638692000.0
75,TECH,BIO-TECHNE CORPORATION,2023-06-30,10-K,2025-08-22,,285263000.0,298944000.0,1136702000.0,1136702000.0,,,
70,TECH,BIO-TECHNE CORPORATION,2022-06-30,10-K,2022-08-24,172567000.0,272051000.0,296590000.0,,1105599000.0,39160000.0,1701770000.0,2294805000.0
71,TECH,BIO-TECHNE CORPORATION,2022-06-30,10-K,2023-08-23,172567000.0,272051000.0,296590000.0,,1105599000.0,156644212.0,1701770000.0,2294805000.0
72,TECH,BIO-TECHNE CORPORATION,2022-06-30,10-K,2024-08-22,,272051000.0,296590000.0,,1105599000.0,,,
67,TECH,BIO-TECHNE CORPORATION,2021-06-30,10-K,2021-08-25,199091000.0,140410000.0,237296000.0,,931032000.0,38955484.0,1562971000.0,2262957000.0
68,TECH,BIO-TECHNE CORPORATION,2021-06-30,10-K,2022-08-24,199091000.0,140410000.0,237296000.0,,931032000.0,38955484.0,1562971000.0,2262957000.0
69,TECH,BIO-TECHNE CORPORATION,2021-06-30,10-K,2023-08-23,,140410000.0,237296000.0,,931032000.0,,,
64,TECH,BIO-TECHNE CORPORATION,2020-06-30,10-K,2020-08-26,146625000.0,58847000.0,157419000.0,,738691000.0,38453046.0,1381192000.0,2027589000.0
65,TECH,BIO-TECHNE CORPORATION,2020-06-30,10-K,2021-08-25,146625000.0,229296000.0,157419000.0,,738691000.0,38453046.0,1381192000.0,2027589000.0
66,TECH,BIO-TECHNE CORPORATION,2020-06-30,10-K,2022-08-24,,229296000.0,157419000.0,,738691000.0,,,
63,TECH,BIO-TECHNE CORPORATION,2020-03-31,10-K,2020-08-26,,36432000.0,,,,,,
62,TECH,BIO-TECHNE CORPORATION,2019-12-31,10-K,2020-08-26,,119623000.0,,,,,,
61,TECH,BIO-TECHNE CORPORATION,2019-09-30,10-K,2020-08-26,,14398000.0,,,,,,
58,TECH,BIO-TECHNE CORPORATION,2019-06-30,10-K,2019-08-28,100886000.0,16459000.0,146719000.0,,714006000.0,37934040.0,1165589000.0,1884410000.0
59,TECH,BIO-TECHNE CORPORATION,2019-06-30,10-K,2020-08-26,100886000.0,16459000.0,146719000.0,,714006000.0,37934040.0,1165589000.0,1884410000.0
60,TECH,BIO-TECHNE CORPORATION,2019-06-30,10-K,2021-08-25,,96072000.0,146719000.0,,714006000.0,,,
56,TECH,BIO-TECHNE CORPORATION,2019-03-31,10-K,2019-08-28,,44654000.0,,,,,,
57,TECH,BIO-TECHNE CORPORATION,2019-03-31,10-K,2020-08-26,,44654000.0,,,,,,
54,TECH,BIO-TECHNE CORPORATION,2018-12-31,10-K,2019-08-28,,17556000.0,,,,,,
55,TECH,BIO-TECHNE CORPORATION,2018-12-31,10-K,2020-08-26,,17556000.0,,,,,,
52,TECH,BIO-TECHNE CORPORATION,2018-09-30,10-K,2019-08-28,,17403000.0,,,,,,
53,TECH,BIO-TECHNE CORPORATION,2018-09-30,10-K,2020-08-26,,17403000.0,,,,,,
49,TECH,BIO-TECHNE CORPORATION,2018-06-30,10-K,2018-08-27,121990000.0,41701000.0,136178000.0,,,37607500.0,1079061000.0,1593202000.0
50,TECH,BIO-TECHNE CORPORATION,2018-06-30,10-K,2019-08-28,121990000.0,41701000.0,136178000.0,,642993000.0,37607500.0,1079061000.0,1593202000.0
51,TECH,BIO-TECHNE CORPORATION,2018-06-30,10-K,2020-08-26,,126150000.0,136178000.0,,642993000.0,,1079061000.0,
47,TECH,BIO-TECHNE CORPORATION,2018-03-31,10-K,2018-08-27,,19738000.0,,,,,,
48,TECH,BIO-TECHNE CORPORATION,2018-03-31,10-K,2019-08-28,,19738000.0,,,,,,
45,TECH,BIO-TECHNE CORPORATION,2017-12-31,10-K,2018-08-27,,48847000.0,,,,,,
46,TECH,BIO-TECHNE CORPORATION,2017-12-31,10-K,2019-08-28,,48847000.0,,,,,,
43,TECH,BIO-TECHNE CORPORATION,2017-09-30,10-K,2018-08-27,,15863000.0,,,,,,
