,ticker,company,concept,value,end_date,filed,form
0,TECH,BIO-TECHNE CORPORATION,revenue,1136702000,2023-06-30,2025-08-22,10-K
1,TECH,BIO-TECHNE CORPORATION,revenue,1159060000,2024-06-30,2025-08-22,10-K
2,TECH,BIO-TECHNE CORPORATION,revenue,1219635000,2025-06-30,2025-08-22,10-K
3,TECH,BIO-TECHNE CORPORATION,revenue_alt,563003000,2017-06-30,2019-08-28,10-K
4,TECH,BIO-TECHNE CORPORATION,revenue_alt,642993000,2018-06-30,2019-08-28,10-K
5,TECH,BIO-TECHNE CORPORATION,revenue_alt,642993000,2018-06-30,2020-08-26,10-K
6,TECH,BIO-TECHNE CORPORATION,revenue_alt,714006000,2019-06-30,2019-08-28,10-K
7,TECH,BIO-TECHNE CORPORATION,revenue_alt,714006000,2019-06-30,2020-08-26,10-K
8,TECH,BIO-TECHNE CORPORATION,revenue_alt,714006000,2019-06-30,2021-08-25,10-K
9,TECH,BIO-TECHNE CORPORATION,revenue_alt,738691000,2020-06-30,2020-08-26,10-K
10,TECH,BIO-TECHNE CORPORATION,revenue_alt,738691000,2020-06-30,2021-08-25,10-K
11,TECH,BIO-TECHNE CORPORATION,revenue_alt,738691000,2020-06-30,2022-08-24,10-K
12,TECH,BIO-TECHNE CORPORATION,revenue_alt,931032000,2021-06-30,2021-08-25,10-K
13,TECH,BIO-TECHNE CORPORATION,revenue_alt,931032000,2021-06-30,2022-08-24,10-K
14,TECH,BIO-TECHNE CORPORATION,revenue_alt,931032000,2021-06-30,2023-08-23,10-K
15,TECH,BIO-TECHNE CORPORATION,revenue_alt,1105599000,2022-06-30,2022-08-24,10-K
16,TECH,BIO-TECHNE CORPORATION,revenue_alt,1105599000,2022-06-30,2023-08-23,10-K
17,TECH,BIO-TECHNE CORPORATION,revenue_alt,1105599000,2022-06-30,2024-08-22,10-K
18,TECH,BIO-TECHNE CORPORATION,revenue_alt,1136702000,2023-06-30,2023-08-23,10-K
19,TECH,BIO-TECHNE CORPORATION,revenue_alt,1136702000,2023-06-30,2024-08-22,10-K
20,TECH,BIO-TECHNE CORPORATION,revenue_alt,1136702000,2023-06-30,2025-08-22,10-K
21,TECH,BIO-TECHNE CORPORATION,revenue_alt,1159060000,2024-06-30,2024-08-22,10-K
22,TECH,BIO-TECHNE CORPORATION,revenue_alt,1159060000,2024-06-30,2025-08-22,10-K
23,TECH,BIO-TECHNE CORPORATION,revenue_alt,1219635000,2025-06-30,2025-08-22,10-K
24,TECH,BIO-TECHNE CORPORATION,net_income,105242000,2009-06-30,2011-08-29,10-K
25,TECH,BIO-TECHNE CORPORATION,net_income,109776000,2010-06-30,2011-08-29,10-K
26,TECH,BIO-TECHNE CORPORATION,net_income,109776000,2010-06-30,2012-08-29,10-K
27,TECH,BIO-TECHNE CORPORATION,net_income,112302000,2011-06-30,2011-08-29,10-K
28,TECH,BIO-TECHNE CORPORATION,net_income,112302000,2011-06-30,2012-08-29,10-K
29,TECH,BIO-TECHNE CORPORATION,net_income,112302000,2011-06-30,2013-08-29,10-K
30,TECH,BIO-TECHNE CORPORATION,net_income,112331000,2012-06-30,2012-08-29,10-K
31,TECH,BIO-TECHNE CORPORATION,net_income,112331000,2012-06-30,2013-08-29,10-K
32,TECH,BIO-TECHNE CORPORATION,net_income,112331000,2012-06-30,2014-08-29,10-K
33,TECH,BIO-TECHNE CORPORATION,net_income,112561000,2013-06-30,2013-08-29,10-K
34,TECH,BIO-TECHNE CORPORATION,net_income,112561000,2013-06-30,2014-08-29,10-K
35,TECH,BIO-TECHNE CORPORATION,net_income,112561000,2013-06-30,2015-08-31,10-K
36,TECH,BIO-TECHNE CORPORATION,net_income,110948000,2014-06-30,2014-08-29,10-K
37,TECH,BIO-TECHNE CORPORATION,net_income,110948000,2014-06-30,2015-08-31,10-K
38,TECH,BIO-TECHNE CORPORATION,net_income,110948000,2014-06-30,2016-08-29,10-K
39,TECH,BIO-TECHNE CORPORATION,net_income,107735000,2015-06-30,2015-08-31,10-K
40,TECH,BIO-TECHNE CORPORATION,net_income,107735000,2015-06-30,2016-08-29,10-K
41,TECH,BIO-TECHNE CORPORATION,net_income,107735000,2015-06-30,2017-09-07,10-K
42,TECH,BIO-TECHNE CORPORATION,net_income,22707000,2015-09-30,2017-09-07,10-K
43,TECH,BIO-TECHNE CORPORATION,net_income,25851000,2015-12-31,2017-09-07,10-K
44,TECH,BIO-TECHNE CORPORATION,net_income,30291000,2016-03-31,2017-09-07,10-K
45,TECH,BIO-TECHNE CORPORATION,net_income,104476000,2016-06-30,2016-08-29,10-K
46,TECH,BIO-TECHNE CORPORATION,net_income,104476000,2016-06-30,2017-09-07,10-K
47,TECH,BIO-TECHNE CORPORATION,net_income,104476000,2016-06-30,2018-08-27,10-K
48,TECH,BIO-TECHNE CORPORATION,net_income,25626000,2016-06-30,2017-09-07,10-K
49,TECH,BIO-TECHNE CORPORATION,net_income,18843000,2016-09-30,2017-09-07,10-K
50,TECH,BIO-TECHNE CORPORATION,net_income,18843000,2016-09-30,2018-08-27,10-K
51,TECH,BIO-TECHNE CORPORATION,net_income,7467000,2016-12-31,2017-09-07,10-K
52,TECH,BIO-TECHNE CORPORATION,net_income,7467000,2016-12-31,2018-08-27,10-K
53,TECH,BIO-TECHNE CORPORATION,net_income,22167000,2017-03-31,2017-09-07,10-K
54,TECH,BIO-TECHNE CORPORATION,net_income,22167000,2017-03-31,2018-08-27,10-K
55,TECH,BIO-TECHNE CORPORATION,net_income,76086000,2017-06-30,2017-09-07,10-K
56,TECH,BIO-TECHNE CORPORATION,net_income,76086000,2017-06-30,2018-08-27,10-K
57,TECH,BIO-TECHNE CORPORATION,net_income,76086000,2017-06-30,2019-08-28,10-K
58,TECH,BIO-TECHNE CORPORATION,net_income,27609000,2017-06-30,2017-09-07,10-K
59,TECH,BIO-TECHNE CORPORATION,net_income,27609000,2017-06-30,2018-08-27,10-K
60,TECH,BIO-TECHNE CORPORATION,net_income,15863000,2017-09-30,2018-08-27,10-K
61,TECH,BIO-TECHNE CORPORATION,net_income,15863000,2017-09-30,2019-08-28,10-K
62,TECH,BIO-TECHNE CORPORATION,net_income,48847000,2017-12-31,2018-08-27,10-K
63,TECH,BIO-TECHNE CORPORATION,net_income,48847000,2017-12-31,2019-08-28,10-K
64,TECH,BIO-TECHNE CORPORATION,net_income,19738000,2018-03-31,2018-08-27,10-K
65,TECH,BIO-TECHNE CORPORATION,net_income,19738000,2018-03-31,2019-08-28,10-K
66,TECH,BIO-TECHNE CORPORATION,net_income,126150000,2018-06-30,2018-08-27,10-K
67,TECH,BIO-TECHNE CORPORATION,net_income,126150000,2018-06-30,2019-08-28,10-K
68,TECH,BIO-TECHNE CORPORATION,net_income,126150000,2018-06-30,2020-08-26,10-K
69,TECH,BIO-TECHNE CORPORATION,net_income,41701000,2018-06-30,2018-08-27,10-K
70,TECH,BIO-TECHNE CORPORATION,net_income,41701000,2018-06-30,2019-08-28,10-K
71,TECH,BIO-TECHNE CORPORATION,net_income,17403000,2018-09-30,2019-08-28,10-K
72,TECH,BIO-TECHNE CORPORATION,net_income,17403000,2018-09-30,2020-08-26,10-K
73,TECH,BIO-TECHNE CORPORATION,net_income,17556000,2018-12-31,2019-08-28,10-K
74,TECH,BIO-TECHNE CORPORATION,net_income,17556000,2018-12-31,2020-08-26,10-K
75,TECH,BIO-TECHNE CORPORATION,net_income,44654000,2019-03-31,2019-08-28,10-K
76,TECH,BIO-TECHNE CORPORATION,net_income,44654000,2019-03-31,2020-08-26,10-K
77,TECH,BIO-TECHNE CORPORATION,net_income,96072000,2019-06-30,2019-08-28,10-K
78,TECH,BIO-TECHNE CORPORATION,net_income,96072000,2019-06-30,2020-08-26,10-K
79,TECH,BIO-TECHNE CORPORATION,net_income,96072000,2019-06-30,2021-08-25,10-K
80,TECH,BIO-TECHNE CORPORATION,net_income,16459000,2019-06-30,2019-08-28,10-K
