,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue,total_assets,total_liabilities
142,T,AT&T INC.,2025-12-31,10-K,2026-02-09,18234000000.0,134718000000.0,21953000000.0,24162000000.0,125648000000.0,420198000000.0,
140,T,AT&T INC.,2024-12-31,10-K,2025-02-12,3298000000.0,122116000000.0,10948000000.0,19049000000.0,122336000000.0,394795000000.0,
141,T,AT&T INC.,2024-12-31,10-K,2026-02-09,3298000000.0,122116000000.0,10948000000.0,19049000000.0,122336000000.0,394795000000.0,
137,T,AT&T INC.,2023-12-31,10-K,2024-02-23,6722000000.0,133402000000.0,14400000000.0,5271000000.0,32022000000.0,407060000000.0,
138,T,AT&T INC.,2023-12-31,10-K,2025-02-12,6722000000.0,133402000000.0,14400000000.0,23461000000.0,122428000000.0,407060000000.0,
139,T,AT&T INC.,2023-12-31,10-K,2026-02-09,6722000000.0,,14400000000.0,23461000000.0,122428000000.0,,
136,T,AT&T INC.,2023-09-30,10-K,2024-02-23,,,,5782000000.0,30350000000.0,,
135,T,AT&T INC.,2023-06-30,10-K,2024-02-23,,,,6406000000.0,29917000000.0,,
134,T,AT&T INC.,2023-03-31,10-K,2024-02-23,,,,6002000000.0,30139000000.0,,
130,T,AT&T INC.,2022-12-31,10-K,2023-02-13,3701000000.0,133207000000.0,-8524000000.0,-21092000000.0,31343000000.0,402853000000.0,
131,T,AT&T INC.,2022-12-31,10-K,2024-02-23,3701000000.0,133207000000.0,-8524000000.0,-21092000000.0,31343000000.0,402853000000.0,
132,T,AT&T INC.,2022-12-31,10-K,2025-02-12,3701000000.0,,-8524000000.0,-4587000000.0,120741000000.0,,
133,T,AT&T INC.,2022-12-31,10-K,2026-02-09,3701000000.0,,,,,,
128,T,AT&T INC.,2022-09-30,10-K,2023-02-13,,,,6012000000.0,30043000000.0,,
129,T,AT&T INC.,2022-09-30,10-K,2024-02-23,,,,6012000000.0,30043000000.0,,
126,T,AT&T INC.,2022-06-30,10-K,2023-02-13,,,,4956000000.0,29643000000.0,,
127,T,AT&T INC.,2022-06-30,10-K,2024-02-23,,,,4956000000.0,29643000000.0,,
