,ticker,company,end_date,form,filed,cash,long_term_debt,net_income,operating_income,revenue_alt,shares_outstanding,stockholders_equity,total_assets,total_liabilities
31,ZS,"ZSCALER, INC.",2025-07-31,10-K,2025-09-11,2389023000.0,,-41478000.0,-128460000.0,2673115000.0,158301000.0,1799273000.0,6419888000.0,4620615000.0
29,ZS,"ZSCALER, INC.",2024-07-31,10-K,2024-09-12,1423080000.0,1142275000.0,-57706000.0,-121477000.0,2167771000.0,152490000.0,1274102000.0,4704968000.0,3430866000.0
30,ZS,"ZSCALER, INC.",2024-07-31,10-K,2025-09-11,1423080000.0,,-57706000.0,-121477000.0,2167771000.0,152490000.0,1274102000.0,4704968000.0,3430866000.0
26,ZS,"ZSCALER, INC.",2023-07-31,10-K,2023-09-14,1262206000.0,1134159000.0,-202335000.0,-234623000.0,1616952000.0,147169000.0,725112000.0,3608317000.0,2883205000.0
27,ZS,"ZSCALER, INC.",2023-07-31,10-K,2024-09-12,1262206000.0,1134159000.0,-202335000.0,-234623000.0,1616952000.0,147169000.0,725112000.0,3608317000.0,2883205000.0
28,ZS,"ZSCALER, INC.",2023-07-31,10-K,2025-09-11,,,-202335000.0,-234623000.0,1616952000.0,,725112000.0,,
22,ZS,"ZSCALER, INC.",2022-07-31,10-K,2022-09-15,1013210000.0,968674000.0,-390278000.0,-327429000.0,1090946000.0,143038000.0,573300000.0,2832665000.0,2259365000.0
23,ZS,"ZSCALER, INC.",2022-07-31,10-K,2023-09-14,1013210000.0,968674000.0,-390278000.0,-327429000.0,1090946000.0,143038000.0,573300000.0,2832665000.0,2259365000.0
24,ZS,"ZSCALER, INC.",2022-07-31,10-K,2024-09-12,,,-390278000.0,-327429000.0,1090946000.0,,573300000.0,,
25,ZS,"ZSCALER, INC.",2022-07-31,10-K,2025-09-11,,,,,,,573300000.0,,
18,ZS,"ZSCALER, INC.",2021-07-31,10-K,2021-09-16,275898000.0,913538000.0,-262029000.0,-207812000.0,673100000.0,138662000.0,528895000.0,2257631000.0,1728736000.0
19,ZS,"ZSCALER, INC.",2021-07-31,10-K,2022-09-15,275898000.0,913538000.0,-262029000.0,-207812000.0,673100000.0,138662000.0,528895000.0,2257631000.0,1728736000.0
20,ZS,"ZSCALER, INC.",2021-07-31,10-K,2023-09-14,,,-262029000.0,-207812000.0,673100000.0,,528895000.0,,
21,ZS,"ZSCALER, INC.",2021-07-31,10-K,2024-09-12,,,,,,,528895000.0,,
14,ZS,"ZSCALER, INC.",2020-07-31,10-K,2020-09-17,141851000.0,861615000.0,-115116000.0,-113956000.0,431269000.0,132817000.0,484829000.0,1833458000.0,1348629000.0
15,ZS,"ZSCALER, INC.",2020-07-31,10-K,2021-09-16,141851000.0,861615000.0,-115116000.0,-113956000.0,431269000.0,132817000.0,484829000.0,1833458000.0,1348629000.0
16,ZS,"ZSCALER, INC.",2020-07-31,10-K,2022-09-15,,,-115116000.0,-113956000.0,431269000.0,,484829000.0,,
17,ZS,"ZSCALER, INC.",2020-07-31,10-K,2023-09-14,,,,,,,484829000.0,,
10,ZS,"ZSCALER, INC.",2019-07-31,10-K,2019-09-18,78484000.0,,-28655000.0,-35313000.0,302836000.0,127253.0,308558000.0,604162000.0,295604000.0
11,ZS,"ZSCALER, INC.",2019-07-31,10-K,2020-09-17,78484000.0,,-28655000.0,-35313000.0,302836000.0,127253000.0,308558000.0,604162000.0,295604000.0
12,ZS,"ZSCALER, INC.",2019-07-31,10-K,2021-09-16,,,-28655000.0,-35313000.0,302836000.0,,308558000.0,,
13,ZS,"ZSCALER, INC.",2019-07-31,10-K,2022-09-15,,,,,,,308558000.0,,
6,ZS,"ZSCALER, INC.",2018-07-31,10-K,2018-09-13,135579000.0,,-33646000.0,-34624000.0,190174000.0,119764000.0,240236000.0,447781000.0,207545000.0
7,ZS,"ZSCALER, INC.",2018-07-31,10-K,2019-09-18,135579000.0,,-33646000.0,-34624000.0,190174000.0,119764.0,240236000.0,447781000.0,207545000.0
8,ZS,"ZSCALER, INC.",2018-07-31,10-K,2020-09-17,135579000.0,,-33646000.0,-34624000.0,190174000.0,,240236000.0,,
9,ZS,"ZSCALER, INC.",2018-07-31,10-K,2021-09-16,,,,,,,240236000.0,,
3,ZS,"ZSCALER, INC.",2017-07-31,10-K,2018-09-13,87978000.0,,-35460000.0,-35073000.0,125717000.0,32359000.0,-151142000.0,182902000.0,133067000.0
4,ZS,"ZSCALER, INC.",2017-07-31,10-K,2019-09-18,87978000.0,,-35460000.0,-35073000.0,125717000.0,,-151142000.0,,
5,ZS,"ZSCALER, INC.",2017-07-31,10-K,2020-09-17,,,,,,,-151142000.0,,
1,ZS,"ZSCALER, INC.",2016-07-31,10-K,2018-09-13,92842000.0,,-27438000.0,-26843000.0,80325000.0,,-124740000.0,,
2,ZS,"ZSCALER, INC.",2016-07-31,10-K,2019-09-18,,,,,,,-124740000.0,,
0,ZS,"ZSCALER, INC.",2015-07-31,10-K,2018-09-13,83842000.0,,,,,,-95332000.0,,
