date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,44.72263031688656,45.234576547313665,44.152730551316495,44.25898361206055,3633900,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-05,44.25898505903217,44.76126992686581,43.76636157052919,44.23966598510742,3265600,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-06,44.287964355118106,46.71245484236182,44.23966850991823,46.42267608642578,4417900,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-07,46.29710209465408,48.55738219638754,46.25846394614046,47.75565719604492,4428600,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-10,48.23862331271534,50.57617972671421,48.22896561789231,48.885799407958984,6451400,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-11,49.04034937795884,49.291489980887896,46.84768413208264,46.982913970947266,4958100,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-12,46.36471421371703,46.50960541952947,45.24423376760833,45.47605895996094,4061000,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-13,45.398787321867765,46.48062973270512,45.15730441058124,45.6402702331543,3557300,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-14,45.3601447889088,45.89140640545992,44.80956409915301,45.57265090942383,2922500,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-17,45.99766322103225,47.01189069629398,45.930048301663916,46.35506057739258,4661600,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-18,46.82835893879461,46.992569210772565,46.01697632688352,46.05561447143555,3740400,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-19,45.92038797897134,46.28743932461398,44.90616056174603,45.33116912841797,5744800,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-20,45.224913607619456,45.62094538462093,44.68399062828774,44.93513488769531,5540700,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-21,45.01241145212056,45.36014742050601,44.4135348869771,44.52944564819336,50983400,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-24,44.33625760892931,45.02206809400164,43.9402258387727,44.365234375,3992300,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-25,44.39421377800122,44.993094000433814,44.23966487521719,44.48114776611328,3853700,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-26,44.5294453147656,45.60162998101355,44.481149471681846,45.466400146484375,2985700,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-27,45.67890736831097,46.82836467398865,45.64026921902684,46.63517761230469,3975400,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-28,46.6641594717288,46.7510934678674,45.99766427308729,46.2391471862793,2077400,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-03-31,46.19084871256943,46.88632064210947,46.05561887843367,46.37437438964844,3041100,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-01,46.67381517008795,46.722111013712706,45.77549847666816,46.567562103271484,2971500,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-02,46.49994573589554,46.702790483639056,45.591971375946066,46.33573913574219,2655700,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-03,46.3840374953328,46.49994825965773,45.534016625897536,45.94936752319336,3909900,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-04,44.19137234263449,44.51013155115665,41.544718038971766,41.84415817260742,6807300,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-07,41.303233311260634,43.37033001625336,40.90720150536798,41.51573944091797,6206600,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-08,42.259504520219906,42.57826369441731,39.767399399268335,40.36627960205078,4504200,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-09,39.902636064265394,43.14816317288409,39.583876864861686,42.868045806884766,5982400,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-10,42.8680460688248,43.2544165036529,41.71858508972475,42.964637756347656,5105700,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-11,43.20611665705396,44.442507829536915,42.9066765578961,44.27830123901367,3950400,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-14,44.47148904020709,45.11866140412339,43.89192790465798,44.848201751708984,2663800,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-15,44.9737811756629,44.9737811756629,43.87261594500187,44.50047302246094,2723400,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-16,44.635698515540966,45.437423515158045,44.30728162294574,44.55842590332031,4132200,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
2025-04-17,44.8288821790111,46.258460401851856,44.8288821790111,46.19084548950195,3503100,0.0,0.0,ADM,30.143497,2.23,32346388480,80269000704,42.376,0.683,70.48,40.98,Consumer Defensive,Farm Products,Archer-Daniels-Midland Company
