date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,315.83956750824245,315.83956750824245,301.3213601041087,306.6434020996094,2388400,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-05,304.62811231151187,307.09345846169106,302.6812725687219,303.6986999511719,3471000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-06,301.81052706137183,302.749702189513,292.7513101149967,295.9014892578125,2975100,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-07,295.90149098002223,300.6267746496676,295.90149098002223,299.80499267578125,2293500,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-10,299.56039905901963,302.6322960602622,295.04055363890404,296.41998291015625,2991400,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-11,297.5156867396927,297.8776887657403,285.6976417100331,286.0987548828125,2923400,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-12,286.43138881104676,288.38802102639806,283.80950880787714,287.801025390625,1959700,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-13,287.7521136304246,287.8108102068072,283.1736015375577,284.2497253417969,2062500,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-14,284.4366053590454,287.7412484680173,284.4366053590454,286.9544372558594,1429200,1.54,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-17,287.26918708940826,292.9933340688147,286.4233664094246,291.695068359375,1818300,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-18,290.9770864948139,291.59671462223105,288.17402259288764,291.0557556152344,1181000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-19,291.0557738871631,295.3242867924303,291.0557738871631,293.8686828613281,1291700,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-20,290.2787821334337,294.87184605043205,290.04271474810577,292.6097412109375,1602400,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-21,290.298411793712,290.790176274319,287.90844362154326,290.4557800292969,3951100,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-24,292.6294257685723,295.28496647019335,291.8426144573137,293.967041015625,1709100,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-25,294.0850431304831,295.08823199801776,292.60974949385366,294.4489440917969,1474800,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-26,295.47183327466297,302.0811502027669,293.94734512022535,297.4290466308594,1851300,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-27,298.03879782881154,301.20576247485843,296.31762204324093,300.3992614746094,1373800,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-28,301.2549666871121,303.802333599155,295.69803299171065,295.87506103515625,1785400,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-03-31,296.28811663302406,301.284430837232,295.94387547378517,300.49761962890625,2492500,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-01,300.3501000376576,302.31715809801045,298.58957466946316,301.4909973144531,1199200,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-02,299.90751234508,302.8974491243876,298.7469552451583,302.1696472167969,1089300,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-03,299.67150293182175,304.4022758023867,298.48144104934283,300.3599853515625,1998800,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-04,300.54679753858966,300.95989295116806,281.1909528033514,281.41717529296875,3769200,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-07,279.41076681024407,283.77763823403455,268.12968730127284,276.5880432128906,3541600,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-08,278.14200137783365,281.71221660661195,269.0345428490359,272.2015075683594,3130200,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-09,270.6278602631023,290.8197107024847,269.30009002660677,289.836181640625,3469500,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-10,288.31173857779544,292.57040643030814,280.44350567418263,287.39703369140625,3284700,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-11,287.3970379295799,296.4258581309655,285.5184936943487,294.6063232421875,2188000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-14,294.7145038172668,299.29775325841194,293.79982891127884,296.5930480957031,1806200,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-15,296.5930478228805,298.2748742637836,292.8949686172199,293.15069580078125,1763300,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-16,293.05231583703153,294.2719123045681,287.44621809831966,289.2952575683594,1406500,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-17,291.00661420558606,291.22299182253005,288.134695836596,288.4494323730469,1667100,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-21,285.98073949956154,288.4100575253234,275.7225384090264,280.15826416015625,2315500,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-22,283.5710916325219,290.6426676222427,282.03678877667795,288.0658264160156,1725200,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-23,289.50176472470207,292.69823394789074,286.92492356870383,288.7051086425781,1636100,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-24,288.21337778738547,290.0033779499612,284.2005622243056,289.698486328125,1686300,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-25,288.2625176494298,289.354250472342,283.9940052928792,286.9544372558594,1482000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-28,286.846230231776,289.36406210029236,285.61681896726907,288.734619140625,1669200,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-29,287.583888367003,291.144258727472,287.55438369608464,290.89837646484375,1618300,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-04-30,285.9512518422336,296.39632648047,283.59078791513434,295.64886474609375,3342000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-01,294.28171848980827,295.3734513424884,288.8919985082265,293.7702941894531,1667400,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-02,296.06189872821113,300.03536442597726,295.137379035935,298.5699157714844,1720800,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-05,298.30435841535126,300.71401667101566,296.4848536265023,298.9534912109375,1232800,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-06,298.2355334087351,299.1797129203269,295.97339851824523,298.3338623046875,1006800,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-07,298.41257611529056,301.15663078463166,297.39954231477066,300.1534118652344,2013000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-08,301.8450789715121,304.5694738258333,300.1632525913762,302.0319519042969,1164200,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-09,302.03195266500813,303.6252650307211,300.7828814929196,302.6515808105469,851700,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-12,306.684054151213,306.9987906698593,300.1829111291615,304.28424072265625,1683000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-13,304.97268492597755,305.73983641031145,303.1039856707976,303.11383056640625,1215300,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-14,301.6090461175972,304.8743700274748,300.4779936229201,304.3137512207031,1163100,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-15,304.85467371107086,310.74603347426745,304.85467371107086,310.6476745605469,1696900,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-16,311.2279471502059,314.23754375966786,309.21172452485445,314.10968017578125,1489000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-19,313.4703798818343,317.8470961584226,312.1426096619202,317.6405334472656,1530400,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-20,316.0668701129175,317.8175805753825,315.5456009351362,317.483154296875,1015000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-21,315.03418442733516,318.32901271459326,315.03418442733516,317.31597900390625,1892300,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-22,317.28650702430207,317.88644539340163,314.87684862185796,316.3521423339844,1273700,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-23,313.8146430698206,316.52916302695917,312.41801851486514,315.8013610839844,962400,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-27,317.561841044109,320.63044665139114,316.519302729197,320.34521484375,1745100,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-28,321.9287320821762,322.58767972960703,318.37817664546617,318.8011169433594,1158700,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-29,318.8601017132629,319.71576710842425,315.9783390412116,318.7814025878906,921700,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-05-30,319.82397171751154,321.22059618574264,318.04378652461247,320.168212890625,2925000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-02,317.483189481054,320.54198066695926,315.78170330469476,320.43377685546875,1502400,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-03,319.1158514241246,321.41730597433434,317.66024752899347,321.1517639160156,2155900,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-04,320.3551164533151,322.1648064904314,318.62409554175696,320.8370361328125,1229900,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-05,321.7910546384077,322.4008378986822,319.3322318050897,320.8567199707031,1817400,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-06,323.4335316745985,324.4957298340812,320.7583314780253,321.4271240234375,1183300,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-09,320.3551031145723,320.4731218054595,312.56553935182546,313.3228759765625,1462900,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-10,313.2834995748108,314.45390151740656,307.52984876745546,309.33953857421875,1422000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-11,309.2018786522514,309.2018786522514,305.8086913018508,307.2249755859375,1323600,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-12,307.80525226470706,309.0740131812292,300.25175613899137,304.64813232421875,1798900,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-13,303.5213112806628,307.25762599315806,302.2066647130844,303.2742004394531,2021600,1.54,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-16,304.2428485642251,306.11102095952583,303.0863867465696,304.3515930175781,1622300,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-17,305.2016452366329,305.7255190105431,303.30385087884,304.06494140625,2356900,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-18,304.0649448609447,305.2411948852409,302.5427336239324,303.2247619628906,1466700,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-20,304.9446701639032,304.9446701639032,300.486780964589,302.7206726074219,3659000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-23,303.7090909087717,306.85233328969457,302.22642599344266,306.6546325683594,1707000,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-24,307.65297855096384,308.3844169435874,304.5887982737823,307.8012390136719,1309200,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-25,307.4256419981994,307.6035847277602,293.7851357391813,294.7439270019531,2354900,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-26,295.7817780237442,300.3879276486533,293.3205637381524,299.47857666015625,2304100,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-27,299.4390299921508,302.92823380091676,297.42259711783845,299.9431457519531,1931100,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-06-30,299.86406842134664,305.310401189765,299.11284178711,304.8359375,2414600,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-07-01,304.6184827578067,308.3844497355228,303.7486477308982,306.54595947265625,1496600,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-07-02,304.519640608774,305.1819109837075,297.313909676259,301.524658203125,1327800,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-07-03,303.4520911547784,305.82434902659236,301.7519674830809,305.6266784667969,1393200,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-07-07,305.6069221428065,307.21808970576217,303.35327240499527,304.8359375,1660400,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-07-08,304.21318180639537,305.636542563281,301.870576025449,303.3532409667969,1919200,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-07-09,304.64812445416413,305.092936039299,301.732234594062,304.8458251953125,1359600,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-07-10,303.7980837908329,304.9051355679591,301.791544903567,302.2857666015625,1421500,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-07-11,301.90024557786825,302.32526897939397,298.3517375661376,299.1523742675781,1097300,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
2025-07-14,298.6976946811863,300.3286201556764,297.62029506270625,299.8541564941406,1128400,0.0,0.0,ADP,20.88077,10.4,87830085632,21214300160,70.044,0.854,329.93,203.26,Technology,Software - Application,"Automatic Data Processing, Inc."
