date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,107.49925362369498,107.69500635341016,105.22848760855425,105.31657409667969,2395800,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
2025-03-05,105.16976849726868,106.32472766382708,104.77826299062967,105.86470794677734,1523700,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
2025-03-06,105.3165857506631,106.22685023279266,104.49441523389511,105.6591567993164,2320600,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
2025-03-07,105.34593668782382,106.57919979901136,104.44546217949107,106.10939025878906,2080200,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
2025-03-10,105.14040533704153,106.44218279002722,103.69181705419857,104.49441528320312,2579900,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
2025-03-11,104.30843759941261,105.04252156697933,103.33944885312128,104.01480102539062,2050300,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
2025-03-12,104.12246883319884,104.28886687696767,101.99852098071055,102.46833801269531,1956300,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
2025-03-13,102.92836833362955,104.33780453796341,102.00831399591337,102.86963653564453,1596300,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
2025-03-14,103.23178941248058,105.24807112005328,102.83048656602804,104.97401428222656,1395100,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
2025-03-17,104.48461556192355,106.46174504845442,103.85819785525112,106.09960174560547,1344200,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
2025-03-18,106.17791511417012,106.76518083211305,104.85655791443759,105.08168029785156,1534700,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
2025-03-19,104.95444679465679,106.4617594716465,104.23993503408009,106.15834045410156,1846800,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
2025-03-20,105.75703411647002,106.95113777416351,105.63957799239877,106.39323425292969,1754600,0.0,0.0,AFL,16.492668,6.82,58952335360,17164000256,42.682,0.65,119.32,96.95,Financial Services,Insurance - Life,Aflac Incorporated
