date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,340.73680504497025,342.43195523404347,333.5596517450268,334.3427734375,1914700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-05,332.697179818238,339.0713959499648,332.697179818238,337.8322448730469,1216800,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-06,336.8706522101644,339.0416472512966,331.7950943934811,336.900390625,1491900,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-07,336.2845456842965,337.17846828217927,319.012458895862,321.80340576171875,4131400,0.65,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-10,320.83008081724995,322.20072998181973,316.08248795356724,319.66802978515625,3180700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-11,320.63143626730306,325.6571293715459,319.6978066097702,323.54156494140625,1635500,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-12,323.5415696876736,325.40882903013147,318.49602301205385,322.8760986328125,1185100,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-13,324.8923228184623,324.8923228184623,320.2242049478032,320.6612243652344,1151000,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-14,321.3564587068742,323.5614092787364,319.578615956967,323.0350036621094,1265300,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-17,321.058516739513,327.40521008822486,319.81699115273994,326.9085998535156,1172000,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-18,326.9085851191513,330.7424014091815,326.2331721942696,327.425048828125,1422500,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-19,327.3555499964433,328.16005619880207,321.62467846505257,324.4255676269531,974000,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-20,324.71354292513655,333.38436805789587,324.127546517706,332.1726379394531,1497400,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-21,330.9112986004892,332.79841155267275,327.8223669786502,329.5406494140625,2675700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-24,331.9442031889666,337.21820143434724,329.828638748372,335.3807678222656,1226400,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-25,335.8872935244147,336.51302727442373,330.9410749494544,335.0728454589844,1427000,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-26,336.54282422094377,337.80420332025324,333.8214098018065,334.4471435546875,1351200,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-27,336.2051505706877,339.5721827281907,332.97718383699566,338.6882019042969,1330600,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-28,338.34052857669303,341.25065712039384,337.2181846571414,338.4497985839844,1362700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-03-31,340.48589567450597,344.5978428339171,338.688169107908,342.8994140625,1770700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-01,342.730596674937,342.99875529141303,338.71797746786706,341.5287780761719,903800,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-02,338.1220287543957,342.661053461772,336.72158428992225,341.73736572265625,1271600,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-03,340.59514722548704,348.3224005962126,338.5391737572056,342.0650939941406,1322200,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-04,339.27417379617106,342.5418776013978,314.4833995648773,317.08563232421875,2901900,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-07,308.7028535419084,316.7380035508125,299.1679309156942,308.75250244140625,3404100,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-08,317.65180618162134,322.3497200228248,304.2830356452485,309.4179992675781,1812200,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-09,307.1136972782126,322.677475594509,302.7832705184042,321.6246643066406,2285000,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-10,319.21114839258075,328.7162454625061,316.6287690518946,323.51177978515625,1570200,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-11,323.8891741579724,333.00693003311704,319.2508216154846,331.7554626464844,1179700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-14,335.0827924112197,343.27686146716024,333.98033221463965,340.5951843261719,1236600,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-15,341.6777899493909,342.32337720478114,332.47061662212894,333.2850646972656,1313800,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-16,335.4800351709268,336.701707144091,327.90178917021865,330.4046936035156,879300,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-17,330.10670274595697,331.0006253142913,324.3658903046184,326.9880065917969,1195100,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-21,326.1934873789396,326.8092792343827,313.56963309962066,317.234619140625,837100,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-22,322.7569050883349,329.7491854597742,320.4327729003883,328.5076599121094,1041500,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-23,328.89506212919514,334.4074239678049,327.51447103801064,329.5406494140625,953600,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-24,327.03768442270757,330.454365172192,324.1176138948263,329.2724304199219,961100,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-25,325.12079959714566,325.12079959714566,311.45407561745003,320.1149597167969,2164300,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-28,321.63456907357835,323.859403521112,320.0057032764365,321.6147155761719,1536700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-29,319.21114678548133,319.21114678548133,312.93398603466176,314.9899597167969,2753700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-04-30,314.98994866069785,318.9826839654394,310.05364180239013,318.515869140625,3032400,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-01,315.4368625417417,317.46304064051236,311.285208552952,315.4865417480469,1995900,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-02,328.1699779626216,330.18621429712215,314.72176435966804,328.8354187011719,1818500,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-05,328.65663825085437,334.6457563046928,324.17723466794615,332.58978271484375,1402800,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-06,331.5866368553633,336.930167461153,330.3749067540106,335.9766540527344,1402700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-07,335.9071625040821,339.00600540477217,334.61595775500655,337.24798583984375,1279600,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-08,338.4895137744637,341.2904026893868,336.1455280855601,336.1753234863281,1037200,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-09,335.82770777934144,336.82092827096886,333.8015294894301,335.8872985839844,576300,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-12,335.14238818674744,336.88052407287876,323.3230702231913,329.0340881347656,1672300,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-13,331.6363043692244,333.11622346070055,328.64673140636955,330.4444580078125,1004000,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-14,332.31169367012154,332.31169367012154,323.84946612271085,327.40521240234375,898500,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-15,328.5175961295787,336.15546359146293,327.9613951187068,335.9866027832031,1013200,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-16,336.7116562879478,340.5256189728983,335.5893123902903,339.91973876953125,973200,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-19,340.85339904698225,342.3035227799626,339.35365672466855,341.48907470703125,610900,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-20,340.64482163593595,341.91614260953685,337.3473224413614,338.022705078125,908800,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-21,337.73469226211495,339.5721561673993,333.9703782478102,335.24169921875,867100,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-22,335.08276775331524,336.7811661820287,331.38798658391715,333.2055969238281,771700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-23,333.9902408446253,337.10896770979514,331.20923561701454,335.7482604980469,859400,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-27,337.4664922758725,340.7044005548944,334.913938824389,340.4263000488281,976400,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-28,339.2245316215258,341.70758282441955,336.8706039308919,337.4963073730469,1136700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-29,336.45342344930043,339.7310387711757,335.3012841036756,339.5820617675781,628800,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-05-30,339.4033112066882,345.9386887741257,338.68819123271373,345.08453369140625,2545200,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-02,341.09178187665253,346.53461056936214,339.8303725003951,346.4054870605469,986100,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-03,347.279526741807,348.8488320379122,339.4430330973186,342.90936279296875,1035800,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-04,343.04844777080734,343.6642396395825,334.01013503413645,334.0597839355469,1300200,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-05,334.05973652335746,335.04301499293257,322.85621193150325,325.8756103515625,1851400,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-06,326.88077596572606,329.1896288370521,325.6964949830567,327.1793518066406,735200,0.65,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-09,324.9600316225539,326.2537690307288,310.67902082839976,316.3018493652344,1616300,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-10,317.61552881968186,319.69547650818356,310.7984573717913,312.88836669921875,1473100,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-11,310.81838009182917,313.88355816126483,307.49444237759195,311.4353942871094,1428700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-12,311.75386057764916,319.16802287259867,310.87808674443875,318.6107177734375,1416700,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-13,317.35676604923833,319.1978468051548,314.6498428111308,315.1175842285156,1039000,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-16,316.0530414327313,317.7647727761909,314.0825808382837,314.8090515136719,1294100,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-17,312.8584987782922,316.63028489699974,311.72399571072435,314.61004638671875,958400,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
2025-06-18,314.7792287296822,317.874291753415,313.19687703749105,315.6052551269531,1048800,0.0,0.0,AJG,39.368237,5.73,57996619776,13009000448,58.354,0.672,351.23,195.0,Financial Services,Insurance Brokers,Arthur J. Gallagher & Co.
