date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,197.367703746756,197.60190395618397,193.62058973415373,194.21583557128906,2513400,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-05,196.08937952433496,196.61632623804326,192.16661189336517,194.73300170898438,1598200,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-06,193.3570961632368,193.73766215773918,190.8102268493498,192.65451049804688,1460100,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-07,192.52768255719934,196.5480226473665,191.0444443639532,195.8747100830078,1957900,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-10,194.7959465304547,199.60135822856276,193.51123521743125,194.90382385253906,2711800,1.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-11,194.65864380780576,199.6700084162991,190.4122220193422,197.68899536132812,3412600,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-12,197.32614998440968,197.5320880788262,189.1079001697896,194.42327880859375,2688800,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-13,195.15879867100477,198.34606548347094,195.15879867100477,198.10089111328125,1674200,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-14,198.73833716826843,203.84777759331175,197.36536669004008,203.48492431640625,2546000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-17,202.14136874643802,207.07427609228725,201.7392941346556,206.0445556640625,3318900,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-18,205.41688733817855,205.89741949489195,201.0135505532379,201.37640380859375,1894300,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-19,200.6212843041175,201.33718925182225,198.8854456295747,200.9154815673828,1787800,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-20,203.14167213298978,208.80030069133662,203.14167213298978,206.12298583984375,2542700,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-21,204.4361971962336,206.84870454543318,201.5431277447117,202.48460388183594,2888200,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-24,203.00438699379998,203.99488610359387,201.7588969512375,203.29859924316406,1240800,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-25,203.8379751428881,205.30902134801573,202.13155615780795,204.10275268554688,1064600,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-26,205.27959272239832,207.1527134362286,204.0144846608464,205.2403564453125,1086700,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-27,206.55449728342995,206.55449728342995,203.49472595165847,205.2501678466797,1827500,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-28,205.7895447624588,205.7895447624588,200.8468363081133,202.46498107910156,2113400,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-03-31,202.06289642179806,204.43619742413586,201.13123683526766,203.07302856445312,1926300,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-01,203.77913141474465,206.12299789263452,202.37674114179788,203.49473571777344,1583600,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-02,202.65134178570196,203.524162009441,199.83674459670488,201.46469116210938,1674700,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-03,198.56181775100862,204.41658283823944,198.3754828376126,201.3568115234375,2010700,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-04,198.44412312039628,199.71901775771562,182.6352709965377,182.96871948242188,3352200,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-07,179.6637791346633,183.7729040568607,172.60276012250307,177.04531860351562,4062000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-08,183.2040997049564,185.93043758942758,177.31991463672975,179.92857360839844,3087000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-09,176.5255310374838,190.48085077340025,176.5255310374838,189.27459716796875,2844000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-10,188.10756958591404,190.2454977412218,183.0275641372075,187.1072540283203,1895500,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-11,185.7637099104153,189.637461860227,183.419843594311,188.8332977294922,1876900,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-14,190.47107251398884,193.62891970865923,189.63747364073953,191.7263641357422,1631900,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-15,192.42264416574378,194.0996283461011,190.58872984511726,190.7848663330078,1691600,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-16,192.29514118180663,193.90348426231233,189.1961339160687,190.49066162109375,1596100,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-17,192.02056714631448,193.03068434078824,189.431526430456,190.90257263183594,1905800,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-21,188.35276512078082,189.2648216046259,181.05637310704716,183.34140014648438,1296100,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-22,186.74441866538953,190.7260481746484,185.3027921238639,190.15724182128906,1499300,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-23,190.94178693923155,192.618786131536,189.12750566932885,190.97120666503906,1137700,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-24,190.15723295341797,192.10882630078135,188.62734729847233,191.0987091064453,914300,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-25,190.9810337856752,191.0987126954178,186.95036652017464,189.1863555908203,1156100,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-28,189.92188662793697,191.85386195283715,188.6273587097421,191.6381072998047,1504100,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-29,190.98103741984423,195.50205351431057,190.97122086767484,194.95285034179688,1462300,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-04-30,193.9132982399163,194.77631676508,190.7750694633054,194.56056213378906,2307700,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-01,190.93198829343967,194.55076426606507,188.80387662979865,193.43276977539062,2985100,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-02,194.30560388895964,196.8848281837343,192.61880296208267,195.45301818847656,1508500,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-05,194.8351550905485,197.6007290042474,193.35430737002318,196.38465881347656,1292700,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-06,196.13947950054236,198.67948216865324,195.76680970092983,198.1597137451172,1119900,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-07,198.83640785297848,200.61146784199667,198.17934235763366,200.1309356689453,1170000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-08,199.63078138727204,202.13156301366112,198.64028229602266,198.70892333984375,1185900,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-09,198.70894325934185,199.35620726785788,198.20879286962918,198.7285614013672,707200,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-12,199.57195055004055,200.82724221139657,195.5020617210865,198.58145141601562,1331600,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-13,198.87564168677434,200.3172682251962,197.41441197239564,198.65008544921875,1077500,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-14,199.08157826954877,199.08157826954877,193.61908640216743,196.7180938720703,1458800,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-15,197.6987953775493,201.6314017296397,196.97308884158667,201.30776977539062,1126000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-16,201.66082725890632,205.10307002073546,200.72915268308182,205.0246124267578,1111000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-19,205.23056332450466,206.61333538159172,204.33812503717652,205.89743041992188,1029900,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-20,204.99519097474573,206.17202494599664,203.9360359113431,204.10275268554688,1058600,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-21,203.28877697042245,203.79874385735295,200.52321781843685,201.3470001220703,1516000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-22,201.4842914964974,201.4842914964974,196.6298420302477,198.61085510253906,1180000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-23,198.61088261316863,200.15057006740724,197.53210926490624,199.31698608398438,821300,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-27,200.78799707574862,203.3966408650311,199.1306160258374,203.24954223632812,1095400,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-28,202.55324293703364,203.8575723296424,200.73896164922485,200.9743194580078,931100,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-29,201.00375377278726,202.79841691842572,200.0622776466483,202.7689971923828,839000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-05-30,202.17075901498166,206.32892129565147,201.04296301304927,205.81895446777344,2491900,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-06-02,204.4067792698148,208.5649421897365,202.9259313846567,208.5355224609375,1567800,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-06-03,207.7999730614916,209.06506613280246,203.23973610265023,207.18212890625,1263500,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-06-04,206.98599837799293,208.34916721500244,202.71997351138648,202.7984161376953,1346600,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-06-05,203.53393766624683,203.53393766624683,200.93509546719477,202.66111755371094,1000000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-06-06,204.034113207278,205.1521077331704,203.04359917777944,204.04391479492188,1174000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-06-09,203.09791455657592,203.9453882358928,194.32754461266333,197.84555053710938,2427000,1.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-06-10,197.1261628574926,197.28383586795735,192.62273839047234,193.5391845703125,1303100,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-06-11,193.04646744561148,194.2486978349627,190.69128136218262,193.3223876953125,1904000,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
2025-06-12,193.312555393222,197.56963681727822,192.7902766587698,197.40211486816406,1088900,0.0,0.0,ALL,5.62743,38.06,55587385344,67684999168,25.091,0.206,216.75,176.0,Financial Services,Insurance - Property & Casualty,The Allstate Corporation
