date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,519.8359353421554,519.8359353421554,487.44740382668385,491.7711486816406,853500,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-05,492.797803840096,503.63678020839956,488.365486048711,502.5509033203125,766900,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-06,493.68619866727,502.4521421260088,488.65173098203184,496.48974609375,623600,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-07,491.7316370387213,494.2094062936055,480.7445945646148,492.92608642578125,450000,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-10,480.86309702680455,485.0387748961842,469.18506278894364,474.1997985839844,568200,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-11,474.5354131140697,478.3556992831281,469.36272901183963,471.9095764160156,688000,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-12,478.75059656790677,481.35667093993766,468.5532652711767,474.28863525390625,564900,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-13,476.2629240217319,478.1780076591686,464.7230764837549,466.22357177734375,396900,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-14,471.8405154057006,482.07731135612437,469.8662047460057,479.58966064453125,565000,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-17,480.0042416064891,488.7997985227705,480.0042416064891,486.3812561035156,573600,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-18,486.47012756052385,486.57873031056494,480.0437669402712,482.64984130859375,513100,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-19,482.64984244955025,495.79875851681254,478.79006154070004,492.6201171875,369100,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-20,486.12463846395895,490.8037449354591,483.34085329395225,486.74652099609375,436200,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-21,482.8571816220719,488.4346033159384,476.9441005991983,486.3122253417969,1409500,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
2025-03-24,494.16003366544123,503.1036576517695,489.4315516719285,501.6229248046875,448300,0.0,0.0,AMP,12.92119,36.29,43564417024,18911000576,57.597,1.271,550.18,396.14,Financial Services,Asset Management,"Ameriprise Financial, Inc."
