date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,17.647927571276274,18.08532328355924,17.115447490496123,17.65743637084961,12287400,0.0,0.0,APA,7.4401917,4.18,11127158784,8684999680,68.685,0.708,32.78,13.58,Energy,Oil & Gas E&P,APA Corporation
2025-03-05,17.467264114967687,17.752520819846755,16.792153920114316,17.628910064697266,14018100,0.0,0.0,APA,7.4401917,4.18,11127158784,8684999680,68.685,0.708,32.78,13.58,Energy,Oil & Gas E&P,APA Corporation
2025-03-06,17.628911051200703,18.085322529994883,17.12495557652088,17.828590393066406,7804900,0.0,0.0,APA,7.4401917,4.18,11127158784,8684999680,68.685,0.708,32.78,13.58,Energy,Oil & Gas E&P,APA Corporation
2025-03-07,18.07581335963059,18.57976882396168,17.75252144871902,17.914167404174805,8204400,0.0,0.0,APA,7.4401917,4.18,11127158784,8684999680,68.685,0.708,32.78,13.58,Energy,Oil & Gas E&P,APA Corporation
2025-03-10,17.66694335621822,18.46566430217745,17.66694335621822,18.0853214263916,9266100,0.0,0.0,APA,7.4401917,4.18,11127158784,8684999680,68.685,0.708,32.78,13.58,Energy,Oil & Gas E&P,APA Corporation
2025-03-11,18.161391177449524,18.465665497779142,17.647926901679792,18.25647735595703,8408000,0.0,0.0,APA,7.4401917,4.18,11127158784,8684999680,68.685,0.708,32.78,13.58,Energy,Oil & Gas E&P,APA Corporation
2025-03-12,18.323037110040328,18.798466188264825,18.28500191324573,18.684362411499023,6876200,0.0,0.0,APA,7.4401917,4.18,11127158784,8684999680,68.685,0.708,32.78,13.58,Energy,Oil & Gas E&P,APA Corporation
2025-03-13,18.541733467275147,18.94109395296118,17.85711626907822,18.104339599609375,5575400,0.0,0.0,APA,7.4401917,4.18,11127158784,8684999680,68.685,0.708,32.78,13.58,Energy,Oil & Gas E&P,APA Corporation
2025-03-14,18.30402034745063,18.68436326467404,18.161391980194114,18.646329879760742,5823500,0.0,0.0,APA,7.4401917,4.18,11127158784,8684999680,68.685,0.708,32.78,13.58,Energy,Oil & Gas E&P,APA Corporation
2025-03-17,18.74141250998496,19.197825781924145,18.74141250998496,19.04568862915039,7030200,0.0,0.0,APA,7.4401917,4.18,11127158784,8684999680,68.685,0.708,32.78,13.58,Energy,Oil & Gas E&P,APA Corporation
