date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,95.4557313724434,95.85968761075037,93.63323013441178,94.403564453125,1216600,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-05,93.55806522469304,96.16029687370636,93.2856361477134,96.00059509277344,994700,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-06,95.34299946643917,95.34299946643917,92.59046203996272,93.75536346435547,1083200,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-07,93.96203319130827,96.92124692717299,93.94324769538163,96.28243255615234,1016900,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-10,96.6394185376333,98.77192704167926,95.53088796193828,95.9818115234375,1411900,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-11,96.29182381270377,96.50789642462748,92.81592669809227,93.25745391845703,1174600,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-12,93.24806448827307,93.70838436956008,91.83891585113683,92.5528793334961,1060500,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-13,92.63743699976784,94.21568384559511,90.64583757110694,90.79615020751953,1042200,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-14,91.98922004778073,93.33260868341213,90.7397732198738,93.15412139892578,816400,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-17,93.1916914881173,95.0893489554061,93.16350966280218,93.4923095703125,1044200,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-18,93.31382438724705,93.55807165700752,91.71678496621773,92.43075561523438,1066100,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-19,92.45893686388726,92.74076945622113,90.87130095115472,91.77315521240234,1488200,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-20,91.70739154551843,92.27104954024087,90.8055373205025,91.10615539550781,1087000,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-21,90.68341001373601,91.20948987341524,89.63125029437757,90.43915557861328,2205900,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
2025-03-24,90.97463635295814,92.3180250628675,90.56129094265589,91.64163970947266,856300,0.0,0.0,ARE,,-8.44,9285434368,3016924928,66.615,1.319,105.14,44.1,Real Estate,REIT - Office,"Alexandria Real Estate Equities, Inc."
