date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,179.9816881504624,180.8585010550737,176.1334157454758,176.65951538085938,980400,0.0,0.0,AVY,21.272726,8.8,14469697536,8855499776,176.335,0.97,199.54,156.23,Consumer Cyclical,Packaging & Containers,Avery Dennison Corporation
2025-03-05,177.1098537215466,179.77271928215384,176.15042859899637,178.979736328125,1056000,0.88,0.0,AVY,21.272726,8.8,14469697536,8855499776,176.335,0.97,199.54,156.23,Consumer Cyclical,Packaging & Containers,Avery Dennison Corporation
2025-03-06,177.25669379081313,179.31258765952506,176.3266522552593,178.56854248046875,1149100,0.0,0.0,AVY,21.272726,8.8,14469697536,8855499776,176.335,0.97,199.54,156.23,Consumer Cyclical,Packaging & Containers,Avery Dennison Corporation
2025-03-07,177.6091327319566,180.98665986286628,177.6091327319566,180.07620239257812,1195500,0.0,0.0,AVY,21.272726,8.8,14469697536,8855499776,176.335,0.97,199.54,156.23,Consumer Cyclical,Packaging & Containers,Avery Dennison Corporation
2025-03-10,180.05661407280152,185.76415213385388,180.01746087707286,182.6020050048828,788000,0.0,0.0,AVY,21.272726,8.8,14469697536,8855499776,176.335,0.97,199.54,156.23,Consumer Cyclical,Packaging & Containers,Avery Dennison Corporation
2025-03-11,182.96424105799082,182.96424105799082,176.30707694209323,176.36581420898438,601900,0.0,0.0,AVY,21.272726,8.8,14469697536,8855499776,176.335,0.97,199.54,156.23,Consumer Cyclical,Packaging & Containers,Avery Dennison Corporation
2025-03-12,175.7098777111885,176.6203500999992,173.34071350097656,173.34071350097656,542500,0.0,0.0,AVY,21.272726,8.8,14469697536,8855499776,176.335,0.97,199.54,156.23,Consumer Cyclical,Packaging & Containers,Avery Dennison Corporation
2025-03-13,173.45819324505206,175.2301853775279,171.23588706334817,172.19529724121094,552800,0.0,0.0,AVY,21.272726,8.8,14469697536,8855499776,176.335,0.97,199.54,156.23,Consumer Cyclical,Packaging & Containers,Avery Dennison Corporation
2025-03-14,173.40925156630297,175.2008127876675,172.8805863202524,174.8875274658203,420100,0.0,0.0,AVY,21.272726,8.8,14469697536,8855499776,176.335,0.97,199.54,156.23,Consumer Cyclical,Packaging & Containers,Avery Dennison Corporation
2025-03-17,175.46514215715405,177.07069219287328,174.4763633034776,175.94485473632812,497400,0.0,0.0,AVY,21.272726,8.8,14469697536,8855499776,176.335,0.97,199.54,156.23,Consumer Cyclical,Packaging & Containers,Avery Dennison Corporation
