date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,124.00179606341585,124.74580683979634,120.48014202782724,122.07728576660156,2524100,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-05,121.50191649711246,126.28342518739196,121.31343135556071,125.4997329711914,2046900,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-06,124.99380255645903,128.46585262747178,124.76563593595203,125.53941345214844,2300000,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-07,124.94419880424539,127.07703864415284,123.40658117113809,125.6882095336914,2056100,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-10,124.2101090871229,125.63861209519436,120.64878139754333,120.92654418945312,3412300,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-11,121.6110394647989,122.29553181033565,118.3473188080494,120.0634994506836,2106600,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-12,121.1249537937135,122.71217528159096,118.12907370837412,118.8929214477539,1807100,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-13,118.04971337588316,119.12109074228177,116.23432521089704,116.39305114746094,1984800,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-14,117.86121887050997,121.07535071478625,116.56168253395624,120.21229553222656,2978800,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-17,120.13292633455607,122.5137620913199,119.81548207155211,121.51182556152344,2015400,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-18,121.12495188719099,122.21616616990157,120.45038181940227,122.1169662475586,1415400,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-19,121.58127332448748,122.255843368639,120.34125541747869,121.23406982421875,1706100,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-20,120.74798393508271,121.10510969485438,118.73419608154559,119.3194808959961,1620600,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-21,118.42667366215076,119.81549530435454,116.97833357920666,119.78573608398438,3041400,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-24,120.90670171472436,123.43634123965364,119.92460966426167,120.99598693847656,1557400,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-25,121.6209595874106,122.05744832974878,118.8036424247852,119.54765319824219,1605900,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-26,119.7559639110428,120.17260808809978,118.09930189621981,118.94251251220703,2652900,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-27,119.04171676188928,119.36908329941691,117.78186192295209,118.01994323730469,2075700,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-28,118.25802863085822,118.70443962519495,115.43078927393405,115.7581558227539,1772900,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
2025-03-31,115.43078580502645,116.78984813541062,112.85155011075499,116.04583740234375,2014000,0.0,0.0,A,26.376368,4.57,34172954624,7064999936,48.552,1.312,160.27,96.43,Healthcare,Diagnostics & Research,"Agilent Technologies, Inc."
