date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,4813.6532418457045,4931.309300545747,4755.306984369413,4862.27197265625,389700,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-05,4858.510324705581,4912.97575470301,4806.526940973451,4881.19189453125,213100,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-06,4780.489657564502,4835.779040388494,4651.686925068837,4661.33544921875,305600,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-07,4653.75549180333,4700.186295842943,4576.898259049858,4648.4140625,296900,9.6,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-10,4558.676470984388,4558.676470984388,4382.383071100634,4427.251953125,360800,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-11,4376.5049717541315,4405.777931926288,4285.0066336652135,4330.154296875,403400,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-12,4391.414834672527,4398.6756434142935,4277.665887876513,4377.01220703125,305700,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-13,4358.640626545608,4377.012172371691,4256.539086260099,4272.45361328125,319100,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-14,4338.677905956205,4441.625,4329.9251105868225,4441.625,252900,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-17,4450.228787261119,4583.115184425118,4437.934951180917,4539.01220703125,284200,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-18,4535.262216739555,4541.02132489302,4393.0659607614725,4447.62255859375,286100,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-19,4424.427326814908,4612.755700777628,4424.427326814908,4567.35986328125,278400,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-20,4544.621490789224,4627.834724647259,4522.967769262163,4564.5146484375,239300,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-21,4507.123589510768,4620.295559957777,4433.518899524952,4592.59423828125,574400,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-24,4649.210365286324,4702.702854918373,4632.569757590163,4684.560546875,232000,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-25,4697.451292367119,4768.976813927049,4697.451292367119,4752.38623046875,264900,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-26,4752.475382392128,4756.454013938711,4706.780857360371,4738.70947265625,179300,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-27,4714.6782416696415,4781.65834633748,4589.331439117158,4727.40966796875,194000,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-28,4727.410105760667,4727.410105760667,4604.868537846976,4609.48388671875,185400,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-03-31,4498.648974088685,4601.327494679781,4417.13656094446,4582.2998046875,359400,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-01,4547.66528922466,4668.894563364702,4505.541915636501,4660.71826171875,222000,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-02,4599.725935582405,4704.334027585846,4599.725935582405,4664.2490234375,193400,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-03,4465.258046785172,4499.593169576117,4360.042867267453,4426.75439453125,394300,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-04,4299.130895325059,4489.140198523469,4261.134765625,4261.134765625,508500,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-07,4147.803302594502,4440.073439260105,4085.4681665643707,4222.0048828125,558400,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-08,4351.638223481907,4406.841739437657,4107.519634834677,4141.90478515625,350900,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-09,4104.137885285475,4628.949139086216,4074.3476856293355,4591.6591796875,602600,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-10,4501.423964777261,4534.496340506252,4350.47442679487,4470.62939453125,423300,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-11,4484.137083527486,4618.873410775439,4411.248276869332,4562.0283203125,305000,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-14,4676.5830697820575,4676.5830697820575,4523.12698266734,4532.49658203125,288100,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-15,4575.416605293695,4592.8425453748705,4499.921682496084,4587.7998046875,215700,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-16,4549.4159396833,4603.037614535684,4467.774345013708,4516.58203125,248800,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-17,4562.078035799023,4579.991591168864,4492.501522536561,4548.87890625,216800,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-21,4542.244902398177,4554.349811903708,4347.769361202865,4413.923828125,235500,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-22,4441.147452634995,4583.890572463374,4433.110539223588,4573.5166015625,236300,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-23,4694.615982988902,4774.357624183506,4640.078816003345,4705.755859375,237900,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-24,4680.979548794484,4817.8839123457155,4666.566722713209,4802.1787109375,238000,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-25,4802.825407169883,4852.349465561257,4767.942441886937,4812.5927734375,189600,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-28,4853.930596254395,4889.937406831798,4798.468704367681,4863.82763671875,232900,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-29,4824.08111294584,4903.782934099746,4815.9446364624,4883.00439453125,372300,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-04-30,4706.950517639585,5088.809834736645,4697.541091594064,5072.03955078125,458000,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-01,4975.547303369671,5132.355021349766,4943.449674087067,5074.177734375,311600,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-02,5151.382734562582,5198.857736074478,5090.957267937134,5175.005859375,270900,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-05,5147.354669849185,5221.954012890477,5147.354669849185,5163.388671875,192500,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-06,5162.423864637512,5188.036306862811,5124.557411304309,5134.79248046875,182700,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-07,5136.055500350013,5200.618414954794,5105.20119259113,5168.4814453125,157400,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-08,5173.235778618244,5210.356237523453,5137.617020056284,5137.6767578125,209100,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-09,5113.6459050382655,5123.911086129077,5011.086857642088,5045.4423828125,228400,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-12,5151.641869919431,5202.061022582228,5061.336836755808,5167.23828125,293800,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-13,5134.782567122063,5274.283352443358,5123.8316156005585,5234.30810546875,253600,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-14,5230.438829765752,5260.46798281354,5154.874931882956,5188.68310546875,195500,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-15,5186.116727627564,5257.194943172124,5181.182777564583,5209.759765625,155600,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-16,5239.002569022322,5303.943822435241,5193.128829923471,5288.66552734375,200500,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-19,5286.626486367964,5351.2394226849765,5199.305433193827,5349.27001953125,158700,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-20,5304.490245445992,5346.256160461971,5261.739871737313,5282.3095703125,178400,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-21,5258.358599127837,5305.594650678848,5232.89525952155,5265.03271484375,130900,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-22,5269.190421422421,5323.209863652871,5257.681918886209,5313.373046875,136000,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-23,5252.519860757025,5308.728231962676,5244.493146242445,5304.3115234375,152400,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-27,5328.303402509919,5442.549687550352,5328.303402509919,5422.6171875,257700,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-28,5422.616853071429,5475.5921032214155,5422.616853071429,5446.0107421875,188600,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-29,5450.7249494502,5480.236369780911,5406.870640810513,5472.607421875,193600,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-05-30,5480.564796113235,5502.944597912246,5447.800824560218,5489.447265625,232700,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-02,5470.618506080209,5514.811331872446,5442.031804618217,5509.32080078125,136700,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-03,5484.633350335147,5530.746043003938,5435.447805660841,5445.82177734375,212400,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-04,5444.558714047512,5530.417902616797,5444.260510919505,5527.314453125,209200,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-05,5545.217766694351,5609.572326793987,5520.351319310071,5540.76171875,185700,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-06,5595.2040751446075,5610.926659764826,5533.657967294848,5594.25732421875,174100,9.6,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-09,5580.896131460369,5603.234782266771,5508.409846484603,5519.330078125,199300,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-10,5509.904009431334,5526.025045223512,5415.567051280612,5468.0859375,178600,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-11,5468.106324097644,5473.337293157686,5370.411944161737,5446.46484375,262800,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-12,5445.309309961315,5468.106254258643,5406.141748508735,5442.15087890625,193300,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-13,5325.624952424099,5353.872284039026,5253.24812835359,5279.173828125,262000,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-16,5305.6768085448775,5360.188444646266,5293.760202734163,5349.5771484375,224300,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-17,5293.251914666254,5369.823430674258,5265.841871957482,5281.83349609375,196200,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-18,5287.662484558893,5332.499360359031,5258.19985042716,5267.09716796875,181000,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-20,5358.505303078355,5358.505303078355,5255.878667485742,5284.80322265625,441900,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-23,5320.98126313553,5330.606401592845,5216.670819800476,5314.08642578125,175600,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-24,5370.461766251704,5498.1773011727855,5359.0034526502395,5462.357421875,234000,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-25,5445.33885027803,5502.212014334824,5420.28011579494,5465.4658203125,177300,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
2025-06-26,5500.648102305633,5612.191998525719,5481.507776296506,5575.71484375,219300,0.0,0.0,BKNG,25.707602,165.46,137109118976,26916999168,,1.227,5839.41,3765.45,Consumer Cyclical,Travel Services,Booking Holdings Inc.
