date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,131.55999755859375,134.19000244140625,127.44999694824219,130.38999938964844,2961500,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-05,131.1199951171875,135.41000366210938,130.38999938964844,133.6999969482422,1760200,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-06,131.67999267578125,134.77999877929688,131.67999267578125,134.27000427246094,2083800,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-07,134.0,135.6999969482422,131.1999969482422,134.50999450683594,1048800,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-10,133.39999389648438,139.17999267578125,132.85000610351562,135.5800018310547,1865100,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-11,135.47999572753906,136.7899932861328,128.8000030517578,130.0,1649400,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-12,131.0,131.58999633789062,128.4499969482422,129.4600067138672,1670400,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-13,129.27999877929688,129.49000549316406,122.48999786376953,122.80000305175781,1730900,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-14,125.81999969482422,126.36000061035156,123.33000183105469,126.19000244140625,1919900,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-17,126.12999725341797,129.6199951171875,126.0,128.14999389648438,1018000,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-18,127.51000213623047,129.08999633789062,126.2300033569336,127.72000122070312,1306900,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-19,127.66999816894531,129.97000122070312,126.06999969482422,128.2899932861328,1623900,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-20,127.5,132.33999633789062,126.97000122070312,128.75999450683594,1488400,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-21,126.87999725341797,127.0,124.33000183105469,126.45999908447266,4153200,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-24,128.27000427246094,131.89999389648438,127.7300033569336,131.72999572753906,1371800,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-25,130.4499969482422,132.35000610351562,129.24000549316406,130.85000610351562,992200,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-26,130.02000427246094,131.49000549316406,127.86000061035156,128.99000549316406,851100,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-27,128.5800018310547,129.41000366210938,126.8499984741211,128.02999877929688,789500,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-28,128.02999877929688,128.49000549316406,123.9800033569336,124.51000213623047,1129500,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-03-31,121.08000183105469,125.95999908447266,119.6500015258789,124.94000244140625,1979500,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-04-01,125.08999633789062,127.25,123.8499984741211,125.61000061035156,1500300,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-04-02,124.01000213623047,131.32000732421875,123.6500015258789,131.1199951171875,1411900,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
2025-04-03,125.86000061035156,125.86000061035156,119.58000183105469,119.81999969482422,1535300,0.0,0.0,BLDR,24.676092,3.89,10616980480,15190637568,117.187,1.564,151.03,94.17,Industrials,Building Products & Equipment,"Builders FirstSource, Inc."
