date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,240.53413099167264,242.70971440975003,237.99431553906254,238.063232421875,897000,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-05,236.31097009894037,241.50872730699942,236.31097009894037,238.7129669189453,702500,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-06,237.6990006968312,237.6990006968312,233.67269554344293,234.1353759765625,811000,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-07,233.05251948312565,238.0140093296113,231.3199238056889,237.1674041748047,632800,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-10,235.08044383586395,236.70473735577627,227.76616602748297,228.829345703125,1169800,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-11,229.8728289233987,229.8728289233987,222.66685349039471,222.80467224121094,886700,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-12,224.25177094889074,224.4781842435367,219.4379386030742,221.60366821289062,601500,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-13,220.97115875994527,223.4418770655399,219.94334658004772,222.927978515625,494200,0.88,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-14,223.89650500974395,225.8730797349148,222.6512532816425,224.98361206054688,297700,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-17,224.49936442843395,229.10478722959687,224.49936442843395,228.75888061523438,765500,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-18,228.06707899708593,228.8181719641912,226.13992165512153,228.5216827392578,471700,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-19,229.42102576610134,233.91773624304517,228.78852246271168,232.61318969726562,518700,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-20,231.6150332483058,231.9115224812232,228.9763077274719,231.07147216796875,362200,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-21,229.6582053485217,231.4667728994023,228.25483920588553,230.17210388183594,1115400,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-24,232.23764208045785,235.45945330546695,231.48653406819813,233.05792236328125,472800,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
2025-03-25,233.68052871678063,236.30937655003459,232.14868038807595,234.164794921875,482800,0.0,0.0,BR,20.878319,9.04,22035152896,7180299776,117.175,0.977,271.91,163.71,Technology,Information Technology Services,"Broadridge Financial Solutions, Inc."
