date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,33.82864485039129,33.945934685050865,32.870769788755396,32.929412841796875,5716900,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-05,32.71438348852757,33.22264443173208,32.626415176654156,33.056480407714844,4192500,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-06,32.9294157240275,33.01738403986599,32.489577873412,32.645965576171875,3134100,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-07,32.59708984629996,33.57451387441782,32.528670462617846,33.48654556274414,5001300,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-10,33.41811897479233,34.19028468540057,33.33015068208283,33.65270233154297,6112300,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-11,34.10232337718243,34.21961321529188,33.49632153027741,33.750450134277344,5649100,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-12,33.58428743531432,34.02412895743922,33.525640656172186,33.769996643066406,4222800,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-13,33.828643798828125,34.0729997884428,33.603836735811804,33.828643798828125,3885300,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-14,33.86774092524046,34.835388535346524,33.86774092524046,34.67900085449219,7118000,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-17,34.73765145508516,35.069975779537096,34.57148742857077,34.786521911621094,5577400,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-18,34.51284538738585,34.89404017958692,34.434649671766685,34.854942321777344,3960700,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-19,34.71809838366309,35.109065717871246,34.581259630261414,35.05042266845703,4406500,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-20,35.02110421922077,35.177491912352906,34.933135908797894,35.14816665649414,3619400,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-21,35.07974175406408,35.37296816647621,34.70831964310145,34.96245193481445,8615300,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-24,34.933134589817286,35.265458891247505,34.67900226771246,34.9135856628418,4210600,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-25,34.84516661974816,34.894037073371294,34.16096908329449,34.43464660644531,5309700,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-26,34.50306462213679,34.86471043893157,34.50306462213679,34.737648010253906,2540700,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-27,34.84516656291852,35.08952255921226,34.69855147371163,34.86471176147461,2734700,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-28,35.08952462796427,35.57823664936446,35.001556314969164,35.43162155151367,6252200,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-03-31,35.46094168252655,36.13536663177629,35.265459864529724,35.412071228027344,9318800,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-04-01,35.500040856907866,36.07672119001472,35.19703806202908,35.96920394897461,10763700,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-04-02,36.164683258241055,36.4383607492131,35.95942514001202,36.09626388549805,5692200,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-04-03,36.22333315968035,36.848883895086836,36.19400790556183,36.51655960083008,5208000,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-04-04,36.418813959422835,36.800012423794115,34.952678065703175,35.26545715332031,9470400,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-04-07,34.83538993816449,35.588006847763914,34.34667794974226,34.698551177978516,10268000,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-04-08,35.372972006659396,35.45116771369903,34.48351634625447,34.74742126464844,11987900,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-04-09,34.395547656954044,36.08649065279534,33.936160933231655,35.44139099121094,12994600,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-04-10,35.37297439575195,35.82259228444401,34.71810208365929,35.37297439575195,10449300,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
2025-04-11,35.226363400786965,35.83236526338023,35.0211052466375,35.754173278808594,8296700,0.0,0.0,CNP,27.5125,1.6,28739405824,9356999680,206.599,0.539,44.04,33.24,Utilities,Utilities - Regulated Electric,"CenterPoint Energy, Inc."
