date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,59.76421946044082,59.932571343059045,58.457032162283426,59.21955871582031,3838900,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-05,59.348299717528334,60.60597312692171,59.13043390210995,60.56636047363281,3807500,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-06,60.40791235648503,60.93276677958027,59.71470604931914,60.26927185058594,3258600,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-07,60.011795918685046,60.60597439746319,59.38791361582333,59.97218704223633,3614200,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-10,59.49684567444691,60.17024189648653,58.85810580217751,59.65529251098633,4015800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-11,59.655292495146654,59.922668462378596,59.08092035179965,59.38791275024414,4442400,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-12,59.37801109038794,59.88306300772622,57.98664960985257,58.427330017089844,3371700,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-13,58.19956206979633,58.66500132458841,57.52616204154552,58.02130889892578,3304000,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-14,58.51645826398335,59.33840011806949,58.19956456389341,59.23937225341797,2987600,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-17,59.308685866121756,61.30907948475377,59.29383206585612,60.98228454589844,2802800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-18,60.87830038869808,61.15063265246957,60.475253171520826,60.98228454589844,3443700,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-19,60.97237994493429,62.17063435905103,60.82383438583828,61.85374069213867,3743200,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-20,61.487336916865544,61.75471667324216,60.95257740411232,61.229862213134766,2684800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-21,60.942672742308815,61.338787939701746,60.5614075677179,61.12092590332031,6880500,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-24,61.9923837459472,61.9923837459472,61.05160775859227,61.467529296875,2117800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-25,61.47743518374869,61.744811160462035,60.96248200245393,61.249664306640625,2565200,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-26,61.467529319944546,62.378601483340624,61.4477229927326,62.09141540527344,2634300,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-27,62.09141325108724,62.51228730114501,61.58636136888151,61.83393478393555,2833100,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-28,61.744810750665444,61.92306391907175,60.13063473784373,60.46733474731445,2534300,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-03-31,60.70500354774502,62.606369431583964,60.269275676165805,62.319183349609375,4566000,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-01,62.46772722782784,63.13617470715133,61.774520895404336,62.933162689208984,5043400,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-02,62.576656381704424,63.40850322537335,62.378600667516594,63.3787956237793,2098100,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-03,61.84384496043332,61.89335889201276,60.498034616273465,60.70500564575195,3125800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-04,59.229470719785716,59.3978188444935,54.9315956811745,55.24848937988281,6393000,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-07,54.68401929121995,58.16985356652388,52.88168506047625,55.03062057495117,6454100,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-08,56.105091366605315,56.63489837334635,53.72343609952705,54.981109619140625,7888600,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-09,54.46615312869333,58.60558106868768,53.97100628206885,57.991600036621094,6272900,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-10,57.16965610738287,57.793542209877664,55.595088938581284,57.37761688232422,4042100,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-11,57.04091521063953,59.21956209096111,56.44674050585667,58.70460891723633,3068200,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-14,59.29878702102873,60.229661726623156,58.803640177647964,59.70480728149414,2240600,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-15,59.39781784146895,60.04151028104033,59.071022872925454,59.12053680419922,2328200,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-16,59.05121185939798,59.675094143752254,58.338199217083954,58.62538528442383,4063800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-17,59.011599246102804,59.536453676119656,58.65509292470625,59.1601448059082,3661100,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-21,58.80364012543626,59.179949006148675,58.01140593226457,58.54616165161133,1860300,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-22,59.0314110372876,60.16034530777153,58.81354520345005,60.061317443847656,2263600,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-23,60.794135227029855,61.64578849174478,60.00190094973843,60.47724151611328,2339800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-24,60.58616850026092,61.29918116878525,60.20292381316202,61.11102294921875,3774700,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-25,60.66539131431388,61.487336910986066,60.40791661060772,60.873355865478516,1805400,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-28,61.11102424303291,61.74481161617473,60.50694447248501,60.96248245239258,2319500,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-29,60.57626345113989,61.913162204696164,60.39801406166969,61.20014953613281,3340100,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-04-30,60.526747459680266,61.53684744650493,60.09101960911043,61.3883056640625,6048800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-01,60.87335375755149,61.89830756590296,60.61587528509059,61.41801452636719,2851800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-02,62.081506111771496,62.38849849607862,61.20014538823828,62.022090911865234,3181600,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-05,61.73490947946278,62.36869684375777,61.309082885763836,61.804229736328125,2275900,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-06,61.734908642659484,62.23005548651217,61.398208637732836,61.843841552734375,2680800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-07,62.06170103327729,62.21024659136931,61.41801242944294,61.8735466003418,3290700,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-08,64.00267843026941,66.59725061659337,63.20054295951109,66.2110366821289,6172800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-09,66.06249239498932,67.27065192835285,65.92187238076262,67.13201141357422,4289100,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-12,68.45899573455236,68.60754128971384,66.79530213849354,67.30035400390625,3809800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-13,67.42908692378556,67.98365647187673,67.13200337995792,67.24093627929688,3550700,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-14,66.77550164568248,67.15181051571253,66.06248900323311,66.93394470214844,4005500,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-15,66.83492111965809,67.80541229065898,66.62696034487394,67.62715911865234,2931700,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-16,67.59745235429646,68.11042227179315,67.2706536090074,67.94405364990234,3064600,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-19,67.58754306433572,68.41938612164073,67.46375635542668,68.14210510253906,4995300,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-20,68.11239543672633,68.54812705658802,67.72618152106381,68.50851440429688,3265700,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-21,68.13220635833702,68.74618358786711,67.94998664454239,68.2906494140625,2415000,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-22,68.11239832984454,68.31046159971312,67.5083185785925,67.92424011230469,2085000,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-23,67.74599410893241,68.56793211925385,67.27064981935007,68.38967895507812,2541500,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-27,68.75609420519976,69.75133668724281,68.73629165488407,69.7265853881836,4534200,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-28,69.80579928394287,70.02366510207362,69.266091042427,69.637451171875,2441000,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-29,69.5978380625322,69.5978380625322,68.72638235105461,69.03337097167969,3173100,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-05-30,68.94424616742613,70.32075372720497,68.53327339881002,70.11279296875,5450700,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-02,70.17235219649598,70.58927479396714,69.6363056110934,70.4304428100586,3578400,0.17,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-03,70.28155003350948,70.78780996153239,69.67601632490845,70.66869354248047,3467800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-04,71.00620290778832,71.35363843267264,70.71832559473378,70.8572998046875,2776800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-05,71.27423181224572,71.27423181224572,70.60913227802983,70.67861938476562,3278600,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-06,70.89700439470863,71.71099940252272,70.89700439470863,71.11539459228516,2855000,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-09,71.26429870312191,71.77056620712047,70.63891477949511,71.4826889038086,2888400,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-10,71.50254286224909,71.86486794681248,70.88708779918686,71.02606201171875,3491500,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-11,71.40326975840001,71.6117310570793,70.97641826866838,71.54224395751953,8169300,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-12,71.47276378617032,71.99888153005426,70.7778927232154,71.98895263671875,5547200,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-13,71.69115111625194,72.37610083186144,71.40327380930775,71.89961242675781,3344800,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-16,72.29667934343946,73.64672088623047,72.08821804876925,73.64672088623047,3168500,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-17,73.61197502299545,74.08349516848192,73.07592843732291,73.66657257080078,5042500,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-18,73.49782399313445,74.29196124355471,73.49782399313445,73.57723999023438,3721900,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-20,73.53752490142831,74.09342168047732,72.33638646182568,73.18016052246094,14522900,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-23,73.24964816617678,74.41107861972054,72.96177088244337,73.89488983154297,4926900,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
2025-06-24,73.73606717359293,74.00905494039806,72.7533187866211,72.7533187866211,4629400,0.0,0.0,CTVA,44.57143,1.75,52707094528,17400999936,12.282,0.721,80.905,53.4,Basic Materials,Agricultural Inputs,"Corteva, Inc."
