date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,144.69831158687043,147.5116914064795,143.5882622257892,145.45428466796875,8826300,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-05,143.68393995212534,144.85140308407776,141.37773520284827,144.31552124023438,9288300,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-06,144.02843137941264,146.72699789465648,143.03322436915641,146.3633575439453,7314700,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-07,147.32031458623948,150.66959104790246,147.09065925966198,149.60739135742188,8562600,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-10,150.42078344833587,153.46383314756395,149.44470456671985,150.784423828125,11750300,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-11,151.6073807198088,151.99972802885105,147.16719775870934,147.44471740722656,10466300,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-12,147.02365762545003,148.12412826837993,145.66481015441934,146.09542846679688,9710200,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-13,145.70307981404744,147.77962932024082,145.37772505676784,146.9949493408203,9022800,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-14,147.35858735830612,150.46862951578726,146.42077951760606,150.2581024169922,6671500,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-17,150.44948365177189,152.58344690803045,150.009286653678,151.8848876953125,7615200,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-18,152.86097368919775,154.15282862784827,151.98059425348225,153.8848876953125,9289500,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-19,154.03798697081075,157.45424085097676,153.970994442923,156.9853515625,11503900,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-20,156.10497248665388,158.19108593291045,155.4159774067545,157.67434692382812,9545900,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-21,157.4064295235555,157.7891981354724,156.08585298957505,157.6552276611328,21625500,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-24,157.5977988320003,159.26285819724163,157.24373716958652,157.91358947753906,8068000,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-25,158.9279462975301,160.593020337307,157.9997171295821,158.79397583007812,7869200,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-26,160.16238950929886,161.6839289972663,160.04756185046585,160.73655700683594,10076100,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-27,160.047556148958,160.97578529595376,158.7078515046783,159.473388671875,6862700,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-28,159.5212315560566,159.93272163738413,158.18152696921433,158.9375,4923000,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-03-31,159.03319460112394,161.6456257667774,158.97578077796211,160.0858154296875,10675300,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-01,160.08583269594766,161.3394312441549,159.0045048391752,161.2532958984375,6378600,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-02,160.19107564604406,160.7461002612228,158.7078365728847,159.30113220214844,7044900,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-03,153.2245947637104,154.40163661158894,149.090638644592,149.3968505859375,15501000,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-04,145.2246162268055,145.8944831732992,136.60262728490466,137.10980224609375,20374700,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-07,132.75573084190827,139.89448002294344,131.37774062774818,134.1145782470703,17817000,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-08,137.94232848673326,138.26769784742964,129.06196293576758,131.0332489013672,12904400,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-09,129.20550337574008,141.11935370771013,128.1145969150179,139.74136352539062,16846800,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-10,137.0523953929465,137.44474271547847,127.70312519934637,129.167236328125,20991200,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-11,129.19592011584632,131.21505559759441,126.35381911543112,129.7892303466797,17224400,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-14,132.516490837519,132.57390466022957,128.32512116111957,129.49258422851562,9628200,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-15,128.53565754600254,130.74617749041272,128.4686650135366,128.7461700439453,9334800,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-16,129.5691242854808,131.62654537862738,128.99497146543,129.53085327148438,8637200,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
2025-04-17,130.80359223463444,134.20071816425673,130.5739223238788,131.93276977539062,8434400,0.0,0.0,CVX,28.10121,6.62,371939737600,184654004224,24.323,0.658,191.56,132.04,Energy,Oil & Gas Integrated,Chevron Corporation
