date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,32.88358824076658,34.02186825080863,32.20256642489966,33.321388244628906,14139100,0.0,0.0,DVN,10.429256,4.17,26975295488,16037999616,55.951,0.619,46.15,25.89,Energy,Oil & Gas E&P,Devon Energy Corporation
2025-03-05,32.68900854941509,32.94196130060792,31.823139532200706,32.74738311767578,14135300,0.0,0.0,DVN,10.429256,4.17,26975295488,16037999616,55.951,0.619,46.15,25.89,Energy,Oil & Gas E&P,Devon Energy Corporation
2025-03-06,32.5917196513905,33.24355226300872,32.212294255222275,32.95168685913086,8651600,0.0,0.0,DVN,10.429256,4.17,26975295488,16037999616,55.951,0.619,46.15,25.89,Energy,Oil & Gas E&P,Devon Energy Corporation
2025-03-07,33.263011487964,34.25535686108773,33.16572425406308,33.76891326904297,10540900,0.0,0.0,DVN,10.429256,4.17,26975295488,16037999616,55.951,0.619,46.15,25.89,Energy,Oil & Gas E&P,Devon Energy Corporation
2025-03-10,33.75918707098528,34.03159430332247,32.620907100645944,33.282470703125,10579000,0.0,0.0,DVN,10.429256,4.17,26975295488,16037999616,55.951,0.619,46.15,25.89,Energy,Oil & Gas E&P,Devon Energy Corporation
2025-03-11,33.66189419056095,34.226170523749154,33.09762156864273,33.477046966552734,8721900,0.0,0.0,DVN,10.429256,4.17,26975295488,16037999616,55.951,0.619,46.15,25.89,Energy,Oil & Gas E&P,Devon Energy Corporation
2025-03-12,33.60352159391757,34.32345597537422,33.35056886757999,33.80782699584961,7621600,0.0,0.0,DVN,10.429256,4.17,26975295488,16037999616,55.951,0.619,46.15,25.89,Energy,Oil & Gas E&P,Devon Energy Corporation
2025-03-13,33.457590241485626,33.64244118484929,32.513888469109474,32.87385940551758,9821100,0.0,0.0,DVN,10.429256,4.17,26975295488,16037999616,55.951,0.619,46.15,25.89,Energy,Oil & Gas E&P,Devon Energy Corporation
2025-03-14,32.93265170892292,33.88310430572553,32.766075808433264,33.85370635986328,8375800,0.24,0.0,DVN,10.429256,4.17,26975295488,16037999616,55.951,0.619,46.15,25.89,Energy,Oil & Gas E&P,Devon Energy Corporation
2025-03-17,33.93209405175359,34.66697911539417,33.93209405175359,34.40242004394531,7567000,0.0,0.0,DVN,10.429256,4.17,26975295488,16037999616,55.951,0.619,46.15,25.89,Energy,Oil & Gas E&P,Devon Energy Corporation
2025-03-18,34.94133725944599,35.18629896309825,34.11826578566163,34.65718078613281,7292700,0.0,0.0,DVN,10.429256,4.17,26975295488,16037999616,55.951,0.619,46.15,25.89,Energy,Oil & Gas E&P,Devon Energy Corporation
