date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,128.96697397602253,132.78062229427522,128.68817074801356,131.2571563720703,4291000,0.0,0.0,EA,75.83834,2.66,50483679232,7305999872,36.443,0.754,204.89,131.15,Communication Services,Electronic Gaming & Multimedia,Electronic Arts Inc.
2025-03-05,131.03809476875136,133.9356579791232,130.74932451471864,133.47763061523438,5218000,0.0,0.0,EA,75.83834,2.66,50483679232,7305999872,36.443,0.754,204.89,131.15,Communication Services,Electronic Gaming & Multimedia,Electronic Arts Inc.
2025-03-06,133.07934027654863,136.9427784632679,132.80053702530472,136.2059326171875,3676700,0.0,0.0,EA,75.83834,2.66,50483679232,7305999872,36.443,0.754,204.89,131.15,Communication Services,Electronic Gaming & Multimedia,Electronic Arts Inc.
2025-03-07,135.60850989818974,139.82044474806298,135.4193187131231,139.4420623779297,3356800,0.0,0.0,EA,75.83834,2.66,50483679232,7305999872,36.443,0.754,204.89,131.15,Communication Services,Electronic Gaming & Multimedia,Electronic Arts Inc.
2025-03-10,139.15327887956605,142.35953095725512,138.62554315190002,139.8303680419922,5440900,0.0,0.0,EA,75.83834,2.66,50483679232,7305999872,36.443,0.754,204.89,131.15,Communication Services,Electronic Gaming & Multimedia,Electronic Arts Inc.
2025-03-11,140.2984002600543,140.2984002600543,136.31547885941526,137.2913055419922,3837200,0.0,0.0,EA,75.83834,2.66,50483679232,7305999872,36.443,0.754,204.89,131.15,Communication Services,Electronic Gaming & Multimedia,Electronic Arts Inc.
2025-03-12,136.41505062348946,137.56013438703414,135.15046889268797,135.53880310058594,3177500,0.0,0.0,EA,75.83834,2.66,50483679232,7305999872,36.443,0.754,204.89,131.15,Communication Services,Electronic Gaming & Multimedia,Electronic Arts Inc.
2025-03-13,135.21020595508602,137.66966092432557,134.65259943784986,137.13197326660156,3165100,0.0,0.0,EA,75.83834,2.66,50483679232,7305999872,36.443,0.754,204.89,131.15,Communication Services,Electronic Gaming & Multimedia,Electronic Arts Inc.
2025-03-14,137.56013036279958,138.6355208748199,137.28132710342075,138.1177520751953,3065500,0.0,0.0,EA,75.83834,2.66,50483679232,7305999872,36.443,0.754,204.89,131.15,Communication Services,Electronic Gaming & Multimedia,Electronic Arts Inc.
2025-03-17,138.38658010467856,142.75783511166583,138.00821295717228,142.2898406982422,4510500,0.0,0.0,EA,75.83834,2.66,50483679232,7305999872,36.443,0.754,204.89,131.15,Communication Services,Electronic Gaming & Multimedia,Electronic Arts Inc.
