date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,101.41451571196278,102.44027082580145,98.81141182918445,98.8501205444336,3592000,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-05,97.756622102694,98.37595417933933,96.45991333239967,96.9631118774414,5509700,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-06,97.00181526946032,98.31788201709696,95.7728449742795,97.65017700195312,4345900,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-07,98.0469307667277,100.71777304053431,97.52437418818297,100.29198455810547,2865800,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-10,100.91131116324236,104.48211082680926,100.64035753576145,103.21443176269531,3471800,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-11,102.79831589795612,103.21442533795259,100.35003961248297,100.41777801513672,2731300,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-12,99.10172153495168,100.05005919946785,98.6275453197612,99.32428741455078,3739200,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-13,100.12748405015218,101.94674946800426,100.01135789810219,101.19194793701172,2392100,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-14,100.51456312917617,103.26281559517439,100.44682472002643,102.9725112915039,3779200,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-17,102.9725064083751,104.9272485389509,102.53703889912065,104.14341735839844,3930600,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-18,103.75634117925381,104.52082172010601,103.09830776326284,104.32727813720703,3275700,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-19,103.93051957345529,104.4724268024835,103.35957527178718,104.01760864257812,2293600,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-20,104.29824788117962,105.1111161590916,103.57247606083413,104.97563934326172,1896200,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-21,104.72403450516134,105.82720706171983,103.9014946000688,104.3176040649414,4415400,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-24,103.75633751222679,104.80145067414584,103.359578718506,103.37893676757812,1897800,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-25,103.32087191929487,103.32087191929487,101.2306529396279,102.14028930664062,2543800,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-26,102.44994618074028,104.29824112435576,101.86932285573262,103.98857879638672,1925000,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-27,104.51114072637155,104.88854147724884,103.77568989107594,104.40469360351562,1859100,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-28,105.36271085630155,105.90462549800297,104.62726740023902,105.25626373291016,2392300,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-03-31,106.06913359639402,107.52067724668724,105.53689797144673,107.01747131347656,2920400,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-01,106.63039043087484,107.10455925169707,105.60462797920371,106.50458526611328,2507600,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-02,106.72715550268234,107.25938368729616,105.52721494840773,106.04009246826172,2015200,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-03,108.79803403210428,109.78508045373329,107.79162956093259,109.07866668701172,4175500,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-04,110.3173142800394,111.15921223108491,104.62726599081941,105.78849792480469,6395600,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-07,103.58215286884527,105.78849797420719,101.81126789319804,101.99513244628906,4405500,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-08,103.37893170133057,104.77240846600058,101.44354033318628,102.62413024902344,2683000,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-09,101.76288470969044,105.1982000606355,99.94361204440965,102.3531723022461,4912800,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-10,103.04023916655143,105.95299784514313,102.15963255469897,104.80144500732422,3381900,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-11,104.68532358050246,107.06585417247213,103.50473361749981,106.29169464111328,2617200,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-14,105.74978297449366,108.81737651530744,105.38206127309603,108.62384033203125,2132900,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-15,108.78835407818583,109.23349323574078,107.9754931947201,108.19805908203125,2314400,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-16,108.99156446383621,109.33026386652045,107.4722825041499,107.84001159667969,2132900,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
2025-04-17,107.86904544203499,109.74637754231348,107.80130703547508,108.47869110107422,2055200,0.0,0.0,ED,19.945036,5.64,40642936832,16917999616,117.317,0.345,115.25,94.96,Utilities,Utilities - Regulated Electric,"Consolidated Edison, Inc."
