date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,889.1126163473144,896.814035349222,875.3810457995156,889.4155883789062,689600,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-05,883.9913231190926,906.069386939442,883.9913231190926,900.146728515625,486900,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-06,889.4742979237947,893.7746041885279,850.5860837498642,852.1400756835938,893500,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-07,853.3421285906048,855.5215706774381,827.2570056787025,840.0405883789062,1003800,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-10,836.9033005488401,839.7571073968545,803.4392969524699,811.8052978515625,915000,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-11,813.2225127093831,825.0482654586597,807.2802875945299,817.2882080078125,1092100,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-12,827.7261047113052,837.0596596579632,824.6279636127696,835.6132202148438,717200,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-13,830.0619279905926,832.5150529406332,810.4663367795386,815.050048828125,597300,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-14,816.4379108169132,823.5626752510377,810.4175418376517,818.695556640625,695300,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-17,816.0372043951811,840.6269734945614,815.3139250126898,837.822021484375,902500,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-18,844.1258379792448,844.1258379792448,817.4836262604672,822.1943969726562,691900,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-19,827.1396815589072,844.1453059608027,823.826495515186,835.9454956054688,1079500,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-20,832.9841694279971,836.3853421643864,826.9442349684919,832.4172973632812,532800,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-21,826.826985496408,829.4169520422369,812.9292839475758,815.6755981445312,1624900,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-24,828.2049996915266,838.9068502053863,824.64753886772,833.1210327148438,745800,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-25,828.9574978241595,837.8805873430509,819.0179995349796,822.1552124023438,581000,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-26,827.8825594813095,832.1046620553251,807.1532223193929,812.2158203125,764100,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-27,814.5614324955266,814.5614324955266,801.914690914402,806.6058959960938,799600,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-28,804.8173538609727,807.2704789710521,779.2600302716455,784.801513671875,896500,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-03-31,788.7108431408041,801.3185124495428,777.1000765142367,796.87158203125,1083800,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-01,797.9759844240019,801.2598816257592,782.6806982783298,798.4353637695312,871800,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-02,788.1928422067676,814.8644037453232,788.1928422067676,812.7044677734375,431100,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-03,792.1803182179965,795.6498518702779,771.0991566321567,783.2767944335938,1222700,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-04,772.7508966238188,774.4514531680056,747.7799524846789,748.8452758789062,820500,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-07,733.6085580520871,762.4497771151143,709.4781096132406,730.7938232421875,927900,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-08,762.6257569534604,762.6257569534604,713.6416361113091,723.2977294921875,812900,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-09,712.302603452032,780.4718442679987,685.5137687456665,779.357666015625,753200,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-10,758.4720221306172,763.8864467243051,733.5792815647072,753.2725830078125,696100,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-11,739.0035073630166,765.6945746136498,732.6508177753707,759.224609375,513900,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-14,765.2351364141167,775.4483177421876,758.2178654598652,766.10498046875,621200,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-15,770.5518603984593,778.2532791270762,763.603010091761,769.6429443359375,352500,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-16,762.4888761757805,770.9135150795076,756.2534622792529,761.0326538085938,405400,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-17,776.406141694808,783.7850826427025,769.9655252506352,772.2427368164062,479700,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-21,766.02678206087,766.7402784817041,741.8376964799044,755.6768188476562,493800,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-22,764.5217013033002,778.3510406941884,764.5217013033002,773.190673828125,556900,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-23,787.0786455967135,807.3095288694128,781.9280616784417,791.1150512695312,640100,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-24,791.251908759842,804.6610016804584,784.2737688199578,798.669921875,490900,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
2025-04-25,808.25748206851,825.2826713365141,806.3028085931327,819.1058959960938,605300,0.0,0.0,EQIX,70.424416,13.76,95212953600,9260000256,160.291,1.031,992.9,701.41,Real Estate,REIT - Specialty,"Equinix, Inc."
