date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,94.85973893570863,98.53876337292265,93.79335600559135,97.62264251708984,4372200,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-05,97.27364482719078,98.91200144710585,95.88735217494656,98.53392028808594,3790200,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-06,97.72928492375151,98.16553754402649,93.1923035296003,93.29894256591797,5440100,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-07,92.8239252826205,93.6382517296809,90.2452100744415,93.09536743164062,4141000,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-10,94.57860127147418,96.38176097312838,93.4443577999881,96.06184387207031,5333900,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-11,95.99847518446586,98.8750211470747,95.90096679102787,97.80241394042969,4420000,0.575,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-12,99.17729316564294,99.61609206765739,97.18809081898475,98.30945587158203,3511100,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-13,97.89990853715499,99.08464985732131,96.9540616313331,98.66048431396484,2462900,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-14,98.63123769074328,100.63993868707523,98.05592557351217,100.04512786865234,3644800,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-17,99.94761701928076,103.12644087288075,99.41130975707074,102.94116973876953,4954400,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-18,103.96502882205591,106.12974174420576,103.41896847681203,104.33556365966797,4952600,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-19,104.36482004459884,106.28576580962945,103.77976227114408,105.85671997070312,5783600,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-20,105.64218999488702,106.90006821547226,105.20339855395825,106.52953338623047,6788500,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-21,106.32476863398598,106.85132285191986,104.40382290543452,104.67684936523438,53145100,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-24,105.33991491712224,106.67580285928551,104.68660055158647,106.38327026367188,5712500,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-25,106.48077361754939,107.35836392350866,106.07123395457258,107.0755844116211,4518400,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-26,107.26086560662914,108.40172939171319,106.67580782756656,107.20236206054688,4182900,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-27,107.24135798215464,107.7679047319141,106.44177734809605,106.90982055664062,2805200,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-28,106.99759110009089,108.40660852246015,106.81231995353423,108.17745971679688,3031200,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-03-31,108.1774540572867,109.43533229509384,107.16335049875815,108.54798889160156,3077200,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-04-01,108.62599613620797,110.01063449797176,107.93367695532609,109.93262481689453,3140600,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-04-02,109.51821370505337,111.18563160202062,109.07454200771592,111.03449249267578,3048400,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-04-03,107.83616231854643,109.85462378167021,107.65089862321923,107.79716491699219,4792100,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-04-04,104.23806038717335,104.33556877665205,95.81320757830515,97.5196304321289,10622600,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-04-07,95.63768335224364,102.4828730295426,94.39443100794132,97.56837463378906,7631500,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-04-08,102.3853712294249,102.95093030357997,96.08623404461083,97.5196304321289,6351800,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
2025-04-09,95.54992680042521,101.6247954370078,92.97566663170097,101.21525573730469,8978600,0.0,0.0,EXE,13.98679,7.57,25453367296,11639000064,27.495,0.473,126.621,91.015,Energy,Oil & Gas E&P,Expand Energy Corporation
