date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,250.15073427928613,252.06156547552163,241.0081973785272,245.2218017578125,13465600,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-05,246.20171662136084,247.96555280550595,242.85043534758472,246.47608947753906,7861400,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-06,243.12479583514724,244.3496799351284,238.95039620520294,241.58633422851562,9983200,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-07,240.30266509821263,241.7627323707991,234.6094060276731,237.4119415283203,20498700,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-10,231.46392822638103,232.73779585541584,224.1048142516893,227.55409240722656,18887200,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-11,227.09352369484046,228.63198537977485,222.13519499810542,224.5359649658203,18143000,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-12,229.29831783730396,229.6118953635389,222.69373697492486,223.3208770751953,16054000,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-13,224.69274861160986,224.88872708268002,219.72461138527686,220.6653289794922,16467900,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-14,223.53646161747008,228.45560073894006,223.00731822336598,227.76966857910156,11962100,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-17,226.53496075554793,230.9347498826832,225.82944126080733,229.22970581054688,9586000,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-18,229.6118912936414,231.42471087138168,228.82796244414868,230.2488250732422,10344900,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-19,231.00335075055796,237.46093622614148,230.1704235702104,234.30563354492188,10120600,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-20,231.8068565717067,236.90237127915813,231.45408936376478,234.20762634277344,8328500,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-21,233.03174101977692,237.4315299605366,231.74806491303318,236.77499389648438,19326900,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-24,240.54765810241156,243.69316735348227,239.49916498685462,243.07582092285156,9422700,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-25,244.30069841338116,246.76027542501896,242.64465260375079,246.08413696289062,9287700,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-26,247.52459140779072,249.55299175550442,244.7612456285821,245.9861297607422,12779300,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-27,244.51625533302644,245.60395298055695,242.21346731053447,243.13458251953125,8022500,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-28,241.97832221404934,244.49667631604888,236.2654605973164,237.9705047607422,11978400,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-03-31,234.59962314020567,240.92002258119433,232.5908100746605,240.37127685546875,13603000,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-04-01,237.74510920532492,240.7534318549276,236.04008003784892,238.76422119140625,8054700,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-04-02,236.74561869740594,242.28208917285224,236.6084322682575,240.88082885742188,7758800,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-04-03,229.56290134081743,230.41541595904243,222.73294584761328,224.0950164794922,17188500,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-04-04,212.28342010564901,214.63982366441508,205.99309790894932,207.32412719726562,27170700,1.4,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-04-07,202.87751892186455,218.92867162545016,199.318263676067,211.42564392089844,22914400,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-04-08,220.3780027140348,224.63726902095286,210.25236301213724,213.82147216796875,19485700,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-04-09,209.51290511747,234.14175911605213,208.03399049311142,231.0458984375,24022400,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-04-10,226.76690105221883,227.11198713675623,217.0060708942117,223.9175262451172,18896400,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
2025-04-11,223.12878393710992,235.22631016994242,221.83720086361387,232.8797607421875,20284500,0.0,0.0,JPM,14.920868,20.03,806048563200,168235008000,,1.059,337.25,202.16,Financial Services,Banks - Diversified,JPMorgan Chase & Co.
