date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,70.00463327307857,70.56801353744137,67.8773914467018,68.17851257324219,25411900,0.0,0.0,KO,25.69079,3.04,335955656704,47941001216,139.793,0.332,82.0,65.35,Consumer Defensive,Beverages - Non-Alcoholic,The Coca-Cola Company
2025-03-05,67.89682101104853,68.71274489886963,67.83853543995214,68.07166290283203,23933600,0.0,0.0,KO,25.69079,3.04,335955656704,47941001216,139.793,0.332,82.0,65.35,Consumer Defensive,Beverages - Non-Alcoholic,The Coca-Cola Company
2025-03-06,68.39220272095953,68.508759033321,67.45970775755394,68.44076538085938,21694000,0.0,0.0,KO,25.69079,3.04,335955656704,47941001216,139.793,0.332,82.0,65.35,Consumer Defensive,Beverages - Non-Alcoholic,The Coca-Cola Company
2025-03-07,67.65398481005975,69.76179557737375,67.65398481005975,69.38297271728516,28393300,0.0,0.0,KO,25.69079,3.04,335955656704,47941001216,139.793,0.332,82.0,65.35,Consumer Defensive,Beverages - Non-Alcoholic,The Coca-Cola Company
2025-03-10,69.89778375227331,71.1216769980508,69.27612533775999,69.40239715576172,25251200,0.0,0.0,KO,25.69079,3.04,335955656704,47941001216,139.793,0.332,82.0,65.35,Consumer Defensive,Beverages - Non-Alcoholic,The Coca-Cola Company
2025-03-11,69.82007427689159,69.97549258518207,68.58647295053534,69.004150390625,28076400,0.0,0.0,KO,25.69079,3.04,335955656704,47941001216,139.793,0.332,82.0,65.35,Consumer Defensive,Beverages - Non-Alcoholic,The Coca-Cola Company
2025-03-12,68.3533616979587,68.70304552587416,67.74141129372975,67.93568420410156,18923300,0.0,0.0,KO,25.69079,3.04,335955656704,47941001216,139.793,0.332,82.0,65.35,Consumer Defensive,Beverages - Non-Alcoholic,The Coca-Cola Company
2025-03-13,68.23679803573235,68.23679803573235,67.2945947988422,67.6248550415039,15746600,0.0,0.0,KO,25.69079,3.04,335955656704,47941001216,139.793,0.332,82.0,65.35,Consumer Defensive,Beverages - Non-Alcoholic,The Coca-Cola Company
2025-03-14,67.03774154254269,67.77162425439738,66.91053042793898,67.67377471923828,14205100,0.51,0.0,KO,25.69079,3.04,335955656704,47941001216,139.793,0.332,82.0,65.35,Consumer Defensive,Beverages - Non-Alcoholic,The Coca-Cola Company
2025-03-17,67.75204255795373,68.66205732108459,67.59548481167927,68.6131362915039,15634800,0.0,0.0,KO,25.69079,3.04,335955656704,47941001216,139.793,0.332,82.0,65.35,Consumer Defensive,Beverages - Non-Alcoholic,The Coca-Cola Company
