date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,147.77674297351388,148.3069652263529,142.98504046669078,143.220703125,6787400,0.0,0.0,MMM,26.815,6.0,84740759552,24948000768,276.638,1.131,177.41,121.98,Industrials,Conglomerates,3M Company
2025-03-05,144.10440047327475,146.34314311069747,143.35815792169527,144.93902587890625,3909700,0.0,0.0,MMM,26.815,6.0,84740759552,24948000768,276.638,1.131,177.41,121.98,Industrials,Conglomerates,3M Company
2025-03-06,143.7411075684126,145.44962808077904,143.11268881375224,144.28115844726562,4492400,0.0,0.0,MMM,26.815,6.0,84740759552,24948000768,276.638,1.131,177.41,121.98,Industrials,Conglomerates,3M Company
2025-03-07,142.0718724332343,144.55609150686422,138.2326193257389,143.65274047851562,5891100,0.0,0.0,MMM,26.815,6.0,84740759552,24948000768,276.638,1.131,177.41,121.98,Industrials,Conglomerates,3M Company
2025-03-10,140.87396645277377,146.48063779761392,140.53029357575832,144.94886779785156,4966500,0.0,0.0,MMM,26.815,6.0,84740759552,24948000768,276.638,1.131,177.41,121.98,Industrials,Conglomerates,3M Company
2025-03-11,143.09305411040665,146.78502759988754,142.99487257074784,144.87030029296875,5818300,0.0,0.0,MMM,26.815,6.0,84740759552,24948000768,276.638,1.131,177.41,121.98,Industrials,Conglomerates,3M Company
2025-03-12,145.62638394912,148.50337449242528,144.5364683822146,147.52146911621094,4196600,0.0,0.0,MMM,26.815,6.0,84740759552,24948000768,276.638,1.131,177.41,121.98,Industrials,Conglomerates,3M Company
2025-03-13,147.5607322216827,148.50336793359816,143.2698107115995,143.4563751220703,3295000,0.0,0.0,MMM,26.815,6.0,84740759552,24948000768,276.638,1.131,177.41,121.98,Industrials,Conglomerates,3M Company
2025-03-14,145.24342032605333,148.06148355144146,144.39898122602514,147.68836975097656,4094400,0.0,0.0,MMM,26.815,6.0,84740759552,24948000768,276.638,1.131,177.41,121.98,Industrials,Conglomerates,3M Company
2025-03-17,147.64909125802507,151.193769896499,147.2857911011017,150.43771362304688,4562100,0.0,0.0,MMM,26.815,6.0,84740759552,24948000768,276.638,1.131,177.41,121.98,Industrials,Conglomerates,3M Company
2025-03-18,149.80930070428744,150.43771950491487,147.7767495159338,148.18914794921875,3038500,0.0,0.0,MMM,26.815,6.0,84740759552,24948000768,276.638,1.131,177.41,121.98,Industrials,Conglomerates,3M Company
