date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,53.953085574313576,54.671589566171996,52.49741473319541,52.53474044799805,16801900,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-05,52.39477396935571,52.81467579926364,52.058849657768526,52.20814895629883,7413200,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-06,52.34811377374062,53.393212397620694,51.81623481318379,53.1972541809082,9487700,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-07,53.04795057422218,54.63425767833941,53.001295215778434,53.925086975097656,12645200,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-10,54.121046115543486,55.679357286480766,54.11171646690941,55.044837951660156,16149900,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-11,54.86753597248263,54.96085024544632,53.9997328115858,54.261009216308594,12040100,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-12,53.990403831391816,54.186358467674225,53.47718778226265,53.943748474121094,8390400,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-13,54.23302334942709,54.93286451012189,54.13037940965966,54.6342658996582,8911700,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-14,54.26101735781642,55.156813155222835,54.26101735781642,54.97018814086914,8370800,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-17,55.12881954495465,55.35276671003362,54.77423238074094,54.96085739135742,8567800,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-18,54.9608580397964,55.28744914254642,54.40098300134144,54.43830871582031,8524400,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-19,54.38231481199838,54.49429194445581,53.73846231845879,54.07438659667969,8505000,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-20,54.10238079106518,54.31699829561993,53.88776328651043,54.20502471923828,7209400,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-21,54.24235190327455,54.24235190327455,53.2532418662623,53.74779510498047,33837100,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-24,53.71980505252791,53.999740793647064,53.55184289594121,53.794456481933594,11954800,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-25,53.67096113286891,53.946441272085984,53.414479998807124,53.870445251464844,10378300,1.02,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-26,53.841952257605215,55.0293629837809,53.841952257605215,54.858375549316406,9357600,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-27,54.96286163680173,55.55181627124138,54.96286163680173,55.380828857421875,8520100,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
2025-03-28,55.570815802017286,55.627812815060416,54.867867135910245,55.23834228515625,10396600,0.0,0.0,MO,16.533981,4.12,114351112192,20138999808,,0.434,70.51,52.82,Consumer Defensive,Tobacco,"Altria Group, Inc."
