date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,pe_ratio,eps,market_cap,revenue_ttm,debt_to_equity,beta,52w_high,52w_low,sector,industry,long_name
2025-03-04,175.42987397280993,175.92066927488742,172.05319989805534,172.58326721191406,322100,0.0,0.0,TRI,31.860182,3.29,46644899840,7475999744,19.582,0.167,218.42,79.71,Industrials,Specialty Business Services,Thomson Reuters Corporation
2025-03-05,172.96607407347685,174.0850866798031,171.79797894501957,172.7599334716797,360300,0.0,0.0,TRI,31.860182,3.29,46644899840,7475999744,19.582,0.167,218.42,79.71,Industrials,Specialty Business Services,Thomson Reuters Corporation
2025-03-06,171.5722029160058,175.21391038886642,170.4041227615017,171.85687255859375,514700,0.0,0.0,TRI,31.860182,3.29,46644899840,7475999744,19.582,0.167,218.42,79.71,Industrials,Specialty Business Services,Thomson Reuters Corporation
2025-03-07,171.11088003916706,175.09613546607713,171.11088003916706,174.38938903808594,324300,0.0,0.0,TRI,31.860182,3.29,46644899840,7475999744,19.582,0.167,218.42,79.71,Industrials,Specialty Business Services,Thomson Reuters Corporation
2025-03-10,174.06545620651144,174.32066436066634,169.41271154926483,170.5415496826172,515500,0.0,0.0,TRI,31.860182,3.29,46644899840,7475999744,19.582,0.167,218.42,79.71,Industrials,Specialty Business Services,Thomson Reuters Corporation
2025-03-11,169.9034869930113,169.98201602617092,167.85196655206653,168.52926635742188,558900,0.0,0.0,TRI,31.860182,3.29,46644899840,7475999744,19.582,0.167,218.42,79.71,Industrials,Specialty Business Services,Thomson Reuters Corporation
2025-03-12,169.21640213030025,169.58941134944953,167.09616284968934,167.8716278076172,477100,0.0,0.0,TRI,31.860182,3.29,46644899840,7475999744,19.582,0.167,218.42,79.71,Industrials,Specialty Business Services,Thomson Reuters Corporation
2025-03-13,167.13544165686895,168.81395325552157,166.1931080567652,166.88021850585938,413200,0.0,0.0,TRI,31.860182,3.29,46644899840,7475999744,19.582,0.167,218.42,79.71,Industrials,Specialty Business Services,Thomson Reuters Corporation
2025-03-14,167.70475077268188,169.1476900735104,167.36118809043393,169.0004425048828,344000,0.0,0.0,TRI,31.860182,3.29,46644899840,7475999744,19.582,0.167,218.42,79.71,Industrials,Specialty Business Services,Thomson Reuters Corporation
2025-03-17,168.4213279012374,170.95383361132423,168.34279885078297,170.71824645996094,348700,0.0,0.0,TRI,31.860182,3.29,46644899840,7475999744,19.582,0.167,218.42,79.71,Industrials,Specialty Business Services,Thomson Reuters Corporation
