ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
ABNB,133.04,-5.93,32.47,-0.182,-26.85,-0.0235,-0.538,1.83,33.6,1.16,81258.0,2.680610122486711,3.343627883664917,5.273684210526316,5.0,3.86,MODERATE,Consumer Discretionary,2026-03-04,Consumer Discretionary_batch1
AMZN,208.73,2.42,31.6,0.091,-21.74,0.0114,-0.061,1.62,30.2,1.42,2327546.0,2.499653339496187,2.585804641708549,1.3622200956937789,5.0,2.8,LOW,Consumer Discretionary,2026-03-04,Consumer Discretionary_batch1
APTV,71.4,13.69,36.64,0.555,-27.3,0.0806,0.072,1.087,97.9,1.53,15858.0,3.547954703027502,6.473735503362246,10.0,5.0,6.01,HIGH,Consumer Discretionary,2026-03-04,Consumer Discretionary_batch1
AZO,3637.17,4.71,24.39,0.488,-23.54,0.0472,-0.377,0.749,25.9,0.36,61824.0,1.0,1.8271889400921655,4.823803827751196,5.0,2.81,LOW,Consumer Discretionary,2026-03-04,Consumer Discretionary_batch1
BBY,65.95,-7.59,37.72,0.11,-25.71,0.0165,0.003,1.829,22.2,,14159.0,3.772590709498498,2.5406718921853892,5.273684210526316,5.0,3.95,MODERATE,Consumer Discretionary,2026-03-04,Consumer Discretionary_batch1
BKNG,4153.87,-14.57,29.39,-0.421,-30.67,-0.0491,-0.267,1.239,25.7,1.23,137109.0,2.039981511439797,3.6782851852367493,5.273684210526316,5.0,3.77,MODERATE,Consumer Discretionary,2026-03-04,Consumer Discretionary_batch1
CCL,28.53,30.82,46.2,0.791,-23.79,0.145,0.174,2.149,13.9,2.46,38798.0,5.536399352900394,3.066216743007504,6.201754385964913,5.0,4.82,MODERATE,Consumer Discretionary,2026-03-04,Consumer Discretionary_batch1
CVNA,318.99,48.31,67.66,0.879,-32.84,0.2361,-0.312,1.854,37.5,3.67,69306.0,10.0,6.524331797235023,1.0,5.0,6.16,HIGH,Consumer Discretionary,2026-03-04,Consumer Discretionary_batch1
CMG,36.93,-30.54,33.18,-0.471,-38.34,-0.062,0.097,1.598,32.2,1.02,48541.0,2.8282874971111625,5.022654294346138,5.273684210526316,5.0,4.41,MODERATE,Consumer Discretionary,2026-03-04,Consumer Discretionary_batch1
DRI,210.6,12.56,25.18,0.681,-21.6,0.068,0.063,1.563,21.3,0.6,23659.0,1.1643170788074877,1.5129132498921019,4.642296650717704,5.0,2.73,LOW,Consumer Discretionary,2026-03-04,Consumer Discretionary_batch1
