ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
MO,68.89,31.13,19.49,1.813,-12.82,0.1402,-0.19,1.202,16.5,0.43,114351.0,2.6336633663366324,3.465733064931661,2.985082724698355,5.0,3.43,LOW,Consumer Staples,2026-03-04,Consumer Staples_batch1
ADM,67.99,53.62,26.86,1.907,-14.01,0.2032,0.22,1.062,30.1,0.68,32346.0,6.282178217821783,6.522255698385419,6.275541239044124,5.0,6.1,HIGH,Consumer Staples,2026-03-04,Consumer Staples_batch1
BF-B,28.13,-11.32,34.37,0.077,-23.92,0.0105,-0.11,1.478,15.4,0.4,12164.0,10.0,4.234428828632954,3.454529637353529,5.0,5.96,MODERATE,Consumer Staples,2026-03-04,Consumer Staples_batch1
BG,116.62,67.67,29.95,1.686,-15.39,0.2004,0.503,1.244,23.3,0.74,22255.0,7.811881188118812,5.803397140159582,3.8421521944313053,5.0,5.85,MODERATE,Consumer Staples,2026-03-04,Consumer Staples_batch1
CPB,26.05,-32.13,27.91,-1.329,-36.53,-0.1473,0.06,0.947,12.9,-0.06,7480.0,6.801980198019803,3.477029840388619,10.0,5.0,6.08,HIGH,Consumer Staples,2026-03-04,Consumer Staples_batch1
CHD,103.02,-5.74,21.1,-0.19,-27.13,-0.0159,-0.167,1.124,33.9,0.43,24606.0,3.430693069306931,7.494776587997724,3.454529637353529,5.0,4.97,MODERATE,Consumer Staples,2026-03-04,Consumer Staples_batch1
CLX,121.15,-16.35,22.8,-0.671,-33.58,-0.0607,-0.269,0.196,19.2,0.57,14324.0,4.272277227722773,6.300299822339636,4.898943741104203,5.0,5.15,MODERATE,Consumer Staples,2026-03-04,Consumer Staples_batch1
KO,79.34,16.37,16.19,1.043,-10.09,0.067,0.304,0.417,25.7,0.33,335956.0,1.0,4.293932403433476,1.0,5.0,2.79,LOW,Consumer Staples,2026-03-04,Consumer Staples_batch1
CL,95.51,7.47,21.02,0.357,-21.31,0.0297,0.02,0.52,36.2,0.26,76371.0,3.3910891089108905,6.731145038167939,3.499088760459781,5.0,4.74,MODERATE,Consumer Staples,2026-03-04,Consumer Staples_batch1
CAG,18.96,-19.96,26.18,-0.745,-38.91,-0.0774,0.071,0.5,,-0.06,9017.0,5.945544554455446,5.306866952789699,3.1918495767473214,5.0,5.01,MODERATE,Consumer Staples,2026-03-04,Consumer Staples_batch1
