ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
ABT,113.61,-15.87,20.12,-0.197,-16.8,-0.0158,-0.207,1.812,30.4,0.74,196532.0,1.0,2.325929549902152,7.284770608994661,5.0,3.45,LOW,Health Care,2026-03-04,Health Care_batch1
ABBV,233.86,16.34,25.77,0.863,-18.03,0.0883,-0.339,1.337,100.1,0.33,417624.0,3.1555743959304783,4.671392971820621,5.835942448647181,5.0,4.52,MODERATE,Health Care,2026-03-04,Health Care_batch1
A,119.04,-2.49,30.54,-0.084,-24.69,-0.0101,0.043,1.298,26.4,1.31,34173.0,4.975413310724883,3.9757202836088346,5.40769654741241,5.0,4.77,MODERATE,Health Care,2026-03-04,Health Care_batch1
ALGN,182.64,7.51,39.33,1.185,-17.15,0.185,0.167,2.638,32.2,1.82,13204.0,8.328952946163628,4.175456235995288,7.284770608994661,5.0,6.21,HIGH,Health Care,2026-03-04,Health Care_batch1
AMGN,377.0,24.55,27.67,0.785,-19.88,0.0862,0.126,1.289,26.7,0.42,204452.0,3.88045782111064,2.0101792603201734,1.0,5.0,2.97,LOW,Health Care,2026-03-04,Health Care_batch1
BAX,19.03,-44.55,38.19,-0.602,-40.52,-0.0912,-0.566,2.85,,0.55,9791.0,7.89402289105553,4.72057240704501,10.0,5.0,6.78,HIGH,Health Care,2026-03-04,Health Care_batch1
BDX,174.21,0.94,24.96,0.639,-17.7,0.0633,0.354,2.967,28.0,0.31,62130.0,2.8465451462484106,1.6386731782735964,7.284770608994661,5.0,3.8,MODERATE,Health Care,2026-03-04,Health Care_batch1
TECH,56.99,-4.65,43.71,0.081,-28.54,0.014,-0.035,0.915,109.2,1.48,9051.0,10.0,8.08991206938087,6.199813404310422,5.0,7.67,HIGH,Health Care,2026-03-04,Health Care_batch1
BIIB,184.02,29.0,33.22,0.788,-24.77,0.1038,0.264,0.801,21.6,0.14,27875.0,5.997880457821109,1.90720910623946,7.284770608994661,5.0,4.83,MODERATE,Health Care,2026-03-04,Health Care_batch1
BSX,73.85,-28.72,24.44,-0.634,-22.41,-0.0614,-0.292,2.361,37.2,0.7,107151.0,2.6481559983043663,3.1796709325694748,7.284770608994661,5.0,4.21,MODERATE,Health Care,2026-03-04,Health Care_batch1
