ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
MMM,158.48,10.65,27.8,0.451,-17.03,0.0497,0.132,1.937,26.8,1.13,84741.0,3.3512054695933795,2.451510919486539,7.6525323714526055,5.0,4.27,MODERATE,Industrials,2026-03-04,Industrials_batch1
AOS,75.63,17.05,25.04,0.81,-14.41,0.0805,0.191,0.705,19.1,1.3,10144.0,2.4573587621446564,2.850323399625219,2.8022702908413724,5.0,3.15,LOW,Industrials,2026-03-04,Industrials_batch1
ALLE,158.36,28.92,23.74,1.163,-12.25,0.1095,0.362,1.958,21.1,1.01,13494.0,2.0363440086362,1.6289693705120436,4.454465560392917,5.0,2.99,LOW,Industrials,2026-03-04,Industrials_batch1
AME,235.25,29.18,20.91,1.281,-14.98,0.1062,0.309,1.562,36.6,1.01,54040.0,1.119827275998561,1.9637401071952751,1.0,5.0,2.13,LOW,Industrials,2026-03-04,Industrials_batch1
ADP,216.27,-29.47,20.54,-1.472,-34.01,-0.12,-0.557,1.913,20.9,0.85,87830.0,1.0,2.4193251687567345,7.13687732109488,5.0,3.45,LOW,Industrials,2026-03-04,Industrials_batch1
AXON,579.09,9.62,48.33,0.098,-54.19,0.0187,-0.191,2.602,370.0,1.52,45811.0,10.0,9.847887323943661,7.269371661604593,5.0,8.41,HIGH,Industrials,2026-03-04,Industrials_batch1
BA,224.12,41.04,31.91,1.143,-24.54,0.1447,0.075,2.443,91.7,1.1,178517.0,4.682259805685499,3.486733528297207,5.681204794581269,5.0,4.59,MODERATE,Industrials,2026-03-04,Industrials_batch1
BR,187.51,-21.24,22.7,-0.89,-34.91,-0.0801,-0.596,2.843,20.9,0.98,22035.0,1.699532205829435,2.9716312801029234,10.0,5.0,4.4,MODERATE,Industrials,2026-03-04,Industrials_batch1
BLDR,97.45,-25.26,47.94,-0.439,-36.43,-0.0835,0.605,0.756,24.7,1.56,10617.0,9.873695573947463,5.314104626117757,8.591792681291052,5.0,7.27,HIGH,Industrials,2026-03-04,Industrials_batch1
CHRW,193.32,100.88,30.72,2.092,-15.08,0.255,0.325,4.679,39.4,0.9,22523.0,4.296869377473912,1.5805941490820568,8.591792681291052,5.0,4.48,MODERATE,Industrials,2026-03-04,Industrials_batch1
