ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
ACN,209.89,-38.69,32.02,-1.309,-42.1,-0.1664,-0.313,1.546,17.4,1.25,130229.0,1.7139165009940363,4.149072155524407,8.301667536606137,5.0,4.42,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
ADBE,270.99,-39.24,30.38,-1.231,-40.81,-0.1484,-0.42,1.533,16.4,1.53,114328.0,1.420477137176938,4.4021561338289965,7.925853685338315,5.0,4.33,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
AMD,190.95,89.53,56.23,1.198,-32.29,0.2673,0.288,1.714,77.4,2.02,329457.0,6.04572564612326,8.024516728624535,4.8238492155192905,5.0,6.19,HIGH,Information Technology,2026-03-04,Information Technology_batch1
AKAM,102.08,24.22,36.21,0.747,-22.06,0.1074,0.204,2.379,33.5,0.7,14921.0,2.4636182902584496,2.598027911511975,0.9999999999999982,5.0,2.72,LOW,Information Technology,2026-03-04,Information Technology_batch1
APH,129.58,107.1,37.35,2.384,-15.02,0.3533,-0.12,2.376,39.6,1.21,163178.0,2.6675944333996027,3.1341803278688523,6.240130765638307,5.0,3.99,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
ADI,338.99,52.16,32.74,1.373,-25.69,0.1785,0.075,2.553,62.5,1.02,166727.0,1.8427435387673958,5.093127856664026,6.002692233729843,5.0,4.28,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
AAPL,263.75,12.28,28.03,0.427,-24.36,0.0475,-0.124,2.414,33.2,1.12,3858499.0,1.0,3.4027021756353224,10.0,5.0,4.32,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
AMAT,351.32,131.87,44.28,2.143,-18.45,0.3764,-0.114,1.124,36.6,1.63,283922.0,3.907554671968191,3.8740270583216523,6.606549270624433,5.0,4.66,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
APP,438.89,34.12,78.33,1.012,-47.3,0.3145,-0.576,1.779,48.1,2.5,163168.0,10.0,8.270819672131147,7.068543171890882,5.0,7.89,HIGH,Information Technology,2026-03-04,Information Technology_batch1
ANET,124.6,45.7,50.62,0.904,-27.53,0.1816,-0.116,1.037,49.0,1.46,169789.0,5.041948310139165,5.110309890913523,7.925853685338315,5.0,5.63,MODERATE,Information Technology,2026-03-04,Information Technology_batch1
