ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
APD,273.04,-8.2,24.53,-0.288,-25.95,-0.0281,-0.049,1.928,,0.86,61052.0,1.5004943153732082,2.9221051499877775,9.258849253258933,5.0,4.18,MODERATE,Materials,2026-03-04,Materials_batch1
ALB,164.73,133.02,62.74,1.606,-36.7,0.3999,-0.392,0.827,,1.48,19840.0,10.0,6.060384550145631,7.304797162899675,5.0,7.28,HIGH,Materials,2026-03-04,Materials_batch1
AMCR,47.17,-2.68,24.45,0.288,-17.15,0.0279,-0.103,1.471,34.5,0.64,21199.0,1.4826989619377158,1.495998152689007,2.526473434543739,5.0,2.4,LOW,Materials,2026-03-04,Materials_batch1
AVY,189.7,7.38,22.52,0.108,-16.95,0.0096,0.427,1.0,21.3,0.97,14470.0,1.053386060306475,2.316718409656286,2.526473434543739,5.0,2.52,LOW,Materials,2026-03-04,Materials_batch1
BALL,65.2,29.64,25.41,1.064,-21.02,0.1073,0.125,1.32,19.6,1.12,17360.0,1.6962432031636183,3.204359632150476,1.276678354506931,5.0,2.73,LOW,Materials,2026-03-04,Materials_batch1
CF,106.3,44.49,30.45,1.527,-23.25,0.1845,-0.184,0.725,11.7,0.69,16332.0,2.817350469599604,1.9289463299131806,1.0,5.0,2.62,LOW,Materials,2026-03-04,Materials_batch1
CTVA,78.93,33.28,22.28,1.77,-16.04,0.1565,-0.361,2.327,44.6,0.72,52707.0,1.0,1.8021957793701926,2.526473434543739,5.0,2.35,LOW,Materials,2026-03-04,Materials_batch1
CRH,113.55,18.83,32.82,0.492,-22.19,0.0641,0.186,1.303,20.6,1.2,75878.0,3.34453781512605,3.602734009373124,2.1390417808932582,5.0,3.51,MODERATE,Materials,2026-03-04,Materials_batch1
DOW,30.74,-7.86,46.97,0.094,-41.38,0.0176,-0.03,1.536,,0.71,23205.0,6.4920909540286695,4.084042797975149,10.0,5.0,6.17,HIGH,Materials,2026-03-04,Materials_batch1
DD,48.27,51.55,31.88,1.602,-23.22,0.2026,0.06,2.259,229.0,1.12,20144.0,3.1354424122590205,6.907892659826362,3.0015026843038255,5.0,4.61,MODERATE,Materials,2026-03-04,Materials_batch1
