ticker,current_price,ytd_return_pct,ann_volatility_pct,sharpe_ratio,max_drawdown_pct,mean_daily_return,skewness,kurtosis,pe_ratio,beta,market_cap_usd_m,volatility_risk,fundamental_risk,sentiment_risk,macro_risk,composite_risk,risk_label,sector,as_of_date,batch
AES,14.18,36.93,43.6,0.834,-25.53,0.1443,-0.041,3.084,9.4,0.94,10176.0,8.4431718061674,4.679039324774525,1.0,5.0,5.14,MODERATE,Utilities,2026-03-04,Utilities_batch1
LNT,72.23,15.09,16.29,1.127,-7.2,0.0728,-0.296,0.497,23.0,0.61,18591.0,1.224669603524229,3.3741584945666574,6.264132527180543,5.0,3.63,MODERATE,Utilities,2026-03-04,Utilities_batch1
AEE,111.99,15.27,15.44,1.205,-7.77,0.0738,-0.152,0.494,21.2,0.53,31327.0,1.0,2.9536992716684582,6.264132527180543,5.0,3.44,LOW,Utilities,2026-03-04,Utilities_batch1
AEP,131.92,29.53,18.18,1.447,-8.28,0.1044,0.092,0.943,20.0,0.57,72216.0,1.7242290748898679,3.0118370788592532,6.264132527180543,5.0,3.67,MODERATE,Utilities,2026-03-04,Utilities_batch1
AWK,135.81,0.02,23.23,0.123,-16.9,0.0114,0.133,0.862,24.0,0.76,26628.0,3.0590308370044053,4.838634301174734,6.264132527180543,5.0,4.62,MODERATE,Utilities,2026-03-04,Utilities_batch1
ATO,186.0,26.97,15.65,1.712,-7.2,0.1063,-0.284,0.593,24.3,0.7,30899.0,1.0555066079295157,3.826186058839119,10.0,5.0,4.46,MODERATE,Utilities,2026-03-04,Utilities_batch1
CNP,43.39,31.77,16.06,1.844,-8.39,0.1175,-0.184,0.267,27.5,0.54,28739.0,1.1638766519823787,3.7032668633020673,6.264132527180543,5.0,3.71,MODERATE,Utilities,2026-03-04,Utilities_batch1
CMS,77.8,10.0,16.6,0.7,-8.31,0.0461,-0.335,0.414,22.2,0.43,23938.0,1.306607929515419,2.754409753849211,6.202698198277222,5.0,3.46,LOW,Utilities,2026-03-04,Utilities_batch1
ED,112.36,13.67,18.86,0.8,-13.94,0.0599,-0.29,0.228,19.9,0.34,40643.0,1.903964757709251,2.681226048662622,6.10266735083221,5.0,3.6,MODERATE,Utilities,2026-03-04,Utilities_batch1
CEG,324.87,41.03,49.49,0.881,-38.62,0.1729,-0.154,1.131,43.7,1.11,116869.0,10.0,10.0,6.264132527180543,5.0,8.25,HIGH,Utilities,2026-03-04,Utilities_batch1
