,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000030,ABBV,ABBVIE INC.,2016-12-31,10-K,2020-02-21,5100.0,,5953.0,9340.0,25638000000.0,25638000000.0,4636.0,66099.0
1970-01-01 00:00:00.000000035,ABBV,ABBVIE INC.,2017-09-30,10-K,2018-02-16,9303.0,,1631.0,9545.0,28216000000.0,28216000000.0,5097.0,70786.0
1970-01-01 00:00:00.000000039,ABBV,ABBVIE INC.,2017-12-31,10-K,2020-02-21,9303.0,,5309.0,9545.0,28216000000.0,28216000000.0,5097.0,70786.0
1970-01-01 00:00:00.000000044,ABBV,ABBVIE INC.,2018-09-30,10-K,2019-02-27,7289.0,,2747.0,6383.0,8236000000.0,32753000000.0,-8446.0,59352.0
1970-01-01 00:00:00.000000048,ABBV,ABBVIE INC.,2018-12-31,10-K,2021-02-19,7289.0,,5687.0,6383.0,32753000000.0,32753000000.0,-8446.0,59352.0
1970-01-01 00:00:00.000000051,ABBV,ABBVIE INC.,2019-09-30,10-K,2020-02-21,39924.0,,1884.0,12983.0,8479000000.0,33266000000.0,-8172.0,89115.0
1970-01-01 00:00:00.000000054,ABBV,ABBVIE INC.,2019-12-31,10-K,2022-02-18,39924.0,67233000000.0,7882.0,12983.0,33266000000.0,33266000000.0,-8172.0,89115.0
1970-01-01 00:00:00.000000057,ABBV,ABBVIE INC.,2020-12-31,10-K,2023-02-17,8449.0,84948000000.0,4616.0,11363.0,45804000000.0,45804000000.0,13076.0,150565.0
1970-01-01 00:00:00.000000060,ABBV,ABBVIE INC.,2021-12-31,10-K,2024-02-20,9746.0,75962000000.0,11542.0,17924.0,56197000000.0,56197000000.0,15408.0,146529.0
1970-01-01 00:00:00.000000063,ABBV,ABBVIE INC.,2022-12-31,10-K,2025-02-14,9201.0,63128000000.0,11836.0,18117.0,58054000000.0,58054000000.0,17254.0,138805.0
1970-01-01 00:00:00.000000066,ABBV,ABBVIE INC.,2023-12-31,10-K,2026-02-20,12814.0,59245000000.0,4863.0,12757.0,54318000000.0,54318000000.0,10360.0,134711.0
1970-01-01 00:00:00.000000068,ABBV,ABBVIE INC.,2024-12-31,10-K,2026-02-20,5524.0,66841000000.0,4278.0,9137.0,56334000000.0,56334000000.0,3325.0,135161.0
1970-01-01 00:00:00.000000069,ABBV,ABBVIE INC.,2025-12-31,10-K,2026-02-20,5229.0,64503000000.0,1816.0,15075.0,16618000000.0,61160000000.0,-3270.0,133960.0
