,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,revenue,revenue_alt,total_assets_usd_m
1970-01-01 00:00:00.000000008,ADM,ARCHER-DANIELS-MIDLAND CO,2009-06-30,10-K,2012-08-27,1055.0,7640000000.0,1684.0,69207000000.0,,31582.0
1970-01-01 00:00:00.000000018,ADM,ARCHER-DANIELS-MIDLAND CO,2010-06-30,10-K,2014-02-26,1046.0,7174000000.0,1930.0,61682000000.0,,31808.0
1970-01-01 00:00:00.000000028,ADM,ARCHER-DANIELS-MIDLAND CO,2011-06-30,10-K,2015-02-20,615.0,8444000000.0,2036.0,80676000000.0,,42193.0
1970-01-01 00:00:00.000000038,ADM,ARCHER-DANIELS-MIDLAND CO,2012-06-30,10-K,2015-02-20,1291.0,8212000000.0,1223.0,89038000000.0,,41553.0
1970-01-01 00:00:00.000000042,ADM,ARCHER-DANIELS-MIDLAND CO,2012-12-31,10-K,2016-02-19,1714.0,6724000000.0,692.0,46729000000.0,,45136.0
1970-01-01 00:00:00.000000047,ADM,ARCHER-DANIELS-MIDLAND CO,2013-09-30,10-K,2014-02-26,3121.0,6512000000.0,476.0,21393000000.0,,43752.0
1970-01-01 00:00:00.000000051,ADM,ARCHER-DANIELS-MIDLAND CO,2013-12-31,10-K,2016-02-19,3121.0,6512000000.0,1342.0,89804000000.0,,43752.0
1970-01-01 00:00:00.000000056,ADM,ARCHER-DANIELS-MIDLAND CO,2014-09-30,10-K,2015-02-20,1099.0,5552000000.0,747.0,18117000000.0,,43997.0
1970-01-01 00:00:00.000000060,ADM,ARCHER-DANIELS-MIDLAND CO,2014-12-31,10-K,2017-02-17,1099.0,5552000000.0,2248.0,81201000000.0,,43997.0
1970-01-01 00:00:00.000000065,ADM,ARCHER-DANIELS-MIDLAND CO,2015-09-30,10-K,2016-02-19,910.0,5791000000.0,252.0,16565000000.0,,40157.0
1970-01-01 00:00:00.000000069,ADM,ARCHER-DANIELS-MIDLAND CO,2015-12-31,10-K,2018-02-16,910.0,5791000000.0,1849.0,67702000000.0,,40157.0
1970-01-01 00:00:00.000000074,ADM,ARCHER-DANIELS-MIDLAND CO,2016-09-30,10-K,2017-02-17,619.0,6777000000.0,341.0,15832000000.0,,39769.0
1970-01-01 00:00:00.000000078,ADM,ARCHER-DANIELS-MIDLAND CO,2016-12-31,10-K,2019-02-19,619.0,6777000000.0,1279.0,62346000000.0,,39769.0
1970-01-01 00:00:00.000000083,ADM,ARCHER-DANIELS-MIDLAND CO,2017-09-30,10-K,2018-02-16,804.0,6636000000.0,192.0,14827000000.0,,39963.0
1970-01-01 00:00:00.000000087,ADM,ARCHER-DANIELS-MIDLAND CO,2017-12-31,10-K,2020-02-18,804.0,6636000000.0,1595.0,60828000000.0,,39963.0
1970-01-01 00:00:00.000000093,ADM,ARCHER-DANIELS-MIDLAND CO,2018-09-30,10-K,2019-02-19,1997.0,8280000000.0,536.0,15800000000.0,,40833.0
1970-01-01 00:00:00.000000097,ADM,ARCHER-DANIELS-MIDLAND CO,2018-12-31,10-K,2021-02-18,1997.0,8280000000.0,1810.0,64341000000.0,,40833.0
1970-01-01 00:00:00.000000102,ADM,ARCHER-DANIELS-MIDLAND CO,2019-09-30,10-K,2020-02-18,852.0,7679000000.0,407.0,16726000000.0,,43997.0
1970-01-01 00:00:00.000000106,ADM,ARCHER-DANIELS-MIDLAND CO,2019-12-31,10-K,2022-02-17,852.0,7679000000.0,1379.0,64656000000.0,,43997.0
1970-01-01 00:00:00.000000109,ADM,ARCHER-DANIELS-MIDLAND CO,2020-09-30,10-K,2021-02-18,666.0,7887000000.0,225.0,15126000000.0,,49719.0
1970-01-01 00:00:00.000000112,ADM,ARCHER-DANIELS-MIDLAND CO,2020-12-31,10-K,2023-02-14,666.0,7887000000.0,1772.0,64355000000.0,,49719.0
1970-01-01 00:00:00.000000115,ADM,ARCHER-DANIELS-MIDLAND CO,2021-12-31,10-K,2024-03-12,943.0,8581000000.0,2709.0,85249000000.0,,56136.0
1970-01-01 00:00:00.000000118,ADM,ARCHER-DANIELS-MIDLAND CO,2022-09-30,10-K,2024-03-12,1037.0,8677000000.0,1031.0,24683000000.0,27606000000.0,59774.0
1970-01-01 00:00:00.000000121,ADM,ARCHER-DANIELS-MIDLAND CO,2022-12-31,10-K,2025-02-20,1037.0,8677000000.0,4340.0,101556000000.0,27606000000.0,59774.0
1970-01-01 00:00:00.000000124,ADM,ARCHER-DANIELS-MIDLAND CO,2023-09-30,10-K,2024-03-12,1368.0,8260000000.0,821.0,21695000000.0,25691000000.0,54631.0
1970-01-01 00:00:00.000000127,ADM,ARCHER-DANIELS-MIDLAND CO,2023-12-31,10-K,2026-02-17,1368.0,8260000000.0,3483.0,93935000000.0,25691000000.0,54631.0
1970-01-01 00:00:00.000000129,ADM,ARCHER-DANIELS-MIDLAND CO,2024-12-31,10-K,2026-02-17,611.0,8254000000.0,1800.0,85530000000.0,24373000000.0,53271.0
1970-01-01 00:00:00.000000130,ADM,ARCHER-DANIELS-MIDLAND CO,2025-12-31,10-K,2026-02-17,1015.0,7612000000.0,1078.0,80269000000.0,24956000000.0,52389.0
