,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000005,AEE,AMEREN CORPORATION,2008-12-31,10-K,2012-02-28,92.0,,605.0,1362.0,7869000000.0,212300000.0,6963.0,22671.0
1970-01-01 00:00:00.000000012,AEE,AMEREN CORPORATION,2009-12-31,10-K,2013-03-01,622.0,,612.0,1416.0,7135000000.0,237400000.0,7856.0,23702.0
1970-01-01 00:00:00.000000022,AEE,AMEREN CORPORATION,2010-12-31,10-K,2014-03-03,545.0,,139.0,916.0,7638000000.0,240400000.0,7730.0,23511.0
1970-01-01 00:00:00.000000027,AEE,AMEREN CORPORATION,2011-09-30,10-K,2012-02-28,248.0,,285.0,550.0,2268000000.0,242600000.0,7919.0,23645.0
1970-01-01 00:00:00.000000031,AEE,AMEREN CORPORATION,2011-12-31,10-K,2014-03-03,248.0,6866000000.0,519.0,1033.0,6148000000.0,242600000.0,7919.0,23645.0
1970-01-01 00:00:00.000000041,AEE,AMEREN CORPORATION,2012-12-31,10-K,2016-02-26,209.0,,-974.0,1188.0,5781000000.0,242600000.0,6616.0,22230.0
1970-01-01 00:00:00.000000051,AEE,AMEREN CORPORATION,2013-12-31,10-K,2017-02-28,30.0,,289.0,1184.0,5838000000.0,242600000.0,6544.0,21042.0
1970-01-01 00:00:00.000000061,AEE,AMEREN CORPORATION,2014-12-31,10-K,2018-02-28,5.0,,586.0,1254.0,6053000000.0,242600000.0,6713.0,22289.0
1970-01-01 00:00:00.000000071,AEE,AMEREN CORPORATION,2015-12-31,10-K,2019-02-26,292.0,,630.0,1259.0,6098000000.0,242600000.0,6946.0,23640.0
1970-01-01 00:00:00.000000081,AEE,AMEREN CORPORATION,2016-12-31,10-K,2020-02-28,9.0,,32.0,1322.0,6076000000.0,242600000.0,7103.0,24699.0
1970-01-01 00:00:00.000000090,AEE,AMEREN CORPORATION,2017-12-31,10-K,2020-02-28,10.0,7995000000.0,-60.0,1410.0,1399000000.0,242600000.0,7184.0,25945.0
1970-01-01 00:00:00.000000100,AEE,AMEREN CORPORATION,2018-12-31,10-K,2021-02-22,16.0,8509000000.0,,1357.0,1419000000.0,244500000.0,7631.0,27215.0
1970-01-01 00:00:00.000000107,AEE,AMEREN CORPORATION,2019-12-31,10-K,2022-02-23,16.0,9442000000.0,,1267.0,5910000000.0,246200000.0,8059.0,28933.0
1970-01-01 00:00:00.000000111,AEE,AMEREN CORPORATION,2020-12-31,10-K,2023-02-22,139.0,11190000000.0,,1300.0,5794000000.0,253300000.0,8938.0,32030.0
1970-01-01 00:00:00.000000115,AEE,AMEREN CORPORATION,2021-12-31,10-K,2024-02-29,8.0,13182000000.0,,1333.0,6394000000.0,257700000.0,9700.0,35735.0
1970-01-01 00:00:00.000000119,AEE,AMEREN CORPORATION,2022-12-31,10-K,2025-02-18,10.0,14147000000.0,,1515.0,7957000000.0,262000000.0,10508.0,37904.0
1970-01-01 00:00:00.000000123,AEE,AMEREN CORPORATION,2023-12-31,10-K,2026-02-18,25.0,16107000000.0,,1558.0,7500000000.0,266300000.0,11349.0,40830.0
1970-01-01 00:00:00.000000125,AEE,AMEREN CORPORATION,2024-12-31,10-K,2026-02-18,7.0,17799000000.0,,1516.0,7623000000.0,269900000.0,12114.0,44598.0
1970-01-01 00:00:00.000000126,AEE,AMEREN CORPORATION,2025-12-31,10-K,2026-02-18,13.0,19431000000.0,,2026.0,8799000000.0,276400000.0,13401.0,48476.0
