,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,AFL,Aflac Incorporated,2008-12-31,10-K,2012-02-27,941.0,1254.0,,16554000000.0,466615000.0,6639.0,79331.0,72692.0
1970-01-01 00:00:00.000000012,AFL,Aflac Incorporated,2009-12-31,10-K,2013-02-27,2323.0,1497.0,3435.0,18254000000.0,468568000.0,8417.0,84106.0,75689.0
1970-01-01 00:00:00.000000017,AFL,Aflac Incorporated,2010-09-30,10-K,2011-02-25,2121.0,2328.0,3983.0,5394000000.0,469661000.0,10540.0,100243.0,
1970-01-01 00:00:00.000000022,AFL,Aflac Incorporated,2010-12-31,10-K,2014-02-27,2121.0,2328.0,3983.0,20732000000.0,469661000.0,10540.0,100243.0,89983.0
1970-01-01 00:00:00.000000027,AFL,Aflac Incorporated,2011-09-30,10-K,2012-02-27,2249.0,1937.0,4502.0,5987000000.0,466310000.0,12946.0,116237.0,
1970-01-01 00:00:00.000000032,AFL,Aflac Incorporated,2011-12-31,10-K,2015-02-26,2249.0,1937.0,4502.0,22171000000.0,466310000.0,12946.0,116237.0,103291.0
1970-01-01 00:00:00.000000037,AFL,Aflac Incorporated,2012-09-30,10-K,2013-02-27,2041.0,2866.0,4658.0,6847000000.0,467786000.0,15978.0,121307.0,
1970-01-01 00:00:00.000000042,AFL,Aflac Incorporated,2012-12-31,10-K,2016-02-25,2041.0,2866.0,4658.0,25364000000.0,467786000.0,15978.0,121307.0,115116.0
1970-01-01 00:00:00.000000052,AFL,Aflac Incorporated,2013-12-31,10-K,2017-02-24,2543.0,3158.0,4399.0,23939000000.0,459413000.0,14620.0,121307.0,106687.0
1970-01-01 00:00:00.000000057,AFL,Aflac Incorporated,2014-09-30,10-K,2015-02-26,4658.0,2951.0,4253.0,5736000000.0,442445000.0,18347.0,119727.0,
1970-01-01 00:00:00.000000062,AFL,Aflac Incorporated,2014-12-31,10-K,2018-02-23,4658.0,2951.0,4253.0,22728000000.0,442445000.0,18347.0,119727.0,101420.0
1970-01-01 00:00:00.000000067,AFL,Aflac Incorporated,2015-09-30,10-K,2016-02-25,4350.0,2533.0,4001.0,5040000000.0,424380000.0,17708.0,118256.0,
1970-01-01 00:00:00.000000072,AFL,Aflac Incorporated,2015-12-31,10-K,2019-02-25,4350.0,2533.0,4001.0,20872000000.0,424380000.0,17708.0,118256.0,100548.0
1970-01-01 00:00:00.000000082,AFL,Aflac Incorporated,2016-12-31,10-K,2020-02-21,4859.0,2659.0,4117.0,22559000000.0,811621000.0,20482.0,129819.0,109337.0
1970-01-01 00:00:00.000000092,AFL,Aflac Incorporated,2017-12-31,10-K,2021-02-23,3491.0,4604.0,4087.0,21667000000.0,780910000.0,24598.0,137217.0,112619.0
1970-01-01 00:00:00.000000102,AFL,Aflac Incorporated,2018-12-31,10-K,2022-02-23,4337.0,2920.0,4354.0,21758000000.0,755286000.0,23462.0,140406.0,116944.0
1970-01-01 00:00:00.000000112,AFL,Aflac Incorporated,2019-12-31,10-K,2023-02-24,4896.0,3304.0,4461.0,22307000000.0,726793000.0,28959.0,152768.0,123809.0
1970-01-01 00:00:00.000000119,AFL,Aflac Incorporated,2020-12-31,10-K,2024-02-22,5141.0,4778.0,4416.0,22147000000.0,692454000.0,33559.0,165086.0,131527.0
1970-01-01 00:00:00.000000123,AFL,Aflac Incorporated,2021-12-31,10-K,2025-02-26,5051.0,4231.0,4934.0,21554000000.0,652132000.0,17031.0,157542.0,124289.0
1970-01-01 00:00:00.000000130,AFL,Aflac Incorporated,2022-12-31,10-K,2026-02-25,3943.0,4418.0,,19140000000.0,615256000.0,20140.0,131738.0,111598.0
1970-01-01 00:00:00.000000133,AFL,Aflac Incorporated,2023-09-30,10-K,2024-02-22,4306.0,4659.0,,4950000000.0,578479000.0,21985.0,126724.0,104739.0
1970-01-01 00:00:00.000000136,AFL,Aflac Incorporated,2023-12-31,10-K,2026-02-25,4306.0,4659.0,,18701000000.0,578479000.0,21985.0,126724.0,104739.0
1970-01-01 00:00:00.000000138,AFL,Aflac Incorporated,2024-12-31,10-K,2026-02-25,6229.0,5443.0,,18927000000.0,549964000.0,26098.0,117566.0,91468.0
1970-01-01 00:00:00.000000139,AFL,Aflac Incorporated,2025-12-31,10-K,2026-02-25,6245.0,3646.0,,17164000000.0,518690000.0,29490.0,116470.0,86980.0
