,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m
1970-01-01 00:00:00.000000012,ALB,ALBEMARLE CORPORATION,2010-12-31,10-K,2014-02-25,529.65,860910000.0,315.778,401.943,,91594000.0,1416.074,3068.081
1970-01-01 00:00:00.000000022,ALB,ALBEMARLE CORPORATION,2011-12-31,10-K,2015-03-02,469.416,763673000.0,392.114,517.794,,88841000.0,1591.277,3203.824
1970-01-01 00:00:00.000000032,ALB,ALBEMARLE CORPORATION,2012-12-31,10-K,2016-02-29,477.696,699288000.0,311.536,399.783,,88899000.0,1833.598,3437.291
1970-01-01 00:00:00.000000042,ALB,ALBEMARLE CORPORATION,2013-12-31,10-K,2017-02-28,477.239,1078864000.0,413.171,576.675,,80053000.0,1627.361,3584.797
1970-01-01 00:00:00.000000051,ALB,ALBEMARLE CORPORATION,2014-12-31,10-K,2017-02-28,2489.768,2934131000.0,133.316,271.298,,78031000.0,1359.465,5202.437
1970-01-01 00:00:00.000000062,ALB,ALBEMARLE CORPORATION,2015-12-31,10-K,2019-02-27,213.734,3817157000.0,334.906,345.111,,112219000.0,3254.392,9597.954
1970-01-01 00:00:00.000000072,ALB,ALBEMARLE CORPORATION,2016-12-31,10-K,2020-02-26,2269.756,2369262000.0,643.675,600.98,2677203000.0,112524000.0,3795.062,8161.207
1970-01-01 00:00:00.000000077,ALB,ALBEMARLE CORPORATION,2017-09-30,10-K,2018-02-28,1137.303,1837372000.0,118.67,571.66,3071976000.0,110547000.0,3674.549,7750.772
1970-01-01 00:00:00.000000081,ALB,ALBEMARLE CORPORATION,2017-12-31,10-K,2020-02-26,1137.303,1837372000.0,54.85,571.66,3071976000.0,110547000.0,3674.549,7750.772
1970-01-01 00:00:00.000000086,ALB,ALBEMARLE CORPORATION,2018-09-30,10-K,2019-02-27,555.32,1705210000.0,129.745,911.54,777748000.0,105616000.0,3585.321,7581.674
1970-01-01 00:00:00.000000090,ALB,ALBEMARLE CORPORATION,2018-12-31,10-K,2021-02-19,555.32,1705210000.0,693.562,911.54,3374950000.0,105616000.0,3585.321,7581.674
1970-01-01 00:00:00.000000093,ALB,ALBEMARLE CORPORATION,2019-09-30,10-K,2020-02-26,,3050257000.0,155.07,666.123,879747000.0,106040000.0,3932.25,9860.863
1970-01-01 00:00:00.000000096,ALB,ALBEMARLE CORPORATION,2019-12-31,10-K,2022-02-22,613.11,3050257000.0,533.228,666.123,3589427000.0,106040000.0,3932.25,9860.863
1970-01-01 00:00:00.000000099,ALB,ALBEMARLE CORPORATION,2020-12-31,10-K,2023-02-15,,3572058000.0,375.764,505.812,3128909000.0,106842000.0,4268.227,10450.946
1970-01-01 00:00:00.000000102,ALB,ALBEMARLE CORPORATION,2021-12-31,10-K,2024-02-15,,2394239000.0,123.672,798.434,3327957000.0,117015000.0,5625.266,10974.118
1970-01-01 00:00:00.000000105,ALB,ALBEMARLE CORPORATION,2022-12-31,10-K,2025-02-12,,3217100000.0,2689.816,2470.061,7320104000.0,117168000.0,7982.627,15456.522
1970-01-01 00:00:00.000000108,ALB,ALBEMARLE CORPORATION,2023-12-31,10-K,2026-02-11,,4166763000.0,1573.476,251.881,9617203000.0,117356000.0,9412.18,18270.652
1970-01-01 00:00:00.000000110,ALB,ALBEMARLE CORPORATION,2024-12-31,10-K,2026-02-11,,3516165000.0,-1179.449,-1776.545,5377526000.0,117560000.0,9961.517,16609.649
1970-01-01 00:00:00.000000111,ALB,ALBEMARLE CORPORATION,2025-12-31,10-K,2026-02-11,,3193541000.0,-510.628,-367.084,5142733000.0,117716000.0,9533.365,16374.211
