,ticker,company,end_date,form,filed,cash_usd_m,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000005,ALGN,"ALIGN TECHNOLOGY, INC.",2009-12-31,10-K,2013-03-01,166.487,-31.269,-34.012,312333000.0,,74568000.0,273.036,355.24,82.204
1970-01-01 00:00:00.000000009,ALGN,"ALIGN TECHNOLOGY, INC.",2010-12-31,10-K,2013-03-01,294.664,74.253,102.734,387126000.0,,76390000.0,377.747,476.943,99.196
1970-01-01 00:00:00.000000028,ALGN,"ALIGN TECHNOLOGY, INC.",2015-12-31,10-K,2016-02-25,167.714,144.02,188.634,,1079874000.0,79500000.0,847.926,1158.633,310.707
1970-01-01 00:00:00.000000035,ALGN,"ALIGN TECHNOLOGY, INC.",2016-12-31,10-K,2020-02-28,389.275,189.682,248.921,,1079874000.0,79553000.0,999.307,1396.151,400.762
1970-01-01 00:00:00.000000039,ALGN,"ALIGN TECHNOLOGY, INC.",2017-12-31,10-K,2021-02-26,449.511,231.418,353.611,,1473413000.0,80040000.0,1154.288,1784.009,629.721
1970-01-01 00:00:00.000000043,ALGN,"ALIGN TECHNOLOGY, INC.",2018-12-31,10-K,2022-02-25,636.899,400.235,466.564,,1966492000.0,79778000.0,1252.891,2052.458,799.567
1970-01-01 00:00:00.000000047,ALGN,"ALIGN TECHNOLOGY, INC.",2019-12-31,10-K,2023-02-27,550.425,442.776,542.493,,2406796000.0,78433000.0,1346.169,2500.702,1154.533
1970-01-01 00:00:00.000000051,ALGN,"ALIGN TECHNOLOGY, INC.",2020-12-31,10-K,2024-02-28,960.843,1775.888,387.171,,2471941000.0,78860000.0,3233.865,4829.683,1595.818
1970-01-01 00:00:00.000000055,ALGN,"ALIGN TECHNOLOGY, INC.",2021-12-31,10-K,2025-02-28,1099.37,772.02,976.4,,3952584000.0,78710000.0,3622.714,5942.11,2319.396
1970-01-01 00:00:00.000000059,ALGN,"ALIGN TECHNOLOGY, INC.",2022-12-31,10-K,2026-02-27,942.05,361.573,642.595,,3734635000.0,77267000.0,3601.358,5947.947,2346.589
1970-01-01 00:00:00.000000062,ALGN,"ALIGN TECHNOLOGY, INC.",2023-12-31,10-K,2026-02-27,937.438,445.053,643.338,,3862260000.0,75075000.0,3630.489,6083.877,2453.388
1970-01-01 00:00:00.000000064,ALGN,"ALIGN TECHNOLOGY, INC.",2024-12-31,10-K,2026-02-27,1043.887,421.362,607.628,,3999012000.0,73849000.0,3851.985,6214.6,2362.615
1970-01-01 00:00:00.000000065,ALGN,"ALIGN TECHNOLOGY, INC.",2025-12-31,10-K,2026-02-27,1094.908,410.351,545.755,,4034964000.0,71364000.0,4049.147,6233.693,2184.546
