,ticker,company,end_date,form,filed,cash_usd_m,long_term_debt,net_income_usd_m,operating_income_usd_m,revenue,revenue_alt,shares_outstanding,stockholders_equity_usd_m,total_assets_usd_m,total_liabilities_usd_m
1970-01-01 00:00:00.000000014,ALLE,Allegion plc,2016-12-31,10-K,2018-02-20,312.4,,229.1,425.5,2238000000.0,2408200000.0,,113.3,2247.4,2131.0
1970-01-01 00:00:00.000000018,ALLE,Allegion plc,2017-12-31,10-K,2020-02-18,466.2,,273.3,492.5,2408200000.0,2408200000.0,,401.6,2542.0,2136.5
1970-01-01 00:00:00.000000019,ALLE,Allegion plc,2018-12-31,10-K,2019-02-19,283.8,,434.9,525.8,,2854000000.0,92723682.0,651.0,2810.2,2156.2
1970-01-01 00:00:00.000000024,ALLE,Allegion plc,2019-12-31,10-K,2022-02-15,355.3,,401.8,565.1,,2854000000.0,92723682.0,757.4,2967.2,2206.8
1970-01-01 00:00:00.000000027,ALLE,Allegion plc,2020-12-31,10-K,2023-02-22,480.4,,314.3,403.5,,2719900000.0,91212741.0,829.4,3069.4,2236.8
1970-01-01 00:00:00.000000030,ALLE,Allegion plc,2021-12-31,10-K,2024-02-20,397.9,1442100000.0,483.0,530.2,,2867400000.0,88215625.0,759.1,3051.0,2288.6
1970-01-01 00:00:00.000000033,ALLE,Allegion plc,2022-12-31,10-K,2025-02-18,288.0,2094500000.0,458.0,586.4,,3271900000.0,87852777.0,941.8,3991.2,3046.7
1970-01-01 00:00:00.000000036,ALLE,Allegion plc,2023-12-31,10-K,2026-02-17,468.1,2015000000.0,540.4,708.4,,3650800000.0,87504673.0,1318.3,4311.5,2993.2
1970-01-01 00:00:00.000000038,ALLE,Allegion plc,2024-12-31,10-K,2026-02-17,503.8,1999500000.0,597.5,780.7,,3772200000.0,86254744.0,,4487.8,2987.1
1970-01-01 00:00:00.000000039,ALLE,Allegion plc,2025-12-31,10-K,2026-02-17,356.2,1980100000.0,643.8,859.5,,4067300000.0,86066997.0,,5223.7,3156.1
